VARIABLE,VARIABLE_NAME,SERIES_ID,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,SOURCE,GEO_NAME,COUNTERPARTY_GEO_NAME
"BIS,WS_CBS_PUB,1.0,Q.S.FR.4B.U.W.A.A.TO1.A.BM","Domestic banks from France - Consolidated Guarantees extended in All currencies with residents of Bermuda (Guarantor basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Guarantees extended,USD,Quarterly,End of period,,France,Bermuda
"BIS,WS_CBS_PUB,1.0,Q.S.ES.4R.O.C.A.A.TO1.A.MX","Domestic banks(4B), excl. domestic positions from Spain - Consolidated Total claims in All currencies with residents of Mexico (Outward risk transfers), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Spain,Mexico
"BIS,WS_CBS_PUB,1.0,Q.S.SE.4B.U.C.A.A.TO1.R.CL","Domestic banks from Sweden - Consolidated Total claims in All currencies with residents of Chile (Guarantor basis), Non-bank private sector (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Sweden,Chile
"BIS,WS_CBS_PUB,1.0,Q.S.JP.4B.U.C.V.A.TO1.A.SI","Domestic banks from Japan - Consolidated Total claims in All currencies with residents of Slovenia (Guarantor basis), All sectors (Amounts outstanding / Stocks, Derivatives, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Japan,Slovenia
"BIS,WS_CBS_PUB,1.0,Q.S.CH.4C.F.I.A.U.TO1.A.GQ","Inside-area foreign banks consolidated by their parent from Switzerland - Consolidated International claims in All currencies with residents of Equatorial Guinea (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Up to and including 1 year","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,End of period,,Switzerland,Equatorial Guinea
"BIS,WS_CBS_PUB,1.0,Q.S.5A.4O.F.I.A.U.TO1.A.3C","All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V) from All reporting countries - Consolidated International claims in All currencies with residents of Developing Europe (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Up to and including 1 year","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,End of period,,All reporting countries,Developing Europe
"BIS,WS_CBS_PUB,1.0,Q.S.GB.4B.U.C.A.A.TO1.O.EG","Domestic banks from United Kingdom - Consolidated Total claims in All currencies with residents of Egypt (Guarantor basis), Official sector (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,United Kingdom,Egypt
"BIS,WS_CBS_PUB,1.0,Q.S.TW.4B.F.C.A.A.TO1.A.GY","Domestic banks from Taiwan - Consolidated Total claims in All currencies with residents of Guyana (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Taiwan,Guyana
"BIS,WS_CBS_PUB,1.0,Q.S.PT.4O.F.C.A.A.TO1.A.CD","All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V) from Portugal - Consolidated Total claims in All currencies with residents of Congo [DRC] (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Portugal,Congo [DRC]
"BIS,WS_CBS_PUB,1.0,Q.S.FI.4O.O.C.A.A.TO1.A.MZ","All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V) from Finland - Consolidated Total claims in All currencies with residents of Mozambique (Outward risk transfers), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Finland,Mozambique
"BIS,WS_CBS_PUB,1.0,Q.S.AU.4R.U.W.A.A.TO1.A.NO","Domestic banks(4B), excl. domestic positions from Australia - Consolidated Guarantees extended in All currencies with residents of Norway (Guarantor basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Guarantees extended,USD,Quarterly,End of period,,Australia,Norway
"BIS,WS_CBS_PUB,1.0,Q.S.5A.4B.U.C.A.A.TO1.A.BR","Domestic banks from All reporting countries - Consolidated Total claims in All currencies with residents of Brazil (Guarantor basis), All sectors (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,All reporting countries,Brazil
"BIS,WS_CBS_PUB,1.0,Q.S.ES.4R.U.C.A.A.TO1.R.AD","Domestic banks(4B), excl. domestic positions from Spain - Consolidated Total claims in All currencies with residents of Andorra (Guarantor basis), Non-bank private sector (Amounts outstanding / Stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,End of period,,Spain,Andorra
"BIS,WS_CBS_PUB,1.0,Q.S.PT.4R.F.I.A.U.TO1.A.AO","Domestic banks(4B), excl. domestic positions from Portugal - Consolidated International claims in All currencies with residents of Angola (Immediate counterparty basis), All sectors (Amounts outstanding / Stocks, All instruments, Up to and including 1 year","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,End of period,,Portugal,Angola
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.G.EUR.A.5J.A.5A.H.BZ.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Belize, Households and NPISHs (Break in stocks, Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Belize
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.G.TO3.A.5J.A.5A.H.NO.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Norway, Households and NPISHs (Break in stocks, Loans and deposits in All currencies (=D+F+U), All currencies excl. core, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Norway
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.JPY.A.5J.A.5A.F.PU.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of U.S. Miscellaneous Pacific Islands, Non-bank financial institutions (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,U.S. Miscellaneous Pacific Islands
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.G.USD.A.5J.A.5A.N.IS.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Iceland, Non-banks, total (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Iceland
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.G.TO1.A.5J.A.FR.N.MX.N","France - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Mexico, Non-banks, total (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,France,Mexico
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.EUR.A.5J.A.5A.F.GN.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Guinea, Non-bank financial institutions (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Guinea
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.EUR.A.5J.A.5A.G.3C.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Developing Europe, General government (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Developing Europe
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.G.TO1.A.5J.A.KR.N.TT.N","South Korea - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Trinidad and Tobago, Non-banks, total (Break in stocks, Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,South Korea,Trinidad and Tobago
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.B.TO1.A.5J.A.5A.G.5R.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Developed countries, General government (Annual growth (BIS calculated), Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Developed countries
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.A.EUR.A.5J.A.5A.F.BD.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Bangladesh, Non-bank financial institutions (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Bangladesh
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.A.JPY.F.5J.A.PT.A.5J.A","Portugal - All Total claims of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), All sectors (FX and break adjusted change (BIS calculated), All instruments in Foreign currency (ie currencies foreign to bank location country), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Portugal,All countries (total)
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.USD.A.5J.A.5A.K.2W.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Residual developing Africa and Middle East, Unallocated non-financial sectors (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Residual developing Africa and Middle East
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.A.UN9.A.5J.A.5A.H.FJ.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Fiji, Households and NPISHs (Break in stocks, All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Fiji
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.A.TO1.A.5J.A.AT.A.BY.N","Austria - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Belarus, All sectors (Break in stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Austria,Belarus
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4C.F.I.A.A.TO1.R.IE","Inside-area foreign banks consolidated by their parent from All reporting countries - Consolidated International claims in All currencies with residents of Ireland (Immediate counterparty basis), Non-bank private sector (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,Other data collection period,,All reporting countries,Ireland
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.A.EUR.A.5J.A.5A.G.GM.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Gambia, General government (Break in stocks, All instruments in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Gambia
"BIS,WS_CBS_PUB,1.0,Q.B.GB.4R.F.I.A.A.TO1.A.IN","Domestic banks(4B), excl. domestic positions from United Kingdom - Consolidated International claims in All currencies with residents of India (Immediate counterparty basis), All sectors (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,Other data collection period,,United Kingdom,India
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.UN9.A.5J.A.5A.C.VN.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Vietnam, Non-financial corporations (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Vietnam
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.G.TO1.A.5J.A.5A.B.TC.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Turks and Caicos Islands, Banks, total (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Turks and Caicos Islands
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.USD.A.5J.A.5A.H.NP.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Nepal, Households and NPISHs (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Nepal
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.D.TO1.A.5J.A.5A.K.HR.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Croatia, Unallocated non-financial sectors (Annual growth (BIS calculated), Debt securities in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Croatia
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.JPY.A.5J.A.5A.F.4L.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Non-European developed countries, Non-bank financial institutions (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Non-European developed countries
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.G.EUR.A.5J.A.5A.N.GG.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Guernsey, Non-banks, total (Break in stocks, Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Guernsey
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.G.TO1.A.5J.A.BE.A.CA.N","Belgium - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Canada, All sectors (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,Belgium,Canada
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.I.TO1.A.5J.A.5A.H.MV.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Maldives, Households and NPISHs (FX and break adjusted change (BIS calculated), Derivatives and Other instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Maldives
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4R.F.I.A.M.TO1.A.SO","Domestic banks(4B), excl. domestic positions from All reporting countries - Consolidated International claims in All currencies with residents of Somalia (Immediate counterparty basis), All sectors (Break in stocks, All instruments, Over 1 year and up to and including 2 years","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,Other data collection period,,All reporting countries,Somalia
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.B.TO1.A.5J.A.5A.X.SY.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Syria, Residual by sector (Amounts outstanding / Stocks, Credit (loans & debt securities) in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Syria
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.A.TO1.A.5J.A.ZA.A.UG.N","South Africa - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Uganda, All sectors (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,South Africa,Uganda
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.TO1.A.5J.A.FI.A.SZ.N","Finland - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Eswatini, All sectors (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Finland,Eswatini
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.TO1.A.5J.A.TW.G.5J.U","Taiwan - Unallocated Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of All countries (total), General government (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Taiwan,All countries (total)
"BIS,WS_CBS_PUB,1.0,Q.B.SE.4R.U.C.A.A.TO1.B.KW","Domestic banks(4B), excl. domestic positions from Sweden - Consolidated Total claims in All currencies with residents of Kuwait (Guarantor basis), Banks, total (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Total claims,USD,Quarterly,Other data collection period,,Sweden,Kuwait
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4B.F.I.A.A.TO1.H.JO","Domestic banks from All reporting countries - Consolidated International claims in All currencies with residents of Jordan (Immediate counterparty basis), Households and NPISHs (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,Other data collection period,,All reporting countries,Jordan
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.G.CHF.A.5J.A.5A.I.WS.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Samoa, Banks, related offices (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), Swiss franc, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Samoa
"BIS,WS_CBS_PUB,1.0,Q.B.JP.4R.U.X.A.A.TO1.A.GA","Domestic banks(4B), excl. domestic positions from Japan - Consolidated Credit commitments in All currencies with residents of Gabon (Guarantor basis), All sectors (Break in stocks, All instruments, Total (all maturities)","BIS,WS_CBS_PUB,1.0",Credit commitments,USD,Quarterly,Other data collection period,,Japan,Gabon
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.A.USD.A.5J.A.5A.K.2B.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Residual developing Europe, Unallocated non-financial sectors (Break in stocks, All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Residual developing Europe
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.A.TO1.A.5J.A.IE.A.BY.N","Ireland - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Belarus, All sectors (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Ireland,Belarus
"BIS,WS_CBS_PUB,1.0,Q.B.5A.4O.F.I.A.N.TO1.A.AL","All excluding 4C banks, excl. domestic positions (= 4R + 4Q +4V) from All reporting countries - Consolidated International claims in All currencies with residents of Albania (Immediate counterparty basis), All sectors (Break in stocks, All instruments, Over 2 years","BIS,WS_CBS_PUB,1.0",International claims,USD,Quarterly,Other data collection period,,All reporting countries,Albania
"BIS,WS_LBS_D_PUB,1.0,Q.F.C.I.TO1.A.5J.A.5A.A.MW.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Malawi, All sectors (FX and break adjusted change (BIS calculated), Derivatives and Other instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Malawi
"BIS,WS_LBS_D_PUB,1.0,Q.S.C.A.TO1.A.5J.A.5A.U.ME.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Montenegro, Unallocated by sector (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Montenegro
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.A.USD.A.5J.A.5A.G.AI.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Anguilla, General government (Break in stocks, All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Anguilla
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.A.USD.A.5J.A.5A.U.4Y.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Developing Asia and Pacific, Unallocated by sector (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Developing Asia and Pacific
"BIS,WS_LBS_D_PUB,1.0,Q.B.L.G.UN9.U.5J.A.5A.A.AT.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Austria, All sectors (Break in stocks, Loans and deposits in Unclassified currency, Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Austria
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.A.TO1.A.5J.A.FR.N.PT.N","France - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Portugal, Non-banks, total (Annual growth (BIS calculated), All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,France,Portugal
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.TO1.A.5J.A.BE.N.RS.N","Belgium - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Serbia, Non-banks, total (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,Belgium,Serbia
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.A.JPY.A.5J.A.5A.A.AD.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Andorra, All sectors (FX and break adjusted change (BIS calculated), All instruments in All currencies (=D+F+U), Yen, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Andorra
"BIS,WS_LBS_D_PUB,1.0,Q.B.C.G.USD.A.5J.A.5A.H.VG.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of British Virgin Islands, Households and NPISHs (Break in stocks, Loans and deposits in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,British Virgin Islands
"BIS,WS_LBS_D_PUB,1.0,Q.G.C.G.UN9.A.5J.A.5A.C.LU.N","All reporting countries - Cross-border Total claims of banks with headquarters in All countries (total) vis-a-vis residents of Luxembourg, Non-financial corporations (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), Unallocated currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total claims,USD,Quarterly,,,All reporting countries,Luxembourg
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.G.EUR.A.5J.A.5A.P.WF.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Wallis and Futuna, Non-financial sectors (Amounts outstanding / Stocks, Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Wallis and Futuna
"BIS,WS_LBS_D_PUB,1.0,Q.S.L.A.TO1.A.5J.A.5A.N.KH.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Cambodia, Non-banks, total (Amounts outstanding / Stocks, All instruments in All currencies (=D+F+U), All currencies, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Cambodia
"BIS,WS_LBS_D_PUB,1.0,Q.F.L.G.USD.A.5J.A.5A.F.2Z.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Residual West Indies UK, Non-bank financial institutions (FX and break adjusted change (BIS calculated), Loans and deposits in All currencies (=D+F+U), US dollar, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Residual West Indies UK
"BIS,WS_LBS_D_PUB,1.0,Q.G.L.G.EUR.A.5J.A.5A.I.LK.N","All reporting countries - Cross-border Total liabilities of banks with headquarters in All countries (total) vis-a-vis residents of Sri Lanka, Banks, related offices (Annual growth (BIS calculated), Loans and deposits in All currencies (=D+F+U), Euro, All reporting banks/institutions (domestic, foreign, consortium and unclassified)","BIS,WS_LBS_D_PUB,1.0",Total liabilities,USD,Quarterly,,,All reporting countries,Sri Lanka
