Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2017     Chevrolet     SS.,46.0,4.8,4.7,4.7,5.0,4.7,4.5,4.9,2017,Chevrolet,SS.
2017     Chevrolet     Malibu.,282.0,4.7,4.8,4.7,4.6,4.6,4.8,4.7,2017,Chevrolet,Malibu.
2017     Chevrolet     Impala.,149.0,4.8,4.8,4.8,4.8,4.7,4.8,4.8,2017,Chevrolet,Impala.
2017     Chevrolet     Traverse.,190.0,4.7,4.8,4.7,4.7,4.6,4.7,4.8,2017,Chevrolet,Traverse.
2017     Chevrolet     Colorado.,201.0,4.6,4.6,4.5,4.6,4.4,4.7,4.5,2017,Chevrolet,Colorado.
2017     Chevrolet     Camaro.,264.0,4.8,4.6,4.6,4.9,4.7,4.9,4.8,2017,Chevrolet,Camaro.
2017     Chevrolet     Express 3500.,3.0,4.8,4.7,4.7,4.7,5.0,4.7,5.0,2017,Chevrolet,Express 3500.
2017     Chevrolet     City Express.,3.0,4.5,4.3,4.7,4.0,4.7,4.3,5.0,2017,Chevrolet,City Express.
2017     Chevrolet     Trax.,185.0,4.5,4.5,4.5,4.4,4.5,4.6,4.6,2017,Chevrolet,Trax.
2017     Chevrolet     Express 2500.,3.0,4.8,4.7,4.7,5.0,4.7,4.7,5.0,2017,Chevrolet,Express 2500.
2017     Chevrolet     Sonic.,89.0,4.6,4.6,4.6,4.4,4.5,4.7,4.5,2017,Chevrolet,Sonic.
2017     Chevrolet     Spark.,110.0,4.6,4.5,4.6,4.4,4.7,4.6,4.7,2017,Chevrolet,Spark.
2017     Chevrolet     Equinox.,280.0,4.7,4.8,4.7,4.6,4.7,4.8,4.8,2017,Chevrolet,Equinox.
2017     Chevrolet     Silverado 3500.,16.0,4.7,4.6,4.8,4.9,4.4,4.8,4.7,2017,Chevrolet,Silverado 3500.
2017     Chevrolet     Malibu Hybrid.,19.0,4.6,4.7,4.6,4.6,4.5,4.6,4.6,2017,Chevrolet,Malibu Hybrid.
2016     Chevrolet     Cruze Limited.,79.0,4.6,4.5,4.5,4.6,4.5,4.6,4.6,2016,Chevrolet,Cruze Limited.
2016     Chevrolet     Corvette.,128.0,4.8,4.7,4.8,4.9,4.7,4.9,4.8,2016,Chevrolet,Corvette.
2016     Chevrolet     Silverado 2500.,39.0,4.4,4.7,4.6,4.4,4.1,4.6,4.3,2016,Chevrolet,Silverado 2500.
2016     Chevrolet     Tahoe.,84.0,4.6,4.8,4.7,4.5,4.2,4.7,4.7,2016,Chevrolet,Tahoe.
2016     Chevrolet     Suburban.,46.0,4.6,4.9,4.7,4.5,4.3,4.7,4.4,2016,Chevrolet,Suburban.
2016     Chevrolet     Express 2500.,5.0,4.7,4.6,4.6,4.6,4.8,4.8,5.0,2016,Chevrolet,Express 2500.
2016     Chevrolet     Colorado.,159.0,4.3,4.4,4.4,4.1,4.2,4.6,4.2,2016,Chevrolet,Colorado.
2016     Chevrolet     Express 3500.,4.0,4.8,5.0,4.8,4.8,5.0,4.8,4.8,2016,Chevrolet,Express 3500.
2016     Chevrolet     SS.,13.0,4.7,4.8,4.5,4.9,4.7,4.2,4.7,2016,Chevrolet,SS.
2016     Chevrolet     Silverado 1500.,178.0,4.6,4.7,4.6,4.6,4.3,4.8,4.5,2016,Chevrolet,Silverado 1500.
2016     Chevrolet     Malibu.,185.0,4.4,4.5,4.5,4.2,4.2,4.6,4.2,2016,Chevrolet,Malibu.
2016     Chevrolet     Camaro.,150.0,4.7,4.5,4.6,4.9,4.5,4.9,4.7,2016,Chevrolet,Camaro.
2016     Chevrolet     Malibu Hybrid.,17.0,4.6,4.6,4.6,4.5,4.4,4.8,4.6,2016,Chevrolet,Malibu Hybrid.
2016     Chevrolet     Equinox.,198.0,4.7,4.8,4.7,4.5,4.7,4.7,4.7,2016,Chevrolet,Equinox.
2016     Chevrolet     Traverse.,116.0,4.5,4.7,4.5,4.5,4.4,4.6,4.5,2016,Chevrolet,Traverse.
2016     Chevrolet     Impala.,73.0,4.6,4.6,4.5,4.6,4.5,4.7,4.6,2016,Chevrolet,Impala.
2016     Chevrolet     Trax.,129.0,4.4,4.4,4.3,4.4,4.4,4.5,4.4,2016,Chevrolet,Trax.
2016     Chevrolet     Silverado 3500.,12.0,4.8,4.9,4.9,4.8,4.5,4.8,4.7,2016,Chevrolet,Silverado 3500.
2016     Chevrolet     Spark.,45.0,4.1,4.0,4.2,3.6,4.2,4.4,4.1,2016,Chevrolet,Spark.
2016     Chevrolet     Malibu Limited.,88.0,4.7,4.8,4.7,4.7,4.7,4.8,4.8,2016,Chevrolet,Malibu Limited.
2016     Chevrolet     Cruze.,141.0,4.4,4.5,4.4,4.2,4.3,4.5,4.4,2016,Chevrolet,Cruze.
2016     Chevrolet     City Express.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2016,Chevrolet,City Express.
2016     Chevrolet     Sonic.,75.0,4.2,4.2,4.3,4.1,4.1,4.3,4.2,2016,Chevrolet,Sonic.
2016     Chevrolet     Volt.,24.0,4.8,4.6,4.6,4.9,4.7,4.8,4.9,2016,Chevrolet,Volt.
2016     Chevrolet     Impala Limited.,37.0,4.6,4.8,4.5,4.8,4.5,4.5,4.7,2016,Chevrolet,Impala Limited.
2015     Chevrolet     Malibu.,173.0,4.6,4.6,4.6,4.5,4.5,4.6,4.6,2015,Chevrolet,Malibu.
2015     Chevrolet     Silverado 2500.,58.0,4.5,4.6,4.6,4.4,4.2,4.7,4.5,2015,Chevrolet,Silverado 2500.
2015     Chevrolet     SS.,22.0,4.8,4.8,4.7,5.0,4.8,4.6,4.8,2015,Chevrolet,SS.
2015     Chevrolet     Silverado 3500.,15.0,4.5,4.4,4.5,4.3,4.4,4.6,4.6,2015,Chevrolet,Silverado 3500.
2015     Chevrolet     Impala Limited.,15.0,4.8,4.9,4.7,4.8,4.7,4.8,4.9,2015,Chevrolet,Impala Limited.
2015     Chevrolet     Corvette.,97.0,4.8,4.6,4.8,5.0,4.8,5.0,4.7,2015,Chevrolet,Corvette.
2015     Chevrolet     Colorado.,89.0,4.2,4.2,4.2,4.0,4.0,4.5,4.1,2015,Chevrolet,Colorado.
2015     Chevrolet     Express 3500.,2.0,4.8,5.0,4.5,5.0,5.0,4.0,5.0,2015,Chevrolet,Express 3500.
2015     Chevrolet     Suburban.,78.0,4.6,4.8,4.6,4.6,4.2,4.7,4.5,2015,Chevrolet,Suburban.
2015     Chevrolet     Camaro.,175.0,4.6,4.5,4.4,4.8,4.6,4.8,4.7,2015,Chevrolet,Camaro.
2015     Chevrolet     Silverado 1500.,253.0,4.6,4.7,4.6,4.6,4.4,4.8,4.6,2015,Chevrolet,Silverado 1500.
2015     Chevrolet     Tahoe.,108.0,4.5,4.6,4.7,4.4,4.3,4.8,4.4,2015,Chevrolet,Tahoe.
2015     Chevrolet     City Express.,10.0,3.7,3.4,4.0,3.6,3.6,3.9,3.8,2015,Chevrolet,City Express.
2015     Chevrolet     Traverse.,103.0,4.5,4.6,4.6,4.4,4.4,4.6,4.5,2015,Chevrolet,Traverse.
2015     Chevrolet     Equinox.,297.0,4.6,4.7,4.6,4.4,4.5,4.7,4.6,2015,Chevrolet,Equinox.
2015     Chevrolet     Cruze.,193.0,4.3,4.3,4.4,4.2,4.2,4.5,4.3,2015,Chevrolet,Cruze.
2015     Chevrolet     Sonic.,99.0,4.2,4.1,4.2,4.1,4.2,4.3,4.1,2015,Chevrolet,Sonic.
2015     Chevrolet     Spark.,52.0,4.1,4.0,4.2,3.6,4.3,4.4,4.2,2015,Chevrolet,Spark.
2015     Chevrolet     Express 2500.,2.0,4.5,3.0,4.5,5.0,4.5,5.0,5.0,2015,Chevrolet,Express 2500.
2015     Chevrolet     Impala.,111.0,4.7,4.8,4.7,4.6,4.5,4.8,4.6,2015,Chevrolet,Impala.
2015     Chevrolet     Trax.,96.0,4.2,4.3,4.2,4.1,4.1,4.3,4.1,2015,Chevrolet,Trax.
2015     Chevrolet     Volt.,23.0,4.7,4.8,4.5,4.7,4.7,4.6,4.9,2015,Chevrolet,Volt.
2015     Chevrolet     Captiva Sport.,19.0,4.9,5.0,4.8,4.9,4.9,4.8,4.9,2015,Chevrolet,Captiva Sport.
2014     Chevrolet     Impala Limited.,46.0,4.6,4.7,4.6,4.7,4.5,4.6,4.6,2014,Chevrolet,Impala Limited.
2014     Chevrolet     Suburban.,21.0,4.8,4.9,4.7,4.6,4.7,4.9,4.8,2014,Chevrolet,Suburban.
2014     Chevrolet     Spark.,110.0,4.0,4.0,4.2,3.6,4.1,4.4,3.9,2014,Chevrolet,Spark.
2014     Chevrolet     Tahoe.,30.0,4.7,4.7,4.8,4.7,4.5,4.8,4.6,2014,Chevrolet,Tahoe.
2014     Chevrolet     Express 3500.,4.0,4.7,4.5,4.5,5.0,5.0,4.0,5.0,2014,Chevrolet,Express 3500.
2014     Chevrolet     Express 2500.,8.0,4.7,4.6,4.9,4.4,4.8,4.8,4.7,2014,Chevrolet,Express 2500.
2014     Chevrolet     SS.,18.0,4.7,4.7,4.7,4.9,4.7,4.5,4.8,2014,Chevrolet,SS.
2014     Chevrolet     Equinox.,242.0,4.4,4.5,4.4,4.2,4.3,4.5,4.3,2014,Chevrolet,Equinox.
2014     Chevrolet     Corvette Stingray.,134.0,4.8,4.6,4.7,4.9,4.7,4.9,4.6,2014,Chevrolet,Corvette Stingray.
2014     Chevrolet     Silverado 1500.,266.0,4.6,4.7,4.6,4.5,4.4,4.7,4.5,2014,Chevrolet,Silverado 1500.
2014     Chevrolet     Impala.,161.0,4.6,4.6,4.6,4.6,4.4,4.8,4.5,2014,Chevrolet,Impala.
2014     Chevrolet     Camaro.,172.0,4.6,4.4,4.4,4.7,4.6,4.8,4.6,2014,Chevrolet,Camaro.
2014     Chevrolet     Traverse.,110.0,4.5,4.6,4.6,4.4,4.5,4.6,4.5,2014,Chevrolet,Traverse.
2014     Chevrolet     Cruze.,344.0,4.3,4.3,4.4,4.1,4.2,4.4,4.3,2014,Chevrolet,Cruze.
2014     Chevrolet     Malibu.,137.0,4.6,4.7,4.7,4.5,4.5,4.7,4.6,2014,Chevrolet,Malibu.
2014     Chevrolet     Silverado 3500.,4.0,4.8,5.0,5.0,5.0,4.5,4.8,5.0,2014,Chevrolet,Silverado 3500.
2014     Chevrolet     Express 1500.,5.0,4.3,4.0,3.8,4.2,4.4,4.4,4.8,2014,Chevrolet,Express 1500.
2014     Chevrolet     Silverado 2500.,14.0,4.3,4.4,4.1,4.4,4.1,4.4,4.1,2014,Chevrolet,Silverado 2500.
2014     Chevrolet     Volt.,96.0,4.5,4.4,4.4,4.5,4.5,4.5,4.6,2014,Chevrolet,Volt.
2014     Chevrolet     Sonic.,100.0,4.1,4.3,4.3,4.0,4.1,4.3,3.9,2014,Chevrolet,Sonic.
2014     Chevrolet     Captiva Sport.,50.0,4.2,4.4,4.3,4.0,4.2,4.4,4.2,2014,Chevrolet,Captiva Sport.
2013     Chevrolet     Malibu.,192.0,4.3,4.4,4.4,4.2,4.1,4.6,4.1,2013,Chevrolet,Malibu.
2013     Chevrolet     Silverado 1500.,119.0,4.4,4.6,4.3,4.5,4.3,4.5,4.5,2013,Chevrolet,Silverado 1500.
2013     Chevrolet     Suburban.,56.0,4.4,4.6,4.4,4.4,4.1,4.6,4.4,2013,Chevrolet,Suburban.
2013     Chevrolet     Avalanche.,51.0,4.7,4.9,4.7,4.6,4.5,4.9,4.7,2013,Chevrolet,Avalanche.
2013     Chevrolet     Equinox.,260.0,4.3,4.5,4.4,4.1,4.2,4.5,4.3,2013,Chevrolet,Equinox.
2013     Chevrolet     Corvette.,42.0,4.8,4.5,4.6,5.0,4.8,4.9,4.8,2013,Chevrolet,Corvette.
2013     Chevrolet     Tahoe.,72.0,4.5,4.8,4.5,4.4,4.3,4.7,4.6,2013,Chevrolet,Tahoe.
2013     Chevrolet     Camaro.,184.0,4.6,4.4,4.4,4.7,4.5,4.8,4.7,2013,Chevrolet,Camaro.
2013     Chevrolet     Express 2500.,4.0,3.5,3.0,3.2,3.5,4.0,3.5,4.0,2013,Chevrolet,Express 2500.
2013     Chevrolet     Volt.,114.0,4.6,4.6,4.5,4.7,4.4,4.6,4.6,2013,Chevrolet,Volt.
2013     Chevrolet     Sonic.,128.0,4.1,4.1,4.1,3.9,4.0,4.3,4.0,2013,Chevrolet,Sonic.
2013     Chevrolet     Express 1500.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2013,Chevrolet,Express 1500.
2013     Chevrolet     Silverado 2500.,33.0,4.7,4.7,4.5,4.7,4.6,4.7,4.9,2013,Chevrolet,Silverado 2500.
2013     Chevrolet     Express 3500.,6.0,4.7,4.8,4.5,4.8,4.8,4.7,4.5,2013,Chevrolet,Express 3500.
2013     Chevrolet     Captiva Sport.,20.0,4.1,4.3,4.0,3.8,4.2,4.4,4.0,2013,Chevrolet,Captiva Sport.
2013     Chevrolet     Spark.,124.0,4.2,4.0,4.4,3.8,4.4,4.4,4.1,2013,Chevrolet,Spark.
2013     Chevrolet     Traverse.,81.0,4.2,4.5,4.4,4.0,3.9,4.5,4.0,2013,Chevrolet,Traverse.
2013     Chevrolet     Impala.,87.0,4.3,4.4,4.1,4.5,4.4,4.1,4.4,2013,Chevrolet,Impala.
2013     Chevrolet     Silverado 3500.,11.0,4.7,4.8,4.5,4.9,4.6,4.6,4.9,2013,Chevrolet,Silverado 3500.
2013     Chevrolet     Cruze.,215.0,4.1,4.1,4.2,3.9,4.1,4.3,4.0,2013,Chevrolet,Cruze.
2012     Chevrolet     Equinox.,240.0,4.1,4.4,4.3,3.8,4.0,4.4,4.0,2012,Chevrolet,Equinox.
2012     Chevrolet     Camaro.,139.0,4.7,4.5,4.5,4.8,4.6,4.8,4.7,2012,Chevrolet,Camaro.
2012     Chevrolet     Volt.,109.0,4.6,4.7,4.5,4.6,4.5,4.7,4.8,2012,Chevrolet,Volt.
2012     Chevrolet     Cruze.,265.0,4.1,4.1,4.3,3.8,4.0,4.4,4.0,2012,Chevrolet,Cruze.
2012     Chevrolet     Express 3500.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2012,Chevrolet,Express 3500.
2012     Chevrolet     Colorado.,42.0,4.5,4.5,4.2,4.5,4.5,4.5,4.6,2012,Chevrolet,Colorado.
2012     Chevrolet     Avalanche.,25.0,4.8,5.0,4.8,4.8,4.6,4.8,4.7,2012,Chevrolet,Avalanche.
2012     Chevrolet     Sonic.,111.0,4.2,4.2,4.2,4.1,4.3,4.4,4.1,2012,Chevrolet,Sonic.
2012     Chevrolet     Silverado 1500.,100.0,4.4,4.5,4.3,4.4,4.3,4.5,4.5,2012,Chevrolet,Silverado 1500.
2012     Chevrolet     Malibu.,139.0,4.2,4.2,4.1,3.9,4.1,4.3,4.2,2012,Chevrolet,Malibu.
2012     Chevrolet     Suburban.,22.0,4.5,4.8,4.4,4.6,4.3,4.6,4.4,2012,Chevrolet,Suburban.
2012     Chevrolet     Corvette.,50.0,4.7,4.4,4.4,4.9,4.8,4.8,4.8,2012,Chevrolet,Corvette.
2012     Chevrolet     Captiva Sport.,23.0,4.5,4.5,4.5,4.4,4.3,4.6,4.3,2012,Chevrolet,Captiva Sport.
2012     Chevrolet     Express 2500.,2.0,4.1,4.5,3.5,4.0,4.5,4.5,4.5,2012,Chevrolet,Express 2500.
2012     Chevrolet     Tahoe Hybrid.,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2012,Chevrolet,Tahoe Hybrid.
2012     Chevrolet     Traverse.,102.0,4.2,4.5,4.3,4.1,4.0,4.3,4.2,2012,Chevrolet,Traverse.
2012     Chevrolet     Tahoe.,41.0,4.8,4.9,4.7,4.8,4.7,4.9,4.8,2012,Chevrolet,Tahoe.
2012     Chevrolet     Express 1500.,4.0,4.8,4.8,4.8,5.0,5.0,4.8,5.0,2012,Chevrolet,Express 1500.
2012     Chevrolet     Silverado 3500.,12.0,4.8,5.0,4.6,4.8,4.9,4.8,4.6,2012,Chevrolet,Silverado 3500.
2012     Chevrolet     Silverado 2500.,31.0,4.3,4.3,4.1,4.3,4.2,4.4,4.3,2012,Chevrolet,Silverado 2500.
2012     Chevrolet     Impala.,125.0,4.5,4.5,4.2,4.6,4.6,4.2,4.6,2012,Chevrolet,Impala.
2023     Chrysler     Pacifica.,,,,,,,,,2023,Chrysler,Pacifica.
2023     Chrysler     Pacifica Hybrid.,,,,,,,,,2023,Chrysler,Pacifica Hybrid.
2023     Chrysler     300.,,,,,,,,,2023,Chrysler,300.
2022     Chrysler     Pacifica.,4.0,3.7,4.0,3.8,3.8,3.2,3.5,3.8,2022,Chrysler,Pacifica.
2022     Chrysler     Pacifica Hybrid.,,,,,,,,,2022,Chrysler,Pacifica Hybrid.
2022     Chrysler     300.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022,Chrysler,300.
2022     Chrysler     Voyager.,,,,,,,,,2022,Chrysler,Voyager.
2021     Chrysler     Pacifica.,19.0,4.3,4.6,4.5,4.4,4.1,4.5,4.1,2021,Chrysler,Pacifica.
2021     Chrysler     300.,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Chrysler,300.
2021     Chrysler     Pacifica Hybrid.,18.0,4.1,4.4,4.4,4.1,3.8,4.4,3.5,2021,Chrysler,Pacifica Hybrid.
2021     Chrysler     Voyager.,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2021,Chrysler,Voyager.
2020     Chrysler     Voyager.,2.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,2020,Chrysler,Voyager.
2020     Chrysler     300.,12.0,4.8,4.7,4.8,4.8,4.8,4.8,4.9,2020,Chrysler,300.
2020     Chrysler     Pacifica Hybrid.,7.0,4.5,4.7,4.9,4.3,4.3,4.4,4.3,2020,Chrysler,Pacifica Hybrid.
2020     Chrysler     Pacifica.,63.0,4.7,4.9,4.9,4.7,4.6,4.9,4.7,2020,Chrysler,Pacifica.
2019     Chrysler     Pacifica.,86.0,4.7,4.9,4.8,4.7,4.6,4.8,4.6,2019,Chrysler,Pacifica.
2019     Chrysler     300.,57.0,4.8,4.9,4.8,4.9,4.8,4.8,4.8,2019,Chrysler,300.
2019     Chrysler     Pacifica Hybrid.,5.0,4.5,4.8,4.6,4.2,4.4,4.8,4.2,2019,Chrysler,Pacifica Hybrid.
2018     Chrysler     300.,120.0,4.8,4.9,4.8,4.7,4.7,4.9,4.7,2018,Chrysler,300.
2018     Chrysler     Pacifica.,227.0,4.7,4.8,4.8,4.7,4.5,4.8,4.6,2018,Chrysler,Pacifica.
2018     Chrysler     Pacifica Hybrid.,48.0,4.5,4.7,4.5,4.6,4.2,4.6,4.4,2018,Chrysler,Pacifica Hybrid.
2018     Chrysler     300C.,12.0,4.9,5.0,4.9,4.8,4.7,4.8,5.0,2018,Chrysler,300C.
2017     Chrysler     Pacifica.,376.0,4.6,4.8,4.7,4.6,4.4,4.8,4.5,2017,Chrysler,Pacifica.
2017     Chrysler     300.,69.0,4.7,4.8,4.7,4.8,4.6,4.7,4.7,2017,Chrysler,300.
2017     Chrysler     300C.,34.0,4.7,4.8,4.7,4.7,4.5,4.7,4.8,2017,Chrysler,300C.
2017     Chrysler     Pacifica Hybrid.,13.0,4.8,4.9,4.7,4.8,4.7,4.8,4.9,2017,Chrysler,Pacifica Hybrid.
2017     Chrysler     200.,45.0,4.5,4.6,4.8,4.3,4.3,4.7,4.2,2017,Chrysler,200.
2016     Chrysler     300.,76.0,4.7,4.7,4.7,4.7,4.6,4.7,4.6,2016,Chrysler,300.
2016     Chrysler     300C.,47.0,4.9,4.9,4.8,4.9,4.8,4.9,4.8,2016,Chrysler,300C.
2016     Chrysler     200.,140.0,4.4,4.5,4.5,4.3,4.2,4.6,4.3,2016,Chrysler,200.
2016     Chrysler     Town & Country.,113.0,4.7,4.8,4.8,4.6,4.6,4.7,4.7,2016,Chrysler,Town & Country.
2015     Chrysler     300C.,14.0,4.8,4.8,4.9,4.9,4.9,4.9,4.8,2015,Chrysler,300C.
2015     Chrysler     200.,364.0,4.4,4.5,4.5,4.2,4.2,4.6,4.2,2015,Chrysler,200.
2015     Chrysler     Town & Country.,80.0,4.6,4.7,4.6,4.6,4.6,4.5,4.6,2015,Chrysler,Town & Country.
2015     Chrysler     300.,51.0,4.7,4.8,4.7,4.7,4.5,4.8,4.7,2015,Chrysler,300.
2014     Chrysler     300C.,33.0,4.6,4.7,4.6,4.8,4.5,4.6,4.6,2014,Chrysler,300C.
2014     Chrysler     300.,83.0,4.7,4.8,4.8,4.6,4.6,4.8,4.6,2014,Chrysler,300.
2014     Chrysler     Town & Country.,126.0,4.6,4.7,4.7,4.5,4.6,4.6,4.5,2014,Chrysler,Town & Country.
2014     Chrysler     200.,68.0,4.2,4.3,4.1,4.2,4.1,4.3,4.3,2014,Chrysler,200.
2013     Chrysler     300.,64.0,4.5,4.6,4.5,4.5,4.4,4.7,4.4,2013,Chrysler,300.
2013     Chrysler     Town & Country.,91.0,4.7,4.8,4.8,4.6,4.7,4.6,4.7,2013,Chrysler,Town & Country.
2013     Chrysler     200.,152.0,4.3,4.5,4.3,4.2,4.2,4.4,4.3,2013,Chrysler,200.
2013     Chrysler     300C.,39.0,4.6,4.7,4.6,4.7,4.4,4.7,4.5,2013,Chrysler,300C.
2012     Chrysler     300.,63.0,4.8,4.9,4.8,4.7,4.7,4.9,4.7,2012,Chrysler,300.
2012     Chrysler     200.,128.0,4.4,4.4,4.4,4.2,4.3,4.5,4.4,2012,Chrysler,200.
2012     Chrysler     Town & Country.,95.0,4.5,4.6,4.6,4.3,4.4,4.4,4.4,2012,Chrysler,Town & Country.
2012     Chrysler     300C.,21.0,4.7,4.9,4.7,4.9,4.6,4.8,4.7,2012,Chrysler,300C.
2023     Dodge     Charger.,,,,,,,,,2023,Dodge,Charger.
2023     Dodge     Challenger.,,,,,,,,,2023,Dodge,Challenger.
2023     Dodge     Durango.,,,,,,,,,2023,Dodge,Durango.
2023     Dodge     Hornet.,,,,,,,,,2023,Dodge,Hornet.
2022     Dodge     Durango.,2.0,4.4,4.5,4.5,5.0,4.0,4.0,4.5,2022,Dodge,Durango.
2022     Dodge     Challenger.,10.0,4.9,4.9,4.7,4.9,4.8,5.0,5.0,2022,Dodge,Challenger.
2022     Dodge     Charger.,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2022,Dodge,Charger.
2021     Dodge     Charger.,23.0,4.9,5.0,4.8,5.0,4.8,4.9,5.0,2021,Dodge,Charger.
2021     Dodge     Challenger.,26.0,4.9,4.9,4.8,4.9,4.8,5.0,4.8,2021,Dodge,Challenger.
2021     Dodge     Durango.,28.0,4.7,4.9,4.9,4.7,4.4,4.9,4.8,2021,Dodge,Durango.
2020     Dodge     Durango.,47.0,4.8,5.0,4.7,4.9,4.7,4.9,4.7,2020,Dodge,Durango.
2020     Dodge     Charger.,57.0,4.8,4.8,4.8,4.8,4.6,4.8,4.8,2020,Dodge,Charger.
2020     Dodge     Challenger.,73.0,4.9,4.9,4.9,4.9,4.8,5.0,4.9,2020,Dodge,Challenger.
2020     Dodge     Journey.,26.0,4.2,4.2,4.3,3.9,4.1,4.2,4.2,2020,Dodge,Journey.
2020     Dodge     Grand Caravan.,7.0,4.5,4.6,4.4,4.7,4.3,4.3,4.6,2020,Dodge,Grand Caravan.
2019     Dodge     Challenger.,151.0,4.8,4.8,4.7,4.9,4.7,4.9,4.8,2019,Dodge,Challenger.
2019     Dodge     Charger.,107.0,4.9,4.8,4.8,4.9,4.7,5.0,4.9,2019,Dodge,Charger.
2019     Dodge     Durango.,61.0,4.7,4.8,4.7,4.7,4.6,4.7,4.6,2019,Dodge,Durango.
2019     Dodge     Grand Caravan.,70.0,4.7,4.8,4.7,4.6,4.7,4.6,4.6,2019,Dodge,Grand Caravan.
2019     Dodge     Journey.,83.0,4.3,4.5,4.3,4.2,4.3,4.4,4.4,2019,Dodge,Journey.
2018     Dodge     Challenger.,215.0,4.8,4.8,4.7,4.9,4.6,4.9,4.8,2018,Dodge,Challenger.
2018     Dodge     Charger.,201.0,4.8,4.8,4.7,4.8,4.6,4.9,4.8,2018,Dodge,Charger.
2018     Dodge     Journey.,254.0,4.6,4.7,4.6,4.5,4.6,4.6,4.7,2018,Dodge,Journey.
2018     Dodge     Durango.,146.0,4.8,4.9,4.8,4.9,4.5,4.9,4.8,2018,Dodge,Durango.
2018     Dodge     Grand Caravan.,70.0,4.7,4.7,4.6,4.6,4.7,4.5,4.7,2018,Dodge,Grand Caravan.
2017     Dodge     Durango.,133.0,4.7,4.8,4.8,4.6,4.5,4.8,4.7,2017,Dodge,Durango.
2017     Dodge     Challenger.,170.0,4.8,4.7,4.8,4.8,4.7,4.9,4.8,2017,Dodge,Challenger.
2017     Dodge     Charger.,151.0,4.8,4.9,4.7,4.9,4.7,4.9,4.7,2017,Dodge,Charger.
2017     Dodge     Grand Caravan.,173.0,4.7,4.7,4.6,4.6,4.6,4.6,4.7,2017,Dodge,Grand Caravan.
2017     Dodge     Journey.,248.0,4.7,4.7,4.6,4.6,4.6,4.7,4.7,2017,Dodge,Journey.
2017     Dodge     Viper.,4.0,3.4,2.5,3.2,4.0,3.5,4.0,3.0,2017,Dodge,Viper.
2016     Dodge     Challenger.,191.0,4.8,4.8,4.7,4.8,4.6,4.9,4.8,2016,Dodge,Challenger.
2016     Dodge     Dart.,78.0,4.6,4.6,4.6,4.4,4.4,4.7,4.6,2016,Dodge,Dart.
2016     Dodge     Durango.,60.0,4.7,4.8,4.7,4.6,4.4,4.8,4.8,2016,Dodge,Durango.
2016     Dodge     Charger.,173.0,4.8,4.8,4.7,4.8,4.7,4.8,4.8,2016,Dodge,Charger.
2016     Dodge     Journey.,143.0,4.5,4.6,4.5,4.5,4.5,4.5,4.5,2016,Dodge,Journey.
2016     Dodge     Grand Caravan.,105.0,4.4,4.6,4.4,4.2,4.4,4.3,4.3,2016,Dodge,Grand Caravan.
2016     Dodge     Viper.,4.0,4.8,4.2,4.2,5.0,5.0,5.0,5.0,2016,Dodge,Viper.
2015     Dodge     Durango.,104.0,4.7,4.8,4.7,4.7,4.5,4.8,4.6,2015,Dodge,Durango.
2015     Dodge     Dart.,108.0,4.3,4.3,4.4,4.1,4.1,4.5,4.1,2015,Dodge,Dart.
2015     Dodge     Challenger.,154.0,4.8,4.8,4.8,4.8,4.7,4.9,4.7,2015,Dodge,Challenger.
2015     Dodge     Grand Caravan.,51.0,4.6,4.7,4.5,4.5,4.5,4.5,4.6,2015,Dodge,Grand Caravan.
2015     Dodge     Charger.,123.0,4.6,4.7,4.5,4.7,4.5,4.8,4.6,2015,Dodge,Charger.
2015     Dodge     Journey.,114.0,4.6,4.7,4.6,4.5,4.6,4.6,4.6,2015,Dodge,Journey.
2015     Dodge     Viper.,1.0,4.7,4.0,5.0,5.0,5.0,5.0,4.0,2015,Dodge,Viper.
2014     Dodge     Challenger.,97.0,4.7,4.7,4.6,4.7,4.5,4.8,4.6,2014,Dodge,Challenger.
2014     Dodge     Durango.,107.0,4.7,4.8,4.7,4.8,4.6,4.8,4.7,2014,Dodge,Durango.
2014     Dodge     Charger.,148.0,4.7,4.8,4.6,4.8,4.5,4.8,4.6,2014,Dodge,Charger.
2014     Dodge     Avenger.,68.0,4.5,4.5,4.4,4.5,4.5,4.7,4.6,2014,Dodge,Avenger.
2014     Dodge     Dart.,93.0,4.3,4.4,4.6,4.2,4.3,4.6,4.1,2014,Dodge,Dart.
2014     Dodge     Grand Caravan.,93.0,4.4,4.6,4.4,4.4,4.4,4.4,4.5,2014,Dodge,Grand Caravan.
2014     Dodge     Journey.,105.0,4.3,4.6,4.4,4.1,4.4,4.4,4.2,2014,Dodge,Journey.
