id,case_id,party_number,party_type,at_fault,party_sex,party_age,party_sobriety,party_drug_physical,direction_of_travel,party_safety_equipment_1,party_safety_equipment_2,financial_responsibility,hazardous_materials,cellphone_in_use,cellphone_use_type,school_bus_related,oaf_violation_code,oaf_violation_category,oaf_violation_section,oaf_violation_suffix,other_associate_factor_1,other_associate_factor_2,party_number_killed,party_number_injured,movement_preceding_collision,vehicle_year,vehicle_make,statewide_vehicle_type,chp_vehicle_type_towing,chp_vehicle_type_towed,party_race
257,3984218,1,driver,1,male,23,"had been drinking, under influence",,west,,,,,0,cellphone not in use,,,driving or bicycling under the influence of alcohol or drug,23152,A,violation,other,1,0,proceeding straight,2005,ford,pickup or panel truck,pickups & panels,00,black
258,3984219,1,driver,1,male,19,impairment unknown,G,south,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,runaway vehicle,,1,0,proceeding straight,2004,toyota,passenger car,"passenger car, station",00,hispanic
259,3984244,1,driver,1,female,35,"had been drinking, under influence",,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,improper turning,22107,,violation,,1,1,other,1991,honda,passenger car,"passenger car, station",00,hispanic
260,3984245,1,driver,0,female,62,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2000,mercury,passenger car,"passenger car, station",00,black
261,3984245,2,pedestrian,0,female,74,had not been drinking,,west,,,not applicable,,,,,,,,,none apparent,,1,0,proceeding straight,,,pedestrian,pedestrian,00,asian
262,3984246,1,driver,1,male,28,,under drug influence,east,not required,"driver, motorcycle helmet used",no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,2005,suzuki,motorcycle or scooter,motorcycle,00,other
263,3984246,2,driver,0,male,45,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,chevrolet,pickup or panel truck,pickups & panels,00,hispanic
264,3984274,1,driver,1,male,56,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,2002,,other bus,public transit authority,00,hispanic
265,3984274,2,pedestrian,0,female,58,had not been drinking,,west,,,not applicable,,,,,,,,,none apparent,,1,0,proceeding straight,,,pedestrian,pedestrian,00,white
266,3984278,1,pedestrian,1,male,82,impairment unknown,G,north,,,not applicable,,0,cellphone not in use,,,pedestrian violation,21956,A,violation,,1,0,other,,,pedestrian,pedestrian,00,hispanic
267,3984278,2,driver,0,male,47,had not been drinking,,east,not required,lap/shoulder harness not used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1998,,other bus,tour bus,00,hispanic
268,3984280,1,driver,1,female,18,had not been drinking,,south,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,,,1,0,ran off road,1989,toyota,passenger car,"passenger car, station",00,hispanic
269,3984281,1,driver,1,male,29,impairment unknown,G,south,air bag deployed,lap/shoulder harness not used,proof of insurance obtained,,0,cellphone not in use,,,failure to heed stop signal,21453,A,violation,,1,0,proceeding straight,2007,acura,passenger car,"passenger car, station",00,white
270,3984281,2,driver,0,male,30,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,,,0,0,proceeding straight,2000,acura,passenger car,"passenger car, station",00,white
271,3984282,1,driver,1,male,55,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,improper turning,22107,,violation,none apparent,0,0,proceeding straight,2002,bmw,passenger car,"passenger car, station",00,white
272,3984282,2,bicyclist,0,male,55,had not been drinking,,north,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,,,bicycle,bicycle,00,white
273,3984283,1,driver,1,male,27,impairment unknown,G,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,ford,pickup or panel truck,pickups & panels,00,hispanic
274,3984283,2,driver,0,male,49,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,,,0,cellphone not in use,,,,,,none apparent,,1,2,proceeding straight,2005,toyota,passenger car,sport utility vehicle,00,white
275,3984284,1,driver,1,female,67,"had been drinking, under influence",,west,air bag not deployed,lap/shoulder harness used,,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,1999,ford,passenger car,"passenger car, station",00,white
276,3984285,1,driver,0,male,87,impairment unknown,G,east,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,2002,toyota,passenger car,"passenger car, station",00,white
277,3984313,1,driver,1,male,41,"had been drinking, under influence",,west,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,2,1,proceeding straight,2001,chevrolet,pickup or panel truck,pickups & panels,00,hispanic
278,3984314,1,driver,1,male,42,"had been drinking, under influence",,west,unknown,,proof of insurance obtained,,0,cellphone not in use,,,wrong side of road,21650,,violation,,3,0,crossed into opposing lane,2001,chevrolet,pickup or panel truck,pickups & panels,00,white
279,3984314,2,driver,0,male,21,had not been drinking,,east,air bag not deployed,lap/shoulder harness not used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,2000,nissan,pickup or panel truck,pickups & panels,00,hispanic
280,3984319,1,pedestrian,1,female,24,had not been drinking,under drug influence,north,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,1,0,,,,pedestrian,pedestrian,00,hispanic
281,3984319,2,driver,0,male,25,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1997,chevrolet,passenger car,sport utility vehicle,00,hispanic
282,3984324,1,driver,0,male,74,impairment unknown,G,east,air bag deployed,,,,,no cellphone/unknown,,,,,,none apparent,,1,0,proceeding straight,2008,chevrolet,,,,white
283,3984324,2,driver,0,male,36,had not been drinking,,east,lap/shoulder harness used,,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,1999,freightliner,,,,hispanic
284,3984324,3,driver,0,female,69,had not been drinking,,east,lap/shoulder harness used,,proof of insurance obtained,,,no cellphone/unknown,,,,,,none apparent,,0,0,stopped,1999,oldsmobile,,,,white
285,3984328,1,driver,1,female,80,had not been drinking,,south,,,,,0,cellphone not in use,,,,,,other,,1,2,proceeding straight,2002,MONACO,other vehicle,motor home,sport utility vehicle,white
286,3984329,1,driver,1,female,38,had not been drinking,under drug influence,east,not required,"driver, motorcycle helmet used",proof of insurance obtained,,0,cellphone not in use,,,wrong side of road,21650,,violation,,1,0,crossed into opposing lane,2006,suzuki,motorcycle or scooter,motorcycle,00,white
287,3984329,2,driver,0,female,71,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2005,dodge,passenger car,mini-vans,00,white
288,3984333,1,driver,1,female,31,"had been drinking, under influence",under drug influence,south,air bag deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,2,1,other,1999,volkswagen,passenger car,"passenger car, station",00,hispanic
289,3984348,1,pedestrian,1,male,24,"had been drinking, under influence",,south,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,1,0,,,,pedestrian,pedestrian,00,hispanic
290,3984348,2,driver,0,,,impairment unknown,G,west,,,,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,,,passenger car,sport utility vehicle,00,
291,3984348,3,driver,0,male,22,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,audi,passenger car,"passenger car, station",00,white
292,3984348,4,driver,0,male,35,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,ford,pickup or panel truck,pickups & panels,00,hispanic
293,3984348,5,driver,0,male,35,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1996,chevrolet,passenger car,sport utility vehicle,00,hispanic
294,3984351,1,driver,1,male,19,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2002,chevrolet,passenger car,"passenger car, station",00,white
295,3984351,2,bicyclist,0,male,53,"had been drinking, not under influence",,west,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,,,bicycle,bicycle,00,hispanic
296,3984352,1,driver,1,female,42,had not been drinking,,north,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,none apparent,,0,0,proceeding straight,2003,hyundai,passenger car,"passenger car, station",00,
297,3984352,2,driver,0,male,21,had not been drinking,under drug influence,west,air bag deployed,"driver, motorcycle helmet used",,,,,,,,,,none apparent,,1,0,proceeding straight,2007,ducati,motorcycle or scooter,motorcycle,00,white
298,3984353,1,pedestrian,1,male,27,,under drug influence,east,,,not applicable,,0,cellphone not in use,,,,,,previous collision,,1,0,,,,pedestrian,pedestrian,00,black
299,3984353,2,driver,0,male,43,"had been drinking, under influence",,east,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,driving or bicycling under the influence of alcohol or drug,23152,A,violation,,0,1,proceeding straight,1999,honda,passenger car,"passenger car, station",00,asian
300,3984358,1,driver,1,female,26,"had been drinking, not under influence",,south,air bag deployed,lap/shoulder harness used,,,0,cellphone not in use,,,,,,defective vehicle equipment,,0,1,changing lanes,2006,nissan,passenger car,"passenger car, station",00,hispanic
301,3984358,2,driver,0,female,55,had not been drinking,,south,not required,lap/shoulder harness used,,,0,cellphone not in use,,,,,,none apparent,,1,1,proceeding straight,1993,toyota,passenger car,"passenger car, station",00,hispanic
302,3984359,1,driver,0,male,63,,under drug influence,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,other,,1,0,proceeding straight,2008,toyota,passenger car,"passenger car, station",00,white
303,3984361,1,driver,1,male,24,"had been drinking, under influence",,west,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,improper turning,22107,,violation,,1,2,other unsafe turning,1994,saturn,passenger car,"passenger car, station",00,hispanic
304,3984369,1,driver,0,male,31,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1990,honda,passenger car,"passenger car, station",00,hispanic
305,3984369,2,pedestrian,1,male,34,"had been drinking, under influence",,west,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,1,0,,,,pedestrian,pedestrian,00,hispanic
306,3984376,1,driver,0,male,40,impairment unknown,G,south,not required,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,1,0,proceeding straight,1992,chevrolet,passenger car,"passenger car, station",00,hispanic
307,3984376,2,driver,0,male,64,had not been drinking,,south,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1986,peterbilt,truck or truck tractor with trailer,three or more axle truck,semi tank trailer,white
308,3984381,1,driver,1,male,78,had not been drinking,sleepy/fatigued,east,air bag deployed,lap/shoulder harness used,no proof of insurance obtained,,,,,,,,,none apparent,,1,0,ran off road,2004,ford,pickup or panel truck,pickups & panels,00,white
309,3984383,1,driver,1,male,21,"had been drinking, under influence",,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,unsafe speed,22350,,violation,,0,1,ran off road,2008,dodge,passenger car,sport utility vehicle,00,hispanic
310,3984383,2,parked vehicle,0,,,not applicable,not applicable,north,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,2001,gmc,passenger car,sport utility vehicle,00,
311,3984383,3,pedestrian,0,male,29,"had been drinking, under influence",,north,,,not applicable,,1,cellphone in use (handheld),,,,,,none apparent,,1,0,,,,pedestrian,pedestrian,00,hispanic
312,3984389,1,driver,1,male,48,impairment unknown,G,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,1,0,other unsafe turning,1999,chevrolet,pickup or panel truck,pickups & panels,00,white
313,3984398,1,driver,1,male,20,had not been drinking,,west,not required,"driver, motorcycle helmet used",,,1,cellphone in use (hands-free),,,,,,none apparent,,1,0,proceeding straight,2003,honda,motorcycle or scooter,motorcycle,00,black
314,3984398,2,driver,0,female,42,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (hands-free),,,,,,none apparent,,0,0,making left turn,1999,honda,passenger car,"passenger car, station",00,other
315,3984659,1,driver,1,male,17,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,unsafe speed,22350,,violation,none apparent,0,0,slowing/stopping,1995,jeep,passenger car,"passenger car, station",00,
316,3984659,2,driver,0,male,27,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1998,international harvester,truck or truck tractor,truck tractor,00,white
317,3984857,1,driver,0,male,18,not applicable,not applicable,east,,,proof of insurance obtained,,,,,,,,,none apparent,,0,0,proceeding straight,2001,mercedes-benz,,,00,
318,3984857,2,driver,1,male,48,not applicable,not applicable,west,,,no proof of insurance obtained,,,,,,,,,none apparent,,0,0,making left turn,2001,chevrolet,,,00,hispanic
319,3984861,1,driver,1,male,50,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,1999,international harvester,truck or truck tractor,two axle truck,00,white
320,3984865,1,driver,0,female,74,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2006,hyundai,passenger car,"passenger car, station",00,white
321,3984865,2,driver,0,female,45,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1997,dodge,pickup or panel truck,pickups & panels,00,other
322,3984869,1,driver,1,male,20,had not been drinking,,east,air bag deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,1993,honda,passenger car,"passenger car, station",00,asian
323,3984869,2,driver,0,male,53,had not been drinking,,north,air bag not deployed,,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,making left turn,2006,toyota,pickup or panel truck,pickups & panels,00,asian
324,3984873,1,driver,1,male,49,had not been drinking,sleepy/fatigued,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,,,,,,,,none apparent,,0,0,ran off road,2003,freightliner,truck or truck tractor with trailer,three or more axle truck,semi,hispanic
325,3984928,1,driver,0,male,18,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (hands-free),,,,,,entering/leaving ramp,,0,0,proceeding straight,2001,dodge,pickup or panel truck,pickups & panels,00,white
326,3984928,2,driver,1,male,26,had not been drinking,,west,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (hands-free),,,,,,entering/leaving ramp,,0,0,other,2007,chevrolet,pickup or panel truck,pickups & panels,00,white
327,3984932,1,driver,1,male,21,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2005,gmc,pickup or panel truck,pickups & panels,00,hispanic
328,3984932,2,driver,0,male,33,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2009,freightliner,truck or truck tractor with trailer,truck tractor,pull,white
329,3985078,1,driver,0,male,56,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2008,ford,passenger car,"passenger car, station",00,other
330,3985078,2,driver,0,male,31,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,chevrolet,pickup or panel truck with trailer,pickups & panels,utility,white
331,3985105,1,driver,1,,,had not been drinking,,south,,,,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,,,,unknown hit and run vehicle involvement,00,
332,3985105,2,driver,0,male,26,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1994,gmc,pickup or panel truck,pickups & panels,00,hispanic
333,3986468,1,driver,1,male,39,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1993,freightliner,truck or truck tractor,truck tractor,00,hispanic
334,3986468,2,driver,0,female,26,had not been drinking,,north,other,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,slowing/stopping,2007,chrysler,passenger car,"passenger car, station",00,hispanic
335,3986472,1,driver,1,male,57,had not been drinking,,west,lap/shoulder harness used,,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making right turn,2005,freightliner,truck or truck tractor with trailer,three or more axle truck,utility,
336,3986476,1,driver,1,male,26,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,2000,freightliner,other bus,other commercial,00,white
337,3986476,2,driver,0,male,31,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2009,pontiac,passenger car,"passenger car, station",00,black
338,3986480,1,driver,1,female,42,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,ford,passenger car,"passenger car, station",00,white
339,3986480,2,parked vehicle,0,,,not applicable,not applicable,east,,,not applicable,,0,cellphone not in use,,,,,,none apparent,,0,0,parked,1986,ford,truck or truck tractor with trailer,three or more axle truck,container chassis,
340,3987521,1,driver,1,female,26,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,honda,passenger car,"passenger car, station",00,hispanic
341,3987521,2,driver,0,female,49,had not been drinking,,east,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,stopped,2006,peterbilt,truck or truck tractor with trailer,truck tractor,semi,white
342,3987522,1,driver,0,female,26,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2001,saturn,,,00,white
343,3987522,2,driver,1,female,32,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,changing lanes,2001,international harvester,,,00,white
344,3987525,1,driver,0,male,46,had not been drinking,,east,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1990,toyota,pickup or panel truck,pickups & panels,00,black
345,3987525,2,driver,0,male,53,had not been drinking,,east,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2003,freightliner,truck or truck tractor,truck tractor,00,hispanic
346,3987526,1,driver,1,male,54,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,ran off road,1999,kenworth,truck or truck tractor,two axle tank truck,00,hispanic
347,3987526,2,parked vehicle,0,,,not applicable,not applicable,north,,,not applicable,,,,,,,,,none apparent,,0,0,parked,2006,scion,passenger car,"passenger car, station",00,
348,3987526,3,parked vehicle,0,,,not applicable,not applicable,west,,,not applicable,,,,,,,,,none apparent,,0,0,parked,1996,subaru,passenger car,"passenger car, station",00,
349,3987526,4,parked vehicle,0,,,not applicable,not applicable,west,,,not applicable,,,,,,,,,none apparent,,0,0,parked,2000,honda,passenger car,"passenger car, station",00,
350,3987530,1,driver,1,male,54,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,no proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,making u-turn,1998,chrysler,truck or truck tractor,two axle truck,00,white
351,3987530,2,driver,0,male,42,had not been drinking,,south,lap/shoulder harness used,,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,2,proceeding straight,1990,mercedes-benz,passenger car,"passenger car, station",00,white
352,3987534,1,driver,1,male,25,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,proceeding straight,1997,ford,passenger car,"passenger car, station",00,hispanic
353,3987534,2,driver,0,female,45,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,stopped,2005,honda,passenger car,sport utility vehicle,00,white
354,3987534,3,driver,0,male,43,had not been drinking,,south,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,slowing/stopping,1991,white,truck or truck tractor,two axle truck,00,hispanic
355,3987538,1,driver,1,male,66,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,uninvolved vehicle,,0,0,proceeding straight,1996,toyota,passenger car,"passenger car, station",00,asian
356,3987538,2,driver,0,male,46,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2007,audi,passenger car,sport utility vehicle,00,white
357,3987538,3,driver,0,male,48,had not been drinking,,south,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2002,toyota,truck or truck tractor,three or more axle truck,00,white
358,3987542,1,driver,1,male,32,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,proceeding straight,1994,chevrolet,pickup or panel truck,pickups & panels,00,hispanic
359,3987542,2,driver,0,male,67,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,unsafe speed,22350,,violation,stop and go traffic,0,0,proceeding straight,2004,mazda,passenger car,"passenger car, station",00,white
360,3987542,3,driver,0,male,52,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,stop and go traffic,,0,1,slowing/stopping,2006,jeep,passenger car,sport utility vehicle,00,white
361,3987542,4,parked vehicle,0,,,not applicable,not applicable,west,,,not applicable,,0,cellphone not in use,,,,,,stop and go traffic,,0,0,parked,2006,chevrolet,truck or truck tractor,two-axle tow truck,00,
362,3987546,1,driver,1,female,21,had not been drinking,,west,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,improper turning,22107,,violation,,0,0,making left turn,2005,,other bus,other commercial,00,hispanic
363,3987550,1,driver,1,male,18,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,1,cellphone in use (handheld),,,,,,violation,inattention,0,0,making left turn,2008,ford,passenger car,"passenger car, station",00,white
364,3987550,2,driver,0,male,42,had not been drinking,,west,air bag not deployed,lap belt used,proof of insurance obtained,,,,,,,,,violation,,0,0,passing other vehicle,1997,freightliner,other bus,other commercial,00,white
365,3987554,1,driver,1,male,23,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,entering/leaving ramp,,0,0,merging,2006,mazda,passenger car,"passenger car, station",00,asian
366,3987554,2,driver,0,male,46,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2005,kawasaki,truck or truck tractor with trailer,truck tractor,semi,white
367,3987558,1,driver,1,male,52,had not been drinking,,north,not required,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,other,2005,freightliner,truck or truck tractor with trailer,truck tractor,semi,white
368,3987562,1,driver,1,male,35,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making right turn,1999,volvo,truck or truck tractor with trailer,three or more axle truck,semi,hispanic
369,3987565,1,driver,0,male,24,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,uninvolved vehicle,,0,0,stopped,2005,chevrolet,pickup or panel truck,pickups & panels,00,white
370,3987565,2,driver,1,male,52,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,uninvolved vehicle,,0,0,slowing/stopping,2008,acadian,other bus,paratransit,00,other
371,3987565,3,other,0,,,impairment unknown,G,north,,,not applicable,,0,cellphone not in use,,,,,,other,,0,0,stopped,1998,mazda,passenger car,"passenger car, station",00,
372,3987570,1,driver,1,male,34,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,inattention,,0,0,proceeding straight,2001,ford,passenger car,"passenger car, station",00,white
373,3987570,2,driver,0,female,59,had not been drinking,,,other,lap belt used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1998,bluebird,schoolbus,school bus public type i,00,white
374,3987602,1,driver,0,male,58,had not been drinking,,east,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,entering traffic,2001,volvo,truck or truck tractor with trailer,three or more axle truck,semi,white
375,3987606,1,driver,1,female,43,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,2007,toyota,passenger car,mini-vans,00,other
376,3987606,2,driver,0,male,48,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1994,white,truck or truck tractor,three or more axle truck,00,hispanic
377,3987612,1,driver,1,male,37,"had been drinking, under influence",,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,unsafe speed,22350,,violation,,0,1,proceeding straight,1992,honda,passenger car,"passenger car, station",00,hispanic
378,3987612,2,driver,0,male,39,had not been drinking,,north,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,making left turn,2005,freightliner,truck or truck tractor with trailer,two axle truck,pull,hispanic
379,3987614,1,driver,0,male,54,had not been drinking,,south,shoulder harness not used,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,1994,peterbilt,truck or truck tractor,three or more axle truck,00,hispanic
380,3987614,2,driver,0,male,63,had not been drinking,,west,air bag not deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,0,proceeding straight,2004,honda,passenger car,sport utility vehicle,00,white
381,3987614,3,driver,0,male,35,had not been drinking,,south,air bag deployed,lap/shoulder harness used,proof of insurance obtained,,0,cellphone not in use,,,,,,none apparent,,0,1,proceeding straight,2001,bmw,passenger car,"passenger car, station",00,asian
