"name","nickname","wins","losses","draws","height_cm","weight_in_kg","reach_in_cm","stance","date_of_birth","significant_strikes_landed_per_minute","significant_striking_accuracy","significant_strikes_absorbed_per_minute","significant_strike_defence","average_takedowns_landed_per_15_minutes","takedown_accuracy","takedown_defense","average_submissions_attempted_per_15_minutes"
"Kenji Osawa","","20","11","2","170.18","61.23","167.64","Orthodox","1976-11-04","2.34","35.0","2.14","63.0","0.91","58.0","68.0","0.7"
"Yves Edwards","","42","22","1","175.26","70.31","185.42","Southpaw","1976-09-30","2.91","42.0","2.34","66.0","0.76","53.0","69.0","0.7"
"Maryna Moroz","Iron Lady","11","5","0","170.18","56.7","170.18","Orthodox","1991-09-08","4.15","31.0","4.42","53.0","0.67","22.0","45.0","0.7"
"Thiago Silva","","19","6","0","187.96","92.99","187.96","Orthodox","1982-11-12","3.92","50.0","2.55","67.0","1.03","47.0","70.0","0.7"
"Brad Blackburn","Bad Brad","18","13","1","177.8","77.11","185.42","Orthodox","1977-05-25","4.55","35.0","3.59","65.0","0.93","50.0","76.0","0.7"
"Yancy Medeiros","","15","8","0","177.8","70.31","190.5","Orthodox","1987-09-07","4.36","37.0","5.67","47.0","0.33","50.0","73.0","0.7"
"Jameel Massouh","","26","9","0","177.8","65.77","182.88","Orthodox","1984-09-12","1.91","54.0","2.62","55.0","0.67","15.0","50.0","0.7"
"Ian Heinisch","The Hurricane","14","5","0","180.34","83.91","182.88","Orthodox","1988-08-05","3.25","50.0","2.98","59.0","1.02","17.0","59.0","0.7"
"Katsuyori Shibata","","4","11","1","182.88","76.2","","Orthodox","1979-11-17","2.06","35.0","2.4","53.0","0.49","50.0","53.0","0.7"
"Steve Cantwell","The Robot","7","6","0","187.96","83.91","190.5","Orthodox","1986-12-08","3.63","34.0","5.76","55.0","0.65","30.0","80.0","0.7"
"Vanessa Demopoulos","Lil Monster","10","5","0","157.48","52.16","149.86","Orthodox","1988-09-22","3.44","43.0","5.06","43.0","0.49","13.0","30.0","0.7"
"Jeff Monson","The Snowman","60","26","1","175.26","112.04","187.96","Orthodox","1971-01-18","0.97","30.0","2.87","59.0","1.06","12.0","66.0","0.7"
"Guto Inocente","","7","4","0","190.5","92.99","","Orthodox","1986-05-29","4.13","66.0","2.92","54.0","0.67","33.0","66.0","0.7"
"Leo Kuntz","The Lion","18","4","1","177.8","70.31","","Orthodox","1983-10-03","1.68","32.0","3.8","45.0","1.99","25.0","33.0","0.7"
"Devin Powell","","9","4","0","182.88","70.31","185.42","Orthodox","1988-03-01","2.88","41.0","3.67","51.0","0.0","0.0","0.0","0.6"
"Marcus LeVesseur","The Prospect","22","7","0","175.26","70.31","177.8","Southpaw","1982-07-17","2.55","64.0","3.7","37.0","3.89","36.0","83.0","0.6"
"Vitor Belfort","The Phenom","26","14","0","182.88","83.91","187.96","Southpaw","1977-04-01","1.59","46.0","2.83","50.0","1.02","60.0","53.0","0.6"
"Tito Ortiz","The People's Champ","19","12","1","190.5","92.99","187.96","Orthodox","1975-01-23","2.59","46.0","2.88","60.0","2.47","35.0","54.0","0.6"
"Francisco Rivera","Cisco","11","7","0","172.72","61.23","177.8","Orthodox","1981-10-08","4.07","41.0","3.16","68.0","1.01","63.0","68.0","0.6"
"Jarred Brooks","The Monkey God","13","2","0","160.02","56.7","157.48","Switch","1993-05-02","2.12","46.0","1.66","62.0","4.54","57.0","69.0","0.6"
"Diego Nunes","The Gun","19","7","0","167.64","65.77","170.18","Orthodox","1982-11-30","2.72","43.0","2.59","58.0","1.18","44.0","65.0","0.6"
"Joseph Benavidez","","28","8","0","162.56","56.7","165.1","Southpaw","1984-07-31","3.52","34.0","2.67","61.0","1.41","30.0","62.0","0.6"
"Bryan Battle","Pooh Bear","11","2","0","185.42","77.11","195.58","Orthodox","1994-09-21","4.52","54.0","3.73","42.0","0.94","25.0","45.0","0.6"
"Mike Lullo","","8","3","0","172.72","65.77","","Orthodox","1979-07-24","2.48","36.0","4.84","40.0","1.18","11.0","0.0","0.6"
"Doug Evans","","13","10","0","175.26","70.31","","Orthodox","1980-10-10","1.79","35.0","2.55","55.0","3.19","83.0","69.0","0.6"
"Chris Tuchscherer","The Crowbar","21","4","0","187.96","117.03","193.04","Orthodox","1975-09-08","1.35","31.0","3.17","47.0","1.19","18.0","0.0","0.6"
"Yoshihisa Yamamoto","","14","25","1","187.96","99.79","","Southpaw","1970-07-04","1.65","38.0","3.05","53.0","1.0","20.0","50.0","0.6"
"Jessica Penne","","14","8","0","165.1","52.16","170.18","Orthodox","1983-01-30","2.52","31.0","4.75","46.0","1.32","21.0","36.0","0.6"
"Geane Herrera","La Pulga","9","3","0","165.1","56.7","167.64","Orthodox","1990-05-27","1.51","31.0","5.07","52.0","0.83","37.0","38.0","0.6"
"Nick Aguirre","Slick","7","2","0","175.26","61.23","187.96","Southpaw","1996-01-15","0.73","33.0","2.89","45.0","1.16","20.0","33.0","0.6"
"Julia Polastri","The Dragon","12","3","0","157.48","52.16","160.02","Orthodox","1998-03-05","6.19","52.0","5.11","62.0","0.62","100.0","42.0","0.6"
"Joe Riggs","Diesel","44","17","0","182.88","83.91","177.8","Southpaw","1982-09-23","2.41","51.0","1.69","57.0","2.45","55.0","62.0","0.6"
"Kazuyuki Fujita","Ironhead","15","12","0","182.88","106.59","","Orthodox","1970-10-16","1.05","49.0","1.99","52.0","2.78","36.0","85.0","0.6"
"Jonathan Goulet","The Road Warrior","23","12","0","182.88","77.11","185.42","Orthodox","1979-07-13","1.61","41.0","2.01","46.0","4.17","70.0","45.0","0.6"
"Ebenezer Fontes Braga","Pitbull","13","7","2","182.88","90.26","","Orthodox","1969-04-14","2.42","50.0","0.42","71.0","0.0","0.0","90.0","0.6"
"Luigi Vendramini","The Italian Stallion","9","3","0","172.72","70.31","185.42","Orthodox","1996-01-16","2.82","40.0","3.82","57.0","1.11","15.0","100.0","0.6"
"Jeka Saragih","","14","3","0","172.72","65.77","175.26","Orthodox","1995-01-01","2.76","50.0","2.84","40.0","2.37","100.0","66.0","0.6"
"Clay Guida","The Carpenter","38","21","0","170.18","70.31","177.8","Orthodox","1981-12-08","2.64","33.0","3.01","61.0","3.13","36.0","67.0","0.6"
"Chepe Mariscal","Machine Gun","15","6","1","170.18","65.77","175.26","Orthodox","1992-10-27","4.67","53.0","3.95","52.0","3.22","38.0","100.0","0.6"
"Phil Davis","Mr. Wonderful","17","4","0","187.96","92.99","200.66","Orthodox","1984-09-25","2.85","34.0","1.33","72.0","2.99","38.0","72.0","0.6"
"Kalib Starnes","","17","11","1","190.5","83.91","187.96","Orthodox","1975-01-06","2.71","48.0","4.43","53.0","1.46","33.0","25.0","0.6"
"Kazuhiro Nakamura","Kaz","21","13","0","180.34","92.99","177.8","Orthodox","1979-07-16","1.56","37.0","1.83","59.0","1.73","36.0","42.0","0.6"
"Phillip Miller","","16","0","0","180.34","83.91","","Orthodox","1979-02-20","1.61","54.0","1.93","50.0","3.62","25.0","100.0","0.6"
"Edgar Garcia","","14","5","0","177.8","77.11","180.34","Orthodox","1984-02-22","3.16","29.0","4.23","60.0","2.21","57.0","50.0","0.6"
"Kuniyoshi Hironaka","","23","9","0","177.8","76.2","177.8","Orthodox","1976-06-17","1.98","40.0","3.01","54.0","1.91","30.0","25.0","0.6"
"Raquel Pennington","Rocky","15","9","0","170.18","61.23","170.18","Orthodox","1988-09-05","4.02","50.0","3.34","62.0","0.93","27.0","63.0","0.6"
"Kyler Phillips","The Matrix","11","2","0","172.72","61.23","182.88","Orthodox","1995-06-12","5.36","46.0","3.36","61.0","2.87","46.0","70.0","0.6"
"Chan Sung Jung","The Korean Zombie","17","8","0","170.18","65.77","182.88","Orthodox","1987-03-17","3.93","41.0","4.52","52.0","0.7","44.0","72.0","0.6"
"Crosley Gracie","","2","2","0","175.26","86.18","","Orthodox","1979-07-18","1.69","37.0","1.54","60.0","3.46","85.0","50.0","0.6"
"Igor Araujo","","25","9","0","185.42","77.11","195.58","Orthodox","1980-12-06","1.52","42.0","2.86","49.0","0.86","15.0","22.0","0.6"
"Shanna Young","The Shanimal","9","6","0","170.18","56.7","165.1","Orthodox","1991-02-20","3.18","47.0","4.88","43.0","0.0","0.0","53.0","0.6"
"Kailin Curran","","4","5","0","162.56","52.16","165.1","Orthodox","1991-04-11","3.89","43.0","4.75","53.0","2.0","57.0","61.0","0.6"
"Mark Munoz","The Filipino Wrecking Machine","14","6","0","182.88","83.91","180.34","Orthodox","1978-02-09","3.12","51.0","2.26","57.0","3.17","29.0","57.0","0.6"
"Derek Brunson","The One","23","9","0","185.42","83.91","195.58","Southpaw","1984-01-04","3.51","47.0","3.05","51.0","3.14","33.0","85.0","0.6"
"Michel Prazeres","Tractor","26","4","0","167.64","77.11","170.18","Orthodox","1981-07-25","2.38","47.0","2.51","57.0","3.94","36.0","47.0","0.6"
"TJ Grant","","21","5","0","177.8","70.31","182.88","Orthodox","1984-02-26","3.95","54.0","3.21","56.0","1.63","43.0","36.0","0.6"
"Ashley Yoder","SpiderMonkey","8","9","0","170.18","52.16","175.26","Southpaw","1987-10-20","3.42","39.0","4.13","47.0","1.09","27.0","66.0","0.6"
"Jake Collier","The Prototype","13","10","0","190.5","104.33","198.12","Orthodox","1988-10-25","5.8","44.0","5.08","50.0","0.71","33.0","67.0","0.6"
"Aspen Ladd","","9","3","0","167.64","61.23","167.64","Orthodox","1995-03-01","3.78","47.0","4.65","47.0","1.56","47.0","62.0","0.6"
"Patricio Freire","Pitbull","26","4","0","165.1","65.77","165.1","","","2.84","41.0","4.43","60.0","0.6","18.0","94.0","0.6"
"Payton Talbott","","7","0","0","177.8","61.23","177.8","Switch","1998-09-09","6.66","51.0","3.12","51.0","0.0","0.0","88.0","0.6"
"John Lineker","Hands of Stone","31","9","0","160.02","61.23","170.18","Orthodox","1990-06-12","5.36","40.0","4.27","56.0","0.56","58.0","67.0","0.6"
"Philip De Fries","","12","6","0","195.58","113.4","200.66","Orthodox","1986-04-21","2.3","47.0","3.0","37.0","3.29","42.0","100.0","0.6"
"Davi Ramos","Tasmanian Devil","10","4","0","167.64","70.31","177.8","Orthodox","1986-11-05","2.64","37.0","3.44","56.0","1.95","40.0","83.0","0.6"
"Edmen Shahbazyan","The Golden Boy","12","4","0","187.96","83.91","190.5","Orthodox","1997-11-20","3.46","51.0","4.13","43.0","2.17","39.0","63.0","0.6"
"Brian Rogers","The Professional Predator","14","9","0","180.34","83.91","","","","4.79","38.0","5.76","58.0","1.22","50.0","100.0","0.6"
"Victor Henry","La Mangosta","23","6","0","170.18","61.23","172.72","Switch","1987-05-04","8.26","54.0","5.95","47.0","0.0","0.0","78.0","0.6"
"Fernie Garcia","","10","4","0","170.18","61.23","170.18","Orthodox","1992-04-12","1.8","34.0","2.69","50.0","0.32","50.0","47.0","0.6"
"Brendan O'Reilly","Badger","6","3","0","170.18","77.11","175.26","Orthodox","1987-06-24","1.9","47.0","2.77","39.0","2.22","43.0","36.0","0.6"
"Dong Hyun Kim","Stun Gun","22","4","1","187.96","77.11","193.04","Southpaw","1981-11-17","2.12","49.0","1.89","58.0","2.93","43.0","71.0","0.6"
"Edwin Figueroa","El Feroz","9","5","0","170.18","61.23","175.26","Orthodox","1984-07-31","2.57","39.0","3.06","51.0","0.2","100.0","37.0","0.6"
"Damian Stasiak","Webster","10","6","0","165.1","61.23","177.8","Orthodox","1990-02-20","1.86","36.0","3.1","52.0","2.64","35.0","43.0","0.6"
"Julian Erosa","Juicy J","28","12","0","185.42","65.77","187.96","Southpaw","1989-07-31","6.22","48.0","6.35","47.0","1.66","46.0","61.0","0.6"
"Hiromitsu Miura","","12","7","0","175.26","77.11","180.34","Orthodox","1981-09-22","2.12","34.0","2.12","58.0","2.23","50.0","69.0","0.6"
"Stevie Ray","Braveheart","23","9","0","177.8","70.31","177.8","Southpaw","1990-03-25","3.73","44.0","2.93","54.0","0.75","46.0","55.0","0.6"
"Wanderlei Silva","The Axe Murderer","35","13","1","180.34","92.99","187.96","Orthodox","1976-07-03","2.79","40.0","2.19","60.0","0.97","53.0","62.0","0.6"
"Rose Namajunas","Thug","12","6","0","165.1","56.7","165.1","Orthodox","1992-06-29","3.68","40.0","3.53","62.0","1.49","48.0","60.0","0.6"
"Mike Swick","Quick","15","6","0","185.42","77.11","195.58","Orthodox","1979-06-19","2.36","37.0","2.29","54.0","1.06","50.0","61.0","0.6"
"Dhiego Lima","","17","9","0","187.96","77.11","190.5","Orthodox","1989-01-31","3.12","39.0","3.88","58.0","1.26","34.0","73.0","0.6"
"Jake Matthews","The Celtic Kid","19","7","0","180.34","77.11","185.42","Orthodox","1994-08-19","3.3","45.0","2.56","60.0","1.59","40.0","62.0","0.6"
"Andrea Lee","KGB","13","8","0","167.64","56.7","175.26","Orthodox","1989-02-11","4.91","47.0","3.69","63.0","1.84","57.0","54.0","0.6"
"Jose Quinonez","Teco","9","5","0","172.72","61.23","175.26","Southpaw","1990-07-28","3.6","45.0","3.0","64.0","2.7","47.0","42.0","0.6"
"Diego Brandao","DB","22","11","0","170.18","65.77","162.56","Orthodox","1987-05-27","2.94","47.0","3.38","62.0","3.21","68.0","80.0","0.6"
"Ketlen Vieira","Fenomeno","14","3","0","172.72","61.23","172.72","Orthodox","1991-08-26","3.04","41.0","3.92","51.0","1.51","44.0","92.0","0.6"
"Ivan Jorge","Batman","27","7","0","175.26","70.31","185.42","Orthodox","1980-11-07","3.41","49.0","2.91","59.0","1.56","16.0","75.0","0.6"
"Lavar Johnson","Big","18","10","0","193.04","108.86","208.28","Orthodox","1977-06-11","5.39","55.0","2.54","55.0","0.61","66.0","54.0","0.6"
"Ken Stone","","11","4","0","172.72","61.23","180.34","Southpaw","1982-10-08","3.85","49.0","2.9","48.0","1.24","33.0","60.0","0.6"
"Francis Carmont","Limitless","25","12","0","190.5","92.99","198.12","Orthodox","1981-10-11","2.22","42.0","1.64","59.0","1.79","36.0","73.0","0.6"
"Lukasz Brzeski","The Bull","8","4","1","193.04","107.05","198.12","Orthodox","1992-05-17","5.08","48.0","3.46","57.0","0.64","50.0","42.0","0.6"
"Hatsu Hioki","","29","10","2","180.34","65.77","185.42","Orthodox","1983-07-18","2.42","42.0","2.12","65.0","2.55","56.0","54.0","0.6"
"Zak Cummings","","25","7","0","182.88","92.99","190.5","Southpaw","1984-08-02","2.96","35.0","2.91","55.0","0.62","28.0","66.0","0.6"
"Albert Duraev","","16","5","0","180.34","83.91","190.5","Orthodox","1989-01-05","2.99","40.0","3.01","59.0","1.97","29.0","66.0","0.6"
"Melquizael Costa","Melk Cauthy","20","6","0","177.8","70.31","180.34","Southpaw","1996-09-14","5.11","45.0","2.53","64.0","1.87","37.0","42.0","0.6"
"Arlene Blencowe","Angerfist","9","6","0","165.1","65.77","","","","2.31","43.0","2.1","43.0","0.0","0.0","55.0","0.6"
"Kevin Jordan","The Shaman","11","9","0","190.5","111.13","","Orthodox","1970-12-31","2.0","40.0","1.91","55.0","0.0","0.0","77.0","0.6"
"Johil de Oliveira","","17","15","1","167.64","77.11","","Orthodox","","0.51","34.0","0.73","58.0","1.1","50.0","44.0","0.6"
"Fabio Maldonado","Caipira de Aco","23","11","0","185.42","92.99","190.5","Orthodox","1980-03-17","5.29","58.0","4.31","53.0","0.44","57.0","61.0","0.6"
"Sumudaerji","The Tibetan Eagle","16","5","0","172.72","56.7","182.88","Southpaw","1996-01-20","4.83","54.0","2.75","62.0","0.32","100.0","66.0","0.6"
"Henry Briones","Bure","16","8","1","172.72","61.23","175.26","Orthodox","1980-10-22","3.47","42.0","4.68","53.0","0.0","0.0","52.0","0.6"
"Rafael Dos Anjos","","32","15","0","172.72","77.11","177.8","Southpaw","1984-10-26","3.52","47.0","3.19","60.0","2.01","35.0","56.0","0.6"
"Alex Oliveira","Cowboy","22","12","1","180.34","77.11","193.04","Orthodox","1988-02-21","2.99","51.0","2.55","46.0","2.35","38.0","63.0","0.6"
"Wilson Reis","","23","10","0","162.56","56.7","165.1","Southpaw","1985-01-06","1.83","29.0","3.04","55.0","5.15","42.0","47.0","0.6"
"Alexa Grasso","","16","3","1","165.1","56.7","167.64","Orthodox","1993-08-09","4.67","43.0","3.95","58.0","0.41","45.0","59.0","0.6"
"Jose Johnson","Lobo Solitario","16","8","0","182.88","61.23","180.34","Orthodox","1995-05-20","2.8","60.0","1.73","55.0","0.62","50.0","36.0","0.6"
"Michel Pereira","Demolidor","29","11","0","185.42","83.91","185.42","Orthodox","1993-10-06","5.09","53.0","3.74","58.0","1.56","55.0","94.0","0.6"
"Aaron Phillips","The Dragon","12","5","0","175.26","61.23","180.34","Southpaw","1989-08-05","1.51","53.0","3.66","43.0","0.86","50.0","44.0","0.6"
"Luan Lacerda","","12","3","0","170.18","61.23","180.34","Orthodox","1993-01-07","4.52","44.0","7.07","47.0","1.26","25.0","75.0","0.6"
"Mac Danzig","","21","12","1","172.72","70.31","177.8","Orthodox","1980-01-02","3.39","48.0","3.44","57.0","1.2","37.0","46.0","0.6"
"Bibiano Fernandes","","20","3","0","170.18","63.05","","Orthodox","1980-03-30","2.91","40.0","2.02","72.0","3.97","53.0","77.0","0.6"
"Jussier Formiga","","23","8","0","165.1","56.7","170.18","Orthodox","1985-04-14","1.42","39.0","2.34","64.0","1.82","35.0","87.0","0.6"
"Mike Brown","","26","9","0","167.64","65.77","177.8","Orthodox","1975-09-08","2.98","44.0","2.45","60.0","3.23","40.0","66.0","0.6"
"Jacob Rosales","The Lil Badger","13","7","0","180.34","70.31","187.96","Orthodox","1995-07-28","7.19","46.0","10.66","44.0","1.12","18.0","50.0","0.6"
"Lisa Ellis","","15","11","0","162.56","52.16","","","","1.68","48.0","2.32","57.0","4.19","63.0","50.0","0.6"
"Kazuo Misaki","Hitman","25","11","2","172.72","83.01","","Orthodox","1976-04-25","2.85","40.0","2.74","63.0","0.72","38.0","51.0","0.6"
"Anthony Johnson","Rumble","22","6","0","187.96","92.99","198.12","Orthodox","1984-03-06","3.25","47.0","1.83","60.0","2.43","57.0","77.0","0.6"
"Sage Northcutt","Super","11","2","0","182.88","77.11","180.34","Orthodox","1996-03-01","3.58","52.0","1.96","58.0","1.81","34.0","41.0","0.6"
"Martin Day","The Spartan","8","6","0","177.8","65.77","185.42","Orthodox","1988-11-10","3.97","45.0","3.79","53.0","0.72","60.0","65.0","0.5"
"Mana Martinez","ManaBoi","10","4","0","177.8","61.23","177.8","Orthodox","1996-03-25","4.33","48.0","4.94","50.0","0.72","42.0","25.0","0.5"
"Taylor Lapilus","Double Impact","19","3","0","167.64","61.23","185.42","Southpaw","1992-04-08","4.18","47.0","2.27","62.0","0.45","40.0","81.0","0.5"
"Eddie Alvarez","","29","6","0","175.26","70.31","175.26","Orthodox","1984-01-11","4.32","41.0","4.39","55.0","2.92","36.0","92.0","0.5"
"Tom DeBlass","","9","2","0","182.88","83.91","","Orthodox","1982-05-14","1.5","35.0","4.43","37.0","1.0","50.0","28.0","0.5"
"Pearl Gonzalez","","6","3","0","162.56","52.16","","Orthodox","1986-08-12","2.23","37.0","4.07","57.0","1.04","11.0","0.0","0.5"
"Mike Rhodes","Biggie","10","5","0","185.42","77.11","187.96","Orthodox","1989-12-04","3.2","39.0","4.13","64.0","0.96","33.0","75.0","0.5"
"Randy Couture","The Natural","19","11","0","185.42","92.99","190.5","Orthodox","1963-06-22","2.85","57.0","1.53","59.0","2.78","46.0","58.0","0.5"
"Gilbert Burns","Durinho","22","6","0","177.8","77.11","180.34","Orthodox","1986-07-20","3.36","48.0","3.34","54.0","1.95","35.0","47.0","0.5"
"Parker Porter","","14","9","0","182.88","120.2","190.5","Orthodox","1985-04-22","6.55","50.0","6.32","51.0","1.35","26.0","66.0","0.5"
"Randy Brown","Rudeboy","17","5","0","190.5","77.11","198.12","Orthodox","1990-07-08","4.38","47.0","3.33","54.0","0.8","39.0","74.0","0.5"
"Alex White","The Spartan","13","6","0","182.88","70.31","180.34","Southpaw","1988-10-22","3.76","42.0","3.07","60.0","0.92","28.0","71.0","0.5"
"Tainara Lisboa","Thai Panther","7","2","0","170.18","61.23","170.18","Orthodox","1991-03-02","2.05","50.0","1.4","54.0","2.05","40.0","70.0","0.5"
"Anthony Birchak","El Toro","16","8","0","172.72","61.23","175.26","Orthodox","1986-05-16","3.93","36.0","3.67","56.0","0.48","14.0","61.0","0.5"
"Oli Thompson","","17","10","0","185.42","109.77","","Orthodox","1980-01-02","1.66","46.0","5.31","46.0","0.0","0.0","50.0","0.5"
"Gregory Rodrigues","Robocop","14","5","0","190.5","83.91","190.5","Orthodox","1992-02-17","5.99","55.0","5.67","51.0","2.4","50.0","100.0","0.5"
"Olivier Aubin-Mercier","The Canadian Gangster","11","5","0","175.26","70.31","177.8","Southpaw","1989-02-23","2.48","51.0","2.97","55.0","2.36","33.0","70.0","0.5"
"Rodolfo Bellato","Trator","12","2","0","190.5","92.99","195.58","Orthodox","1996-02-05","6.47","61.0","5.9","44.0","1.09","25.0","100.0","0.5"
"Marcel Fortuna","","9","3","0","185.42","92.99","187.96","Orthodox","1985-10-22","3.83","46.0","4.52","64.0","0.45","8.0","75.0","0.5"
"Scott Smith","Hands of Steel","18","11","0","182.88","83.91","177.8","Orthodox","1979-05-21","1.9","27.0","5.87","50.0","0.12","6.0","58.0","0.5"
"Motonobu Tezuka","","28","12","7","170.18","61.23","","Southpaw","1987-08-29","0.87","23.0","2.8","51.0","1.5","11.0","0.0","0.5"
"Felipe Colares","Cabocao","10","4","0","172.72","65.77","175.26","Orthodox","1994-03-31","2.17","45.0","4.65","36.0","1.88","24.0","43.0","0.5"
"Pedro Munhoz","The Young Punisher","20","8","0","167.64","61.23","165.1","Orthodox","1986-09-07","5.45","43.0","6.14","56.0","0.47","19.0","82.0","0.5"
"Esteban Ribovics","El Gringo","12","1","0","177.8","70.31","175.26","Orthodox","1996-04-27","6.16","52.0","3.4","52.0","0.95","66.0","60.0","0.5"
"Phil Baroni","The New York Bad Ass","15","18","0","175.26","77.11","182.88","Orthodox","1976-04-16","2.77","45.0","3.93","40.0","1.46","47.0","60.0","0.5"
"Justin Scoggins","","11","5","0","170.18","56.7","167.64","Southpaw","1992-05-02","3.56","51.0","2.16","55.0","3.42","63.0","82.0","0.5"
"Cory McKenna","Poppins","8","2","0","160.02","52.16","147.32","Orthodox","1999-07-11","3.01","40.0","3.22","48.0","2.04","56.0","71.0","0.5"
"Clay Collard","Cassius","14","7","0","180.34","65.77","185.42","Orthodox","1993-03-10","4.22","32.0","5.0","50.0","2.81","39.0","71.0","0.5"
"Jorge Gurgel","","14","10","0","170.18","70.31","175.26","Orthodox","1977-01-25","3.37","32.0","3.62","62.0","0.81","23.0","60.0","0.5"
"Marcos Rogerio de Lima","Pezao","21","10","1","185.42","114.76","190.5","Orthodox","1985-06-25","3.61","56.0","2.96","51.0","1.34","47.0","59.0","0.5"
"Molly McCann","Meatball","13","6","0","162.56","56.7","157.48","Orthodox","1990-05-04","5.68","49.0","4.9","63.0","1.65","35.0","43.0","0.5"
"BJ Penn","The Prodigy","16","14","2","175.26","70.31","177.8","Orthodox","1978-12-13","2.76","48.0","3.2","56.0","1.19","55.0","74.0","0.5"
"Danny Downes","","8","3","0","182.88","70.31","182.88","Orthodox","1986-04-08","1.66","34.0","3.53","37.0","0.0","0.0","37.0","0.5"
"Paul Taylor","Relentless","11","6","1","182.88","70.31","182.88","Orthodox","1979-12-15","4.44","47.0","4.47","55.0","0.27","25.0","56.0","0.5"
"Gadzhi Omargadzhiev","","13","2","0","185.42","77.11","180.34","Switch","1993-02-24","1.8","39.0","2.2","39.0","1.35","30.0","60.0","0.5"
"Brandon Moreno","The Assassin Baby","21","7","2","170.18","56.7","177.8","Orthodox","1993-12-07","3.8","43.0","3.4","56.0","1.73","45.0","64.0","0.5"
"Vince Cachero","The Anomaly","7","4","0","167.64","65.77","172.72","Orthodox","1989-11-07","3.29","45.0","6.51","43.0","0.0","0.0","18.0","0.5"
"Dongi Yang","The Ox","13","3","0","177.8","83.91","185.42","Southpaw","1984-12-07","3.55","51.0","3.21","63.0","1.7","41.0","61.0","0.5"
"Hitomi Akano","Girlfight Monster","18","10","0","162.56","61.23","","Southpaw","1974-07-27","0.59","45.0","2.58","55.0","0.0","0.0","8.0","0.5"
"Megan Anderson","","11","5","0","182.88","65.77","182.88","Orthodox","1990-02-11","1.76","46.0","3.35","37.0","0.52","25.0","53.0","0.5"
"Jacob Malkoun","Mamba","7","3","0","175.26","83.91","185.42","Orthodox","1995-08-26","3.89","56.0","2.49","50.0","7.2","44.0","0.0","0.5"
"Hacran Dias","Barnabe","23","6","1","172.72","70.31","175.26","Orthodox","1984-06-16","2.08","41.0","3.31","55.0","2.5","39.0","76.0","0.5"
"Shungo Oyama","","14","19","0","180.34","83.91","","Southpaw","1974-04-11","0.64","25.0","1.96","57.0","1.07","57.0","62.0","0.5"
"Jarno Errens","","13","5","1","180.34","65.77","185.42","Orthodox","1994-11-17","1.67","38.0","2.93","52.0","0.0","0.0","33.0","0.5"
"Brock Lesnar","","5","3","0","190.5","120.2","205.74","Orthodox","1977-07-12","3.53","72.0","2.11","50.0","3.9","55.0","60.0","0.5"
"Michael Trizano","The Lone Wolf","11","3","0","180.34","65.77","180.34","Orthodox","1991-12-31","3.63","53.0","4.4","50.0","0.36","66.0","72.0","0.5"
"Emily Whitmire","Spitfire","4","5","0","165.1","56.7","160.02","Orthodox","1991-05-24","2.5","31.0","2.98","54.0","1.9","66.0","70.0","0.5"
"Antonio Braga Neto","","9","3","0","190.5","83.91","195.58","Orthodox","1987-10-29","1.36","33.0","3.92","45.0","3.07","37.0","0.0","0.5"
"Zarrukh Adashev","The Lion","4","4","0","165.1","56.7","165.1","Southpaw","1992-07-29","3.65","40.0","3.04","64.0","0.0","0.0","100.0","0.5"
"Sammy Morgan","The Squeeze","18","12","0","177.8","77.11","","Orthodox","1981-09-28","1.05","22.0","3.74","40.0","1.43","20.0","0.0","0.5"
"Bernardo Magalhaes","Trekko","13","4","0","175.26","70.31","","Orthodox","1981-04-08","1.8","27.0","3.37","68.0","0.0","0.0","0.0","0.5"
"Caol Uno","Uno Shoten","33","19","5","170.18","70.31","177.8","Southpaw","1975-05-08","1.91","49.0","1.9","50.0","1.95","31.0","37.0","0.5"
"Matthew Riddle","Deep Waters","8","3","0","185.42","77.11","193.04","Southpaw","1986-01-14","3.01","42.0","2.74","54.0","3.51","50.0","89.0","0.5"
"Shuya Kamikubo","Stealth","13","2","1","165.1","61.23","172.72","Switch","1993-04-12","3.83","54.0","4.9","47.0","1.5","15.0","0.0","0.5"
"Charles Jourdain","Air","15","6","1","175.26","65.77","175.26","Switch","1995-11-27","5.71","49.0","4.21","58.0","0.1","16.0","47.0","0.5"
"Leonard Garcia","Bad Boy","18","13","1","177.8","65.77","172.72","Orthodox","1979-07-14","2.77","24.0","4.79","52.0","0.3","26.0","42.0","0.5"
"Igor Vovchanchyn","Ice Cold","55","10","0","172.72","92.99","","Orthodox","1973-08-06","1.59","49.0","0.97","63.0","1.19","66.0","50.0","0.5"
"Gabriel Silva","","8","2","0","167.64","61.23","180.34","Orthodox","1994-08-26","1.3","34.0","3.47","45.0","1.5","25.0","38.0","0.5"
"SangHoon Yoo","Assassin","8","2","0","182.88","77.11","187.96","Orthodox","1990-01-18","4.83","65.0","6.11","40.0","0.53","100.0","69.0","0.5"
"Kevin Croom","Crash","21","15","0","180.34","61.23","185.42","Orthodox","1987-07-15","2.65","34.0","3.1","41.0","0.48","5.0","30.0","0.5"
"Matt Grice","The Real One","15","5","0","172.72","65.77","177.8","Orthodox","1981-07-29","4.09","53.0","2.69","56.0","2.19","37.0","82.0","0.5"
"Caio Borralho","The Natural","15","1","0","177.8","83.91","190.5","Southpaw","1993-01-16","2.73","58.0","1.98","60.0","2.16","63.0","57.0","0.5"
