sport,event,year,athlete_id,country_id,medal
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,23721,34,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,24243,67,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,24243,67,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,24243,67,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,24243,67,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,24243,67,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,24243,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,24403,195,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,24403,195,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,24403,195,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,24792,49,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,24792,49,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,24792,49,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,24792,49,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,24887,71,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,24887,71,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,24887,71,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,24887,71,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,24887,71,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,25119,110,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,25119,110,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,25119,110,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,25256,18,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,25256,18,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,25256,18,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,25256,18,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,25256,18,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,25442,189,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,25442,189,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,25521,102,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,25521,102,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,25852,92,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,26078,92,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,26078,92,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,26078,92,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,26258,173,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,26258,173,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,26258,173,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,26258,173,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,26384,92,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,26384,92,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,26384,92,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,26384,92,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,26428,92,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,26428,92,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,26875,92,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,26875,92,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,26875,92,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,26875,92,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,26979,179,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,26979,179,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,26979,179,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,27520,11,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,27520,11,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,27762,193,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,27762,193,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,27762,193,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,27762,193,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,27762,193,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,27872,67,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,27872,67,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,27872,67,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,28062,92,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,28062,92,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,28109,55,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,28191,147,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,28191,147,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,28503,195,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,28503,195,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,28503,195,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,28503,195,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,29110,195,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,29139,167,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,29139,167,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,29139,167,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,29183,18,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,29183,18,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,29183,18,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,29183,18,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,29305,18,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,29305,18,Gold
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,29305,18,Gold
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,29305,18,Gold
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,29305,18,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,29453,71,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,29453,71,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,29493,67,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,29493,67,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,29493,67,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,29493,67,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,29493,67,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,29546,18,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,29638,152,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,29638,152,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,29648,71,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,29648,71,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,29648,71,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,29648,71,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,29974,195,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,29974,195,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,29974,195,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,29974,195,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,30242,18,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,30242,18,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,30242,18,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,30305,52,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,30305,52,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,30660,195,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,30660,195,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,30660,195,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,30660,195,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,30660,195,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,30660,195,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,30851,12,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,30948,67,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,30948,67,Bronze
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,31127,193,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,31127,193,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,31127,193,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,31127,193,Gold
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,31342,136,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,31342,136,Gold
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,31342,136,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,31342,136,Bronze
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,31342,136,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,31342,136,Bronze
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,31391,12,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,31391,12,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,31391,12,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,31391,12,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,31391,12,Bronze
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,31769,71,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,32942,178,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,33027,62,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,33027,62,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,33617,53,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,33617,53,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,33617,53,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,33650,167,Bronze
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,33650,167,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,33812,67,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,33814,67,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,33814,67,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,33814,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,33832,167,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,33832,167,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,33832,167,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,33832,167,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,33832,167,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,33842,166,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,33842,166,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,33842,166,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,33918,136,Gold
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,33957,67,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,33959,92,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,33959,92,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,33960,92,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,33960,92,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,33960,92,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,34086,84,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,34086,84,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,34341,67,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,34464,179,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,34464,179,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,34637,12,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,34637,12,Gold
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,34637,12,Silver
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,34637,12,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,34719,167,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,34719,167,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,34719,167,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,34719,167,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,34719,167,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,34889,39,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,35064,178,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,35064,178,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,35064,178,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,35064,178,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,35064,178,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,35083,71,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,35083,71,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,35083,71,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,35083,71,Bronze
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,35111,179,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,35111,179,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,35111,179,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,35132,166,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,35132,166,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,35293,71,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,35293,71,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,35361,92,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,35361,92,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,35361,92,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,35533,179,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,35533,179,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,35738,136,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,35738,136,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,35738,136,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,35738,136,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,35738,136,Bronze
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,36235,195,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,36512,67,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,36512,67,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,36512,67,Gold
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,36512,67,Silver
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,36512,67,Gold
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,36512,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,36513,67,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,36513,67,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,36513,67,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,36513,67,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,36815,12,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,36815,12,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,36815,12,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,36988,195,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,36988,195,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,36988,195,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,37870,152,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,37899,34,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,37899,34,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,37899,34,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,37899,34,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,37912,34,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,37912,34,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,37912,34,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,37912,34,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,37922,67,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,37925,67,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,37925,67,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,37925,67,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,37925,67,Bronze
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,37925,67,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,37933,62,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,37933,62,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,37933,62,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,38179,9,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,38348,171,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,38366,195,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,38366,195,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,38381,166,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,38381,166,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,38449,152,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,38449,152,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,38449,152,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,38449,152,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,38449,152,Bronze
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,38831,146,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,38951,146,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,38951,146,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,38951,146,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,38975,179,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,38975,179,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,38976,179,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,38976,179,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,38976,179,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,38976,179,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,38976,179,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,38976,179,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,38977,179,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,38977,179,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,38977,179,
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,38977,179,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,38977,179,Silver
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,38977,179,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,39006,8,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,39006,8,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,39012,102,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,39012,102,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,39230,146,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,39230,146,
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,2014-01-01,39230,146,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,39361,71,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,39599,29,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,39599,29,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,39599,29,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,39599,29,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,39717,166,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,39717,166,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,39717,166,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,39717,166,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,39717,166,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,40586,179,Gold
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,40586,179,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,40586,179,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,40586,179,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,40587,179,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,40652,136,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,40652,136,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,40685,11,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,40685,11,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,40728,152,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,40736,152,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,40746,152,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,40746,152,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,40840,136,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,41101,136,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,41110,195,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,41110,195,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,41243,84,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,41243,84,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,41378,184,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,41447,92,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,41447,92,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,41447,92,
Biathlon,Biathlon Women's 4 x 6 kilometres Relay,2014-01-01,41447,92,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,41849,12,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,41849,12,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,41849,12,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,41849,12,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,42386,67,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,42609,34,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,42609,34,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,42609,34,
Biathlon,Biathlon Men's 15 kilometres Mass Start,2014-01-01,42609,34,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,42609,34,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,42609,34,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,42701,195,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,42701,195,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,42701,195,
Biathlon,Biathlon Women's 7.5 kilometres Sprint,2014-01-01,42724,167,
Biathlon,Biathlon Women's 10 kilometres Pursuit,2014-01-01,42724,167,Bronze
Biathlon,Biathlon Women's 12.5 kilometres Mass Start,2014-01-01,42724,167,
Biathlon,Biathlon Women's 15 kilometres,2014-01-01,42724,167,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,42821,29,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,42821,29,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,42821,29,
Cross Country Skiing,Cross Country Skiing Men's Team Sprint,2014-01-01,42821,29,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,42919,29,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,42919,29,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,42919,29,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,42931,198,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,42931,198,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,43092,52,
Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,2014-01-01,43092,52,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,43143,67,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,43184,92,
Cross Country Skiing,Cross Country Skiing Women's Team Sprint,2014-01-01,43268,179,
