Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Cluster
1973,Master,Married,27159.0,1,1,29-03-2014,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,3,11,0,0
1963,2n Cycle,Single,39548.0,1,1,31-03-2014,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,3,11,0,0
1989,Graduation,Single,21474.0,1,0,08-04-2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,3,11,1,4
1971,PhD,Single,60504.0,0,1,07-02-2014,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,3,11,0,2
1963,Graduation,Married,22419.0,0,0,18-04-2013,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,3,11,0,4
1949,Master,Married,81698.0,0,0,06-11-2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,3,11,1,3
1952,Graduation,Together,43462.0,1,1,12-09-2012,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,3,11,0,0
1978,PhD,Single,54880.0,1,0,01-03-2013,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,3,11,0,3
1982,Graduation,Married,79908.0,0,0,05-04-2013,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,3,11,0,1
1970,2n Cycle,Married,15315.0,0,0,03-08-2013,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,3,11,0,4
1959,Graduation,Together,87771.0,0,1,22-05-2013,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,3,11,1,1
1978,Graduation,Married,33039.0,1,0,09-09-2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,3,11,0,4
1980,Graduation,Single,81741.0,0,0,16-06-2013,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,3,11,0,3
1971,Master,Together,71499.0,0,1,25-06-2013,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,3,11,0,2
1970,2n Cycle,Married,62466.0,0,1,15-01-2014,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,3
1963,PhD,Divorced,48799.0,0,1,05-11-2013,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,3,11,0,0
1950,PhD,Together,52157.0,0,1,07-06-2014,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,3,11,0,0
1962,Graduation,Single,66565.0,0,1,05-12-2012,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,3,11,0,2
1951,Master,Together,29298.0,1,1,07-09-2013,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,3,11,0,0
1979,Graduation,Single,47691.0,0,1,05-07-2013,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,0
1970,Graduation,Together,38200.0,1,1,07-12-2012,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
1974,Graduation,Married,44989.0,0,1,12-09-2012,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,3,11,0,2
1968,PhD,Married,38443.0,1,1,27-01-2014,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0
1978,2n Cycle,Single,38593.0,1,0,13-09-2013,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,3,11,0,4
1970,PhD,Together,64413.0,0,1,01-08-2013,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,3,11,0,0
1981,Master,Married,36959.0,1,0,02-10-2013,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,4
1977,PhD,Married,61996.0,0,1,31-01-2013,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,3,11,1,1
1968,Graduation,Married,51287.0,1,1,01-04-2014,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,3,11,0,0
1970,Graduation,Married,13260.0,1,1,23-08-2013,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,3,11,0,0
1966,PhD,Together,47472.0,1,1,16-09-2013,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,3,11,0,0
1956,Master,Together,54603.0,1,1,09-07-2013,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,3,11,0,0
1974,PhD,Married,45207.0,1,1,10-11-2012,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,3,11,0,0
1951,Graduation,Together,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2
1967,2n Cycle,Together,47821.0,1,1,20-10-2013,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0
1951,Master,Married,27450.0,0,0,15-04-2013,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,3,11,0,0
1983,Graduation,Together,39453.0,1,0,03-04-2014,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,3,11,0,4
1971,2n Cycle,Together,26850.0,1,1,18-04-2014,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,3,11,0,0
1955,Graduation,Widow,79800.0,0,0,23-09-2012,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,3,11,1,1
1961,Master,Married,61794.0,0,1,14-09-2013,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,3,11,0,2
1955,Graduation,Together,53863.0,0,1,17-05-2014,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,3,11,0,2
1959,Graduation,Together,24221.0,0,0,20-08-2013,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,3,11,0,0
1984,PhD,Single,39684.0,1,0,12-10-2012,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,3,11,1,4
1975,Master,Married,92163.0,0,0,12-12-2012,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,3,11,1,1
1965,Master,Single,69882.0,0,0,10-11-2013,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,3,11,0,3
1977,Graduation,Together,33178.0,1,0,30-01-2014,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,3,11,0,4
1972,PhD,Married,59973.0,0,0,11-09-2013,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,3,11,0,3
1975,Master,Together,17459.0,1,0,19-09-2013,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,3,11,1,4
1969,Graduation,Divorced,23910.0,1,0,26-10-2012,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,3,11,0,4
1969,Master,Married,42169.0,1,1,19-10-2013,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,3,11,0,0
1978,2n Cycle,Married,26224.0,1,0,04-06-2013,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,3,11,0,4
1981,Graduation,Together,31089.0,1,0,17-08-2012,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,3,11,0,4
1961,Graduation,Single,30081.0,0,1,21-02-2013,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0
1960,Graduation,Together,62807.0,0,1,31-08-2012,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,3,11,0,2
1955,Graduation,Single,72906.0,0,0,17-09-2013,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,3,11,0,3
1948,PhD,Married,61467.0,0,2,09-12-2012,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,2
1966,Master,Together,49618.0,1,1,26-01-2013,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,3,11,0,0
1986,Master,Single,21888.0,1,0,29-12-2012,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,3,11,1,4
1973,Graduation,Widow,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,0
1956,Graduation,Divorced,26150.0,2,1,11-03-2013,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,3,11,0,0
1975,Basic,Married,30801.0,0,1,26-10-2012,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,3,11,0,0
1965,Graduation,Married,81168.0,0,0,07-05-2014,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,3,11,0,3
1969,Master,Single,26877.0,0,0,19-08-2013,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,3,11,0,4
1944,Master,Widow,45006.0,0,0,18-07-2013,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,3,11,0,0
1973,Basic,Married,18978.0,1,0,11-12-2012,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,3,11,0,4
1967,Graduation,Married,22574.0,2,1,28-10-2013,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0
1969,PhD,Single,48240.0,0,0,09-11-2012,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,3
1974,Graduation,Married,45837.0,1,1,26-07-2013,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,3,11,0,0
1965,Master,Single,35791.0,2,1,06-05-2013,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,3,11,0,0
1976,PhD,Together,162397.0,1,1,03-06-2013,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,3,11,0,0
1978,Graduation,Widow,54162.0,1,1,18-03-2013,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,0
1960,Master,Married,30522.0,0,1,17-08-2012,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,3,11,0,0
1961,PhD,Married,54456.0,0,1,11-07-2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0,2
1971,Graduation,Single,31632.0,0,0,14-07-2013,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,3,11,0,4
1949,Graduation,Widow,72298.0,0,0,10-03-2014,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,3,11,0,1
1978,2n Cycle,Single,36975.0,1,0,28-12-2013,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,4
1955,2n Cycle,Married,72635.0,0,0,03-06-2013,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,3,11,0,3
1976,Graduation,Married,13624.0,1,0,20-01-2013,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,4
1975,Graduation,Single,84196.0,0,1,03-06-2013,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,3,11,0,3
1960,Graduation,Together,70971.0,0,1,21-09-2012,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,3,11,1,2
1977,PhD,Divorced,34487.0,1,1,06-09-2012,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,3,11,0,0
1977,Graduation,Single,28769.0,1,0,18-12-2012,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,3,11,0,4
1970,PhD,Married,69084.0,1,0,19-11-2013,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,3,11,0,2
1958,PhD,Together,65488.0,0,0,13-06-2014,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,3,11,0,3
1970,2n Cycle,Married,62466.0,0,1,15-01-2014,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,3,11,0,3
1960,2n Cycle,Single,32218.0,0,0,15-02-2014,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,3,11,1,4
1973,Graduation,Single,83917.0,0,0,18-04-2013,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,3,11,1,3
1962,Graduation,Divorced,46102.0,2,1,10-03-2014,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
1952,Graduation,Single,84574.0,0,0,04-06-2013,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,3,11,0,3
1962,Graduation,Married,56181.0,0,1,08-01-2013,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,3,11,0,2
1950,Master,Divorced,63120.0,0,1,28-09-2012,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,3,11,1,2
1971,Graduation,Married,73691.0,0,1,06-11-2013,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,3,11,0,2
1960,Graduation,Together,63381.0,0,1,05-10-2012,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,3,11,0,2
1948,PhD,Together,76140.0,0,0,13-05-2014,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,3,11,0,3
1959,PhD,Divorced,62859.0,0,1,30-12-2012,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,3,11,0,2
1964,Graduation,Single,45906.0,0,1,07-05-2013,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,2
1947,Master,Together,77632.0,0,0,10-03-2013,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,3,11,1,1
1971,PhD,Married,46463.0,1,1,18-08-2013,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,0
1970,Graduation,Together,105471.0,0,0,21-01-2013,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,3,11,1,1
1970,Master,Divorced,55282.0,1,0,13-12-2013,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,3,11,0,4
1977,Master,Married,78710.0,0,1,23-05-2014,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,3,11,0,2
1958,Graduation,Together,66886.0,0,1,16-09-2013,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,3,11,0,2
1960,Master,Single,98777.0,0,0,17-02-2014,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,3,11,0,3
1985,Graduation,Together,29103.0,1,0,27-08-2012,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,3,11,0,4
1974,Graduation,Married,67445.0,0,1,12-08-2012,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,2
1950,PhD,Together,50616.0,0,1,13-04-2014,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,3,11,0,0
1955,Graduation,Divorced,49431.0,0,1,03-08-2012,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,3,11,0,2
1975,Graduation,Divorced,153924.0,0,0,07-02-2014,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0
1953,Graduation,Together,61278.0,0,1,04-01-2014,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,3,11,0,0
1958,2n Cycle,Together,26490.0,0,0,22-09-2012,92,45,47,52,21,20,25,2,3,1,5,6,0,0,0,0,0,0,3,11,0,0
1947,PhD,Together,73059.0,0,1,31-08-2013,36,410,112,420,0,82,71,1,9,3,13,4,0,0,0,0,0,0,3,11,0,3
1966,PhD,Single,46734.0,1,2,21-10-2013,86,100,1,39,6,1,76,4,3,2,3,6,1,0,0,0,0,0,3,11,0,0
1963,Graduation,Together,56253.0,0,1,07-12-2012,83,509,0,65,7,11,5,4,7,2,9,6,0,0,0,0,0,0,3,11,0,2
1985,Graduation,Married,19986.0,1,0,14-11-2013,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,4
1975,Graduation,Widow,58330.0,0,1,25-12-2013,87,445,53,213,104,98,151,1,6,4,13,4,0,0,0,0,0,0,3,11,0,3
1980,Basic,Married,25965.0,0,0,07-09-2012,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,3,11,0,4
1956,Master,Together,14661.0,0,0,01-01-2013,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,0
1959,Graduation,Married,18690.0,0,0,28-12-2012,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,4
1974,PhD,Together,45068.0,0,1,16-05-2013,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
1987,Basic,Single,21063.0,1,0,25-09-2013,34,1,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,4
1968,PhD,Married,29187.0,1,0,09-05-2013,43,26,0,6,0,0,2,1,1,0,3,8,0,0,0,0,0,0,3,11,0,4
1971,2n Cycle,Married,54690.0,1,1,07-11-2013,76,111,16,37,7,9,18,3,3,1,5,3,0,0,0,0,0,0,3,11,0,0
1964,PhD,Married,59304.0,0,1,29-07-2013,81,418,61,428,80,51,10,3,7,8,10,5,0,0,0,0,0,0,3,11,0,3
1962,Master,Single,59247.0,0,2,08-11-2013,87,327,9,122,19,14,83,5,5,2,9,6,0,0,0,0,0,0,3,11,0,2
1970,Graduation,Widow,66731.0,0,1,12-09-2012,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,3,11,0,3
1980,Graduation,Married,77353.0,0,1,16-12-2013,38,275,59,107,69,101,59,2,6,4,8,4,0,0,0,0,0,0,3,11,0,3
1975,PhD,Single,52614.0,0,1,01-12-2012,63,789,0,142,12,9,38,2,2,4,8,8,0,0,0,0,0,0,3,11,0,2
1974,Graduation,Married,26751.0,2,0,22-05-2014,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,4
1963,PhD,Married,81300.0,0,1,30-10-2012,17,1004,12,145,32,12,36,3,10,3,5,5,0,0,0,1,0,0,3,11,1,2
1979,Graduation,Single,70337.0,0,0,02-01-2014,75,187,81,149,25,43,91,1,2,2,12,1,0,0,0,0,0,0,3,11,0,3
1985,2n Cycle,Married,36145.0,1,0,16-06-2013,13,56,4,76,17,1,18,4,4,1,3,9,1,0,0,0,0,0,3,11,1,4
1980,PhD,Single,65295.0,0,0,23-12-2013,19,365,32,117,34,110,6,1,3,3,13,2,0,0,0,0,0,0,3,11,0,3
1963,Graduation,Divorced,68118.0,0,1,18-10-2013,51,595,23,123,10,23,154,2,8,9,4,6,0,0,0,0,0,0,3,11,0,2
1967,Graduation,Divorced,68743.0,0,0,30-08-2012,81,1132,134,384,175,134,115,1,11,5,13,7,0,0,0,0,0,0,3,11,0,3
1982,2n Cycle,Together,41039.0,0,0,25-07-2013,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,3,11,0,4
1955,Graduation,Together,38946.0,0,1,24-10-2013,84,116,6,82,6,6,41,2,3,1,6,5,0,0,0,0,0,0,3,11,0,0
1967,Graduation,Together,65777.0,0,0,19-12-2013,87,565,32,435,28,32,54,1,2,8,6,1,0,0,0,0,0,0,3,11,0,3
1976,PhD,Divorced,66476.0,0,1,07-03-2013,99,372,18,126,47,48,78,2,5,2,11,4,0,0,0,0,0,0,3,11,0,2
1972,PhD,Single,86857.0,0,0,12-09-2012,96,899,102,838,133,102,40,1,5,6,10,2,0,0,0,0,0,0,3,11,1,3
1982,PhD,Married,160803.0,0,0,04-08-2012,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,3
1989,PhD,Together,77845.0,0,0,16-05-2014,40,760,40,480,0,40,26,1,3,5,12,1,0,0,1,1,0,0,3,11,0,1
1969,PhD,Together,69476.0,0,0,30-09-2013,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,3,11,0,3
1960,PhD,Divorced,50611.0,0,1,04-10-2012,98,459,0,24,6,0,4,6,4,5,7,6,0,1,0,0,0,0,3,11,1,2
1970,Graduation,Single,61209.0,0,0,25-08-2013,73,466,0,224,119,49,99,1,5,3,4,2,0,0,0,0,0,0,3,11,0,3
1958,Master,Together,42315.0,0,1,12-07-2013,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,3,11,0,0
1952,Basic,Together,13084.0,0,0,02-11-2013,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,3,11,0,0
1949,Master,Widow,47570.0,1,1,29-05-2013,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,0,3,11,1,0
1961,Master,Married,61923.0,0,2,26-07-2013,94,92,4,18,3,3,6,1,2,1,4,3,0,0,0,0,0,0,3,11,0,0
1995,Graduation,Single,34824.0,0,0,26-03-2014,65,4,2,11,2,0,4,1,1,0,2,6,0,0,0,0,0,0,3,11,0,4
1949,PhD,Single,26518.0,1,1,08-04-2013,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,0,3,11,1,0
1961,Graduation,Single,45938.0,0,0,03-11-2013,46,273,11,178,62,83,29,2,8,4,6,6,0,0,0,0,0,0,3,11,0,2
1960,Graduation,Together,78468.0,0,0,09-04-2014,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,3,11,0,3
1973,Graduation,Divorced,78901.0,0,1,17-09-2013,99,321,11,309,33,26,34,3,9,3,5,4,0,0,0,0,0,0,3,11,0,2
1978,Graduation,Married,71427.0,2,0,12-03-2014,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,3,11,0,3
1978,Graduation,Divorced,71022.0,0,1,11-02-2014,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,3,11,0,2
1988,Master,Single,90247.0,0,0,29-04-2014,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,0,3,11,1,1
1968,Master,Divorced,41335.0,1,0,26-12-2013,24,112,19,21,16,14,5,3,4,1,4,7,0,0,0,0,0,0,3,11,0,4
1986,Graduation,Married,71952.0,1,0,10-01-2013,93,656,80,455,52,107,93,2,8,4,8,4,1,0,1,0,0,0,3,11,0,1
1970,PhD,Divorced,35682.0,1,0,27-06-2014,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,3,11,0,4
1951,Graduation,Divorced,43185.0,0,1,10-04-2013,88,537,6,42,16,6,30,2,9,3,6,8,0,0,0,0,0,0,3,11,0,2
1948,PhD,Together,66375.0,0,1,21-11-2013,96,712,0,45,0,0,191,3,2,4,5,7,1,0,0,0,0,0,3,11,0,2
1971,Master,Married,35178.0,1,0,10-01-2013,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,0,3,11,1,4
1986,Graduation,Married,25252.0,1,0,12-07-2013,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,3,11,0,4
1965,Master,Single,55250.0,0,1,21-10-2012,49,664,58,83,32,0,66,4,7,5,10,5,0,0,0,0,0,0,3,11,0,2
1975,Graduation,Single,33249.0,1,0,20-02-2013,11,6,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,3,11,0,4
1953,Graduation,Together,58398.0,0,0,14-05-2013,44,299,5,201,21,21,49,3,5,4,8,4,0,0,0,0,0,0,3,11,0,2
1982,Graduation,Together,50272.0,1,0,07-08-2013,75,99,13,66,43,8,4,3,4,1,5,7,0,0,0,0,0,0,3,11,0,4
1975,PhD,Married,76618.0,0,0,07-12-2012,64,749,40,294,121,160,147,1,3,2,5,1,0,0,0,0,0,0,3,11,0,3
1960,2n Cycle,Divorced,87305.0,0,0,23-09-2012,19,345,25,501,63,138,80,1,5,3,8,2,0,0,1,0,0,0,3,11,1,1
1978,Graduation,Together,25851.0,1,0,11-02-2013,45,9,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,3,11,0,4
1970,Graduation,Divorced,58710.0,0,1,31-03-2013,77,440,81,368,0,122,174,6,11,5,9,6,0,0,0,0,0,0,3,11,0,2
1958,Graduation,Single,45160.0,1,1,29-03-2014,9,8,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0
1965,Master,Married,74806.0,0,1,19-12-2012,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,3,11,0,2
1954,Graduation,Married,59111.0,0,0,02-05-2013,90,524,0,134,28,28,155,1,11,1,8,7,0,0,0,0,0,0,3,11,0,2
1984,PhD,Married,18988.0,1,0,23-05-2014,43,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,3,11,0,4
1965,Graduation,Married,72190.0,0,0,13-02-2013,79,597,166,597,172,166,249,1,5,6,4,3,0,0,0,0,0,0,3,11,0,3
1976,Graduation,Married,7500.0,1,0,01-08-2012,19,7,0,12,13,7,32,5,4,1,2,9,1,0,0,0,0,0,3,11,1,4
1966,Graduation,Married,44794.0,0,1,08-06-2014,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,3,11,0,0
1955,Graduation,Married,80395.0,0,0,23-11-2013,62,445,25,706,80,76,48,1,6,5,12,2,0,0,0,1,0,0,3,11,0,3
1976,Master,Divorced,75012.0,0,0,25-01-2014,41,294,142,218,164,58,151,1,3,8,11,1,0,0,0,0,0,0,3,11,0,3
1965,Master,Married,56962.0,2,1,11-10-2013,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,3,11,0,0
1991,Graduation,Together,89891.0,0,0,15-04-2013,17,412,22,132,59,28,183,1,11,6,8,4,0,0,1,0,0,0,3,11,0,1
1949,PhD,Divorced,35946.0,1,1,27-09-2013,24,8,0,3,0,0,0,1,0,0,3,5,0,0,0,0,0,0,3,11,0,0
1953,PhD,Together,53593.0,1,1,07-08-2012,60,349,4,78,6,0,43,8,7,2,6,8,0,0,0,0,0,0,3,11,0,2
1978,Graduation,Married,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2
1948,PhD,Divorced,45072.0,1,2,16-10-2013,74,144,2,99,7,2,30,5,6,1,4,8,0,0,0,0,0,0,3,11,0,0
1973,Graduation,Divorced,89694.0,1,1,09-10-2013,22,1126,28,211,37,28,42,3,4,3,4,5,0,1,1,1,0,0,3,11,0,1
1949,Graduation,Married,72025.0,0,0,29-04-2014,46,967,0,617,43,50,0,1,4,8,13,2,0,1,1,1,0,0,3,11,1,1
1973,Graduation,Married,67432.0,0,1,29-03-2013,69,432,79,341,177,136,170,2,8,5,4,4,0,0,0,0,0,0,3,11,0,3
1952,Master,Together,70545.0,0,1,03-06-2014,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,3,11,0,0
1989,Basic,Married,17487.0,1,0,18-03-2013,37,0,0,1,7,4,6,1,1,0,2,7,0,0,0,0,0,0,3,11,0,4
1969,Graduation,Together,62882.0,0,1,09-08-2012,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,3,11,0,3
1953,PhD,Single,64108.0,0,1,23-03-2013,8,948,10,86,13,21,21,4,6,9,11,5,0,0,0,0,0,0,3,11,0,2
1956,Master,Together,34941.0,1,1,06-03-2013,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,3,11,0,0
1950,PhD,Single,48767.0,1,2,01-01-2014,79,28,1,21,3,0,10,3,2,1,3,5,0,0,0,0,0,0,3,11,0,0
