name,city,state,zipcode,country,cuisines,pickup_enabled,delivery_enabled,weighted_rating_value,aggregated_rating_count
Mad Dogs & Englishmen,Tampa,FL,33611,US,"American, Breakfast, British, Burger, Burgers, Desserts, Fish And Chips, Italian, Pizza, Salad, Salads, Sandwiches, Seafood, Steakhouse, Thai",TRUE,TRUE,4.5,34
Taqueria Rancho Chico,Kenner,LA,70062,US,"American, Fast Food, Mexican, New Mexican, Taco, Tex Mex, Wings",TRUE,TRUE,4.1,20
McDonald's,Conway,AR,72034,US,"American, Breakfast, Burger, Burgers, Cheeseburger, Chicken, Coffee, Desserts, Fast Food, Hamburger, Salad",FALSE,TRUE,3.8,20
Cedar Land,Charlotte,NC,28205,US,"Grocery Items, Halal, Lebanese, Mediterranean, Middle Eastern",TRUE,TRUE,3.9,95
Just Smashed Burgers,Nashville-Davidson,TN,37203,US,"American, Burgers, Salads",TRUE,TRUE,2.8,30
Pizza Ranch,Sun Prairie,WI,53590,US,"Chicken, Dessert, Fried Chicken, Pizza, Wings",TRUE,TRUE,2.9,11
Petro-Canada,Burnaby,BC,V5C,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,3.7,1
Las Gidi Nigerian/african Kitchen,Las Vegas,NV,89102,US,"African, Comfort Food, Steak",TRUE,TRUE,2.6,17
Mobile Bros. Foods,Nashville,TN,37203,US,"Burgers, Chicken, Food Trucks",FALSE,TRUE,3.5,2
Bosscat Breakfast,Broomfield,CO,80021,US,"Alcohol, Breakfast, Coffee, Healthy, Sweets, Vegan, Vegetarian",TRUE,TRUE,2.7,3
The Place To Sea,Philadelphia,PA,19124,US,Seafood,TRUE,TRUE,2.0,1
El Warike Peruvian Seafood,Bradenton,FL,34205,US,"Chicken, Dessert, Dinner, Healthy, Latin, Latin American, Lunch Specials, Peruvian, Salads, Seafood, Soup, Vegetarian",TRUE,TRUE,3.0,2
Cupid's Wings,Altamonte Springs,FL,32701,US,"Alcohol, American, Chicken, Chicken Tenders, Chicken Wings, Fast Food, Fried Chicken, Sandwiches, Wings",TRUE,TRUE,3.6,23
A&W,Barrie,ON,L4N 9B1,CA,"American, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Burgers, Canadian, Canadien, Chicken, Déjeuner Et Brunch, Family Meals, Fast Food, Hamburgers, Locally Sourced, Poulet, Prêt-À-Manger, Repas Familial, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale",TRUE,TRUE,3.6,15
Brooklyn Pizza,North Miami Beach,FL,33162,US,"American, Dessert, Hamburgers, Pasta, Pizza, Subs",FALSE,TRUE,2.0,196
Breakfast Beauties,Aurora,CO,80012,US,"Alcohol, American, Bacon Egg & Cheese, Bagels, Breakfast, Breakfast & Brunch, Breakfast And Brunch, Burgers, Comfort Food, Dessert, Desserts, Fast Food, Healthy, Mexican, Sandwiches, Sausage",TRUE,TRUE,3.2,79
Due Focacceria,Saint Paul,MN,55105,US,"Bakery, Italian, Pasta, Salad, Sandwiches",TRUE,TRUE,4.8,90
Bengali Sweets And Restaurant,Scarborough,ON,M1V 5J6,CA,"Asian, Beau, Bon, Local, Desserts, Fait-Maison, Fall Food Moments, Group Friendly, Healthy, Homemade, Hot Deal Summer, Indian, Indien, International, Local Goods, Offers, Offres, Promos D'été, Saveurs D’Automne, Specialty Foods, Vegetarian",TRUE,TRUE,4.3,65
Popeyes,Chicago,IL,60624,US,"American, Chicken, Comfort Food, Family Friendly, Family Meals, Fast Food, Fried Chicken, Southern, Wings",TRUE,TRUE,3.3,268
Montana's,Thunder Bay,ON,P7B,CA,"American, Américain, Barbecue, Bbq, Bistro, Burgers, Chicken, Diner, Fish And Chips, Fruits De Mer, Group Friendly, Hamburgers, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Wings",TRUE,TRUE,4.3,65
777 Pizza And Fritou Fried Chicken,Surrey,BC,V3W 0R6,CA,"Ailes, Burgers, Canadian, Canadien, Chicken, Family Meals, Fast Food, Fruits De Mer, Halal, Hamburgers, International, Pizza, Poulet, Prêt-À-Manger, Repas Familial, Seafood, Vegetarian, Végétarien, Wings",TRUE,TRUE,4.5,104
Insomnia Cookies,Charlotte,NC,28202,US,"American, Bakery, Dessert, Desserts, Ice Cream, Late Night, Snacks",TRUE,TRUE,2.7,148
Starbucks,Niagara Falls,ON,L2H 0L4,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.8,43
Starbucks,Dearborn,MI,48126,US,"Bakery, Breakfast And Brunch, Cafe, Coffee &Amp; Tea, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, Whole Bean",FALSE,TRUE,4.2,48
Petro-Canada,Spruce Grove,AB,T7X,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Snacks, Soup, Soupe",TRUE,TRUE,5.0,1
A&W,Red Deer,AB,T4R 1H1,CA,"American, Breakfast & Brunch, Burgers, Canadian, Canadien, Chicken, Crèmerie, Déjeuner Et Brunch, Family Meals, Fast Food, Hamburgers, Ice Cream & Frozen Treats, Locally Sourced, Poulet, Prêt-À-Manger, Repas Familial, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale, Vegetarian, Végétarien",TRUE,TRUE,4.2,1
Zubu Ramen,West Vancouver,BC,V7P,CA,"Asian, Beau, Bon, Local, Chicken, Comfort Food, Fait-Maison, Group Friendly, Homemade, Japanese, Japonais, Local Goods, Noodles, Poulet, Ramen, Vegan, Vegetarian, Végétalien, Végétarien",TRUE,TRUE,4.7,146
Montana's,Thunder Bay,ON,P7B,CA,"American, Américain, Barbecue, Bbq, Bistro, Burgers, Chicken, Diner, Fish And Chips, Fruits De Mer, Group Friendly, Hamburgers, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Wings",TRUE,TRUE,4.3,65
Journeys Bar & Grill,Kaukauna,WI,54130,US,"American, American Food, Burgers, Healthy, Pizza, Sandwiches, Subs & Sandwiches",FALSE,TRUE,1.9,8
777 Pizza And Fritou Fried Chicken,Surrey,BC,V3W 0R6,CA,"Ailes, Burgers, Canadian, Canadien, Chicken, Family Meals, Fast Food, Fruits De Mer, Halal, Hamburgers, International, Pizza, Poulet, Prêt-À-Manger, Repas Familial, Seafood, Vegetarian, Végétarien, Wings",TRUE,TRUE,4.5,104
Starbucks,Niagara Falls,ON,L2H 1K1,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Group Friendly, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.6,91
Popeyes,St. Louis,MO,63136,US,"American, Cajun, Chicken, Dessert, Dinner, Fast Food, Lunch, Salads, Sandwiches, Southern",TRUE,TRUE,2.0,166
A Perfect Pizza And East Indian Cuisine,Airdrie,AB,T4A,CA,"American, Américain, Chicken, Comfort Food, Donair, Fast Food, Global Diversity Month, Healthy, Indian, Indien, Mois Mondial De La Diversité, Pasta, Pizza, Poulet, Prêt-À-Manger, Salads, Vegetarian Friendly",TRUE,TRUE,4.5,42
IHOP on Evangeline Trwy.,Lafayette,LA,70507,US,"American, Breakfast, Breakfast And Brunch, Burger, Chicken, Coffee, Comfort Food, Dinner, Family Meals, Omelette, Salad, Sandwiches, Traditional American",TRUE,TRUE,3.9,76
Chirpyhut Fried Chicken,Vancouver,BC,V5Y,CA,"Ailes, American, Burgers, Chicken, Comfort Food, Fait-Maison, Group Friendly, Hamburgers, Homemade, Hot Deal Summer, Offers, Offres, Poulet, Promos D'été, Wings",TRUE,TRUE,4.5,105
Stan's Burger Bar,San Francisco,CA,94109,US,"American, Burgers, Chicken, Comfort Food, Comfortfood, Dessert, Dinner, Fast Food, Hamburgers, Healthy, Lunch, New American, Salad, Sandwiches, Snacks, Vegan, Vegetarian, Wings",TRUE,TRUE,2.8,6
Popeyes,Hot Springs,AR,71913,US,"American, Cajun/Creole, Chicken, Comfort Food, Family Meals, Fast Food, Fried Chicken, Sandwiches, Seafood, Southern, Wings",TRUE,TRUE,4.2,38
Nagoya Steakhouse And Sushi,Tallahassee,FL,32303,US,"Asian, Group Friendly, Japanese, Kids Friendly, Noodles, Steak, Sushi",TRUE,TRUE,4.5,112
La Fraguita Restaurant,Miami,FL,33144,US,"A La Carte, Aperitivos (Appetizers), App, Aves (Chicken), Bebidas (Beverages), Cafeteria, Carnes (Meats), Desayuno (Breakfast), Domingo, Ensaladas (Salads), Especiales Diarios (Daily Special), Jueves, Latin American, Lunes, Martes, Miercoles, Ninos (Kids), Ofertas Semanales, Ordenes Individuales (Side Orders), Ordenes Individuales De Desayuno (Breakfast Side Orders), Para Llevar, Pescados (Seafood), Postres (Desserts), Sabado, Salads, Sandwiches, Sopas (Soups), Tortillas (Omelettes), Viernes",TRUE,TRUE,2.5,6
Starbucks,Ottawa,ON,K4A 3P7,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Group Friendly, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.9,71
JAILBIRD,Phoenix,AZ,85004,US,"American, Burgers, Chicken, Chicken Wings, Fried Chicken, Sandwiches",TRUE,TRUE,2.5,4
168 Sushi Buffet,London,ON,N6H 1T9,CA,"Ailes, Asian, Asiatique, Barbecue, Bbq, Beau, Bon, Local, Chicken, Fait-Maison, Fruits De Mer, Healthy, Homemade, International, Japanese, Japonais, Local Goods, Local Legends, Légendes Locales, Offers, Offres, Poulet, Santé, Seafood, Sushi, Sushis, Wings",TRUE,TRUE,4.7,65
A&W,Barrie,ON,L4M,CA,"American, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Burgers, Canadian, Canadien, Chicken, Déjeuner Et Brunch, Fast Food, Hamburgers, Locally Sourced, Poulet, Prêt-À-Manger, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale, Vegetarian, Végétarien",TRUE,TRUE,4.2,20
Piesanos - Otow,Ocala,FL,34481,US,"Burger, Chicken, Group Friendly, Italian, Pasta, Pizza, Salad, Sandwich",FALSE,TRUE,4.6,152
Montana's Bbq & Bar,Kitchener,ON,N2E,CA,"Alcohol, Alcool, American, Américain, Barbecue, Bbq, Beer, Bière, Bud Light, Budweiser, Burgers, Chicken, Fish And Chips, Food & Drinks, Fruits De Mer, Group Friendly, Hamburgers, Nourriture Et Boissons, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwich, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Vin, Wine",TRUE,TRUE,4.6,100
Liberty Pizza,North Miami,FL,33161,US,"American, Burgers, Italian, Pizza, Sandwiches, Seafood, Subs, Wings",TRUE,TRUE,2.3,128
Starbucks,Kingston,ON,K7M 8T6,CA,"Bakery, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.4,29
Petro-Canada,St. Albert,AB,T8N,CA,"Café/Thé, Coffee/Tea, Convenience, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Grocery, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.7,1
Petro-Canada,Red Deer,AB,T4N,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe",TRUE,TRUE,4.7,1
Petro-Canada,Leduc,AB,T9E,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.8,1
Addictive Fried Chicken,Dudley,NC,28333,US,"American, Chicken, Chicken Wings, Comfort Food, Fried Chicken, Fries, Nachos",FALSE,TRUE,3.1,29
Super Mega Dilla,Irving,TX,75061,US,"Mexican, New American, Tex Mex",TRUE,TRUE,3.1,20
A&W,Red Deer,AB,T4R,CA,"American, Breakfast & Brunch, Burgers, Canadian, Canadien, Chicken, Crèmerie, Déjeuner Et Brunch, Fast Food, Hamburgers, Ice Cream & Frozen Treats, Locally Sourced, Poulet, Prêt-À-Manger, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale",TRUE,TRUE,3.7,1
Ab Liquor Outlet,Calgary,AB,T2A 6X7,CA,"Alcohol, Alcool, Beer, Bière, Boissons Alcoolisées, Bud Light, Budweiser, Corona, Drinks, Liquor, Off-Licences, Party Essentials, Tout Pour La Fête, Wine",FALSE,TRUE,4.9,1
DeliciousVillagenyc,Far Rockaway,NY,11691,US,"American, Asian Fusion, Jamaican",TRUE,TRUE,1.9,14
Petro-Canada,Edmonton,AB,T6X,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.8,1
3 Amigos,Terrebonne,QC,J6W 3W5,CA,"Alcohol, Alcool, Beau, Bon, Local, Beer, Bistro, Bière, Burgers, Chicken, Dessert, Desserts, Diner, Favoris Du Quartier, Fruits De Mer, Group Friendly, Hamburgers, International, Local Favourites, Local Goods, Local Legends, Légendes Locales, Mexicain, Mexican, New, Nouveau, Offers, Offres, Poulet, Pub Food, Seafood, Souper, Tacos, Vegetarian, Vin, Végétarien, Wine",TRUE,TRUE,3.5,36
PadThaiGuy,Irvine,CA,92606,US,"American, Burgers, Sandwiches, Thai",TRUE,TRUE,2.8,66
Chirpyhut Fried Chicken,Vancouver,BC,V5Y,CA,"Ailes, American, Burgers, Chicken, Comfort Food, Fait-Maison, Group Friendly, Hamburgers, Homemade, Hot Deal Summer, Offers, Offres, Poulet, Promos D'été, Wings",TRUE,TRUE,4.5,105
Green Burrito,Irvine,CA,92620,US,"Burritos, Latin American, Mexican, New Mexican",TRUE,TRUE,1.0,1
New Mandarin Seafood Restaurant,Vancouver,BC,V5N 0G5,CA,"Allergy Friendly, Asian, Asian Fusion, Breakfast & Brunch, Cantonese, Chicken, Chinese, Chinois, Comfort Food, Congee, Congee Rice, Fait-Maison, Family Friendly, Family Meals, Fruits De Mer, Gourmet, Healthy, Homemade, Locally Sourced, Noodle Shop, Nouilles, Poulet, Seafood, Source Locale, South Asian, Vegetarian, Vegetarian Friendly, Végétarien",FALSE,TRUE,3.6,1
Erito Sushi,Victoria,BC,V8Z 0B9,CA,"Asian, Asiatique, Fait-Maison, Fusion, Group Friendly, Healthy, Homemade, International, Japanese, Japonais, Noodle Shop, Nouilles, Offers, Offres, Only On Skip, Santé, Seulement Sur Skip, Sushi, Sushis",TRUE,TRUE,4.7,1
Bubba's Roadhouse & Saloon,Cape Coral,FL,33991,US,"American, BBQ, Burger, Burgers, Chicken, Desserts, Family Friendly, Salad, Sandwiches, Southern, Steakhouse",FALSE,TRUE,3.7,30
Popeyes,Chicago,IL,60620,US,"American, Chicken, Comfort Food, Family Meals, Fast Food, Fried Chicken, Wings",TRUE,TRUE,3.4,400
Firebelly Wings,Lancaster,PA,17603,US,"American, Barbecue, Chicken, Chicken Wings, Comfort Food, Dinner, Fast Food, Fried Chicken, Late Night, Lunch, Wings",TRUE,TRUE,2.5,2
A&W,Richmond,BC,V6X 4C4,CA,"American, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Burgers, Canadian, Canadien, Chicken, Déjeuner Et Brunch, Fast Food, Hamburgers, Locally Sourced, Poulet, Prêt-À-Manger, Sandwiches & Subs, Sandwichs Et Sous-Marins, Source Locale",TRUE,TRUE,4.4,20
Petro-Canada,Montréal,QC,H4P,CA,"Convenience, Everyday Essentials, Grocery, Home & Personal Care, Home &Amp; Personal Care, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Snacks",TRUE,TRUE,4.3,43
Montana's,Winnipeg,MB,R2M,CA,"Alcohol, Alcool, American, Américain, Barbecue, Bbq, Beer, Bière, Bud Light, Budweiser, Burgers, Chicken, Fish And Chips, Food & Drinks, Fruits De Mer, Hamburgers, Nourriture Et Boissons, Pepsi, Poisson-Frites, Poulet, Pub Food, Sandwiches & Subs, Sandwichs Et Sous-Marins, Seafood, Souper, Steakhouse, Vin, Wine",TRUE,TRUE,3.8,44
Mi Casa Mexican Restaurant  Riverview,Riverview,FL,33578,US,"Alcohol, Group Friendly, Latin American, Mexican, New Mexican",TRUE,TRUE,4.7,304
Hey Burger,Miami,FL,33166,US,"Alcohol, American, Burgers, Cheeseburger, Comfort Food, Fast Food, Fries, Hamburgers, Hot Dogs, Mexican, Sandwiches",TRUE,TRUE,2.3,21
Wow Bao,Saint Charles,MO,63303,US,"Asian, Asian Fusion, Bowls, Chicken, Chinese, Healthy, Vegetarian",TRUE,TRUE,2.0,130
7 West Cafe,Toronto,ON,M4Y 1R4,CA,"2Pour1, 2pour1, Alcohol, Alcool, Allergy Friendly, Beau, Bon, Local, Beer, Ben & Jerry's, Bière, Bogo, Breakfast, Breakfast & Brunch, Breakfast &Amp; Brunch, Breakfast And Brunch, Chicken, Comfort Food, Corona, Crèmerie, Desserts, Déjeuner Et Brunch, Dîner, Fait-Maison, Family Meals, Food & Drinks, Fringales Nocturnes, Group Friendly, Holiday Offers, Homemade, Ice Cream & Frozen Treats, Italian, Italien, Labatt, Late Night Cravings, Local Goods, Local Legends, Lunch, Légendes Locales, Nourriture Et Boissons, Offers, Offres, Offres Des Fêtes, Pizza, Poulet, Sandwiches, Sandwiches & Subs, Sandwichs Et Sous-Marins, Spirits, Spiritueux, Stella Artois, Vin, Wine",TRUE,TRUE,4.4,354
Popeyes Louisiana Kitchen,Guadalupe,AZ,85283,US,"American, Chicken, Comfort Food, Family Friendly, Family Meals, Fast Food, Fried Chicken, Southern, Wings",TRUE,TRUE,3.4,114
Rainforest Cafe,Bloomington,MN,55425,US,"American, BBQ, Breakfast, Burger, Cajun/Creole, Caribbean, Chicken, Gluten-Free, Hamburgers, Pasta, Sandwiches, Seafood",TRUE,TRUE,4.0,16
Kwik Trip #652,FOND DU LAC,WI,54937,US,"American Food, Bakery Food, Breakfast, Burgers, Comfort Food, Convenience, Convenience Store, Deli, Dessert, Dinner, Everyday Essentials, Fast Food, Free Delivery, Grocery, Grocery Items, Healthy Food, Ice Cream & Frozen Yogurt, Late Night Food, Lunch, Personal Care, Pharmacy, Pizza, Smoothies & Juices, Snacks, Subs & Sandwiches",TRUE,TRUE,4.0,5
Taouk,Sainte-Thérèse,QC,J7E 2B4,CA,"Chicken, Healthy, Middle Eastern, Moyen-Oriental, Salads, Sandwich, Sandwiches & Subs, Sandwichs Et Sous-Marins, Santé",TRUE,TRUE,4.7,1
Super Mega Dilla,Port St. Lucie,FL,34986,US,"American, Mexican, New American, Sandwiches, Tex Mex",FALSE,TRUE,2.5,21
Starbucks,Ottawa,ON,K1Y 4S7,CA,"Bakery, Breakfast &Amp; Brunch, Breakfast And Brunch, Cafe, Cold Coffees, Cold Drinks, Frappuccino Blended Beverages, Frappuccino® Blended Beverages, Group Friendly, Hot Breakfast, Hot Coffees, Hot Drinks, Hot Teas, Iced Teas, Lunch, Snacks & Sweets, VIA Instant, VIA® Instant, Whole Bean",FALSE,TRUE,4.8,34
Super Mega Dilla,San Angelo,TX,76904,US,"Burritos, Late Night, Mexican, New American, Tacos, Tex Mex, Tex-Mex",TRUE,TRUE,2.6,23
Wing Boss,Solvang,CA,93463,US,"American, BBQ, Bar Food, Barbecue, Bbq, Cajun, Catering, Chicken, Chicken Tenders, Chicken Wings, Comfort Food, Dessert, Dinner, Family Meals, Fried Chicken, Fries, Late Night, Lunch, Spicy Chicken, Wings",TRUE,TRUE,2.0,10
Miyo's,Columbia,SC,29212,US,"Asian, Chicken, Chinese, Japanese, Salad, Seafood, Soup, Sushi, Thai, Vietnamese, Wings",FALSE,TRUE,3.0,3
Petro-Canada,Leduc,AB,T9E,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Home &Amp; Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.8,1
Bengali Sweets And Restaurant,Scarborough,ON,M1V 5J6,CA,"Asian, Beau, Bon, Local, Desserts, Fait-Maison, Fall Food Moments, Group Friendly, Healthy, Homemade, Hot Deal Summer, Indian, Indien, International, Local Goods, Offers, Offres, Promos D'été, Saveurs D’Automne, Specialty Foods, Vegetarian",TRUE,TRUE,4.3,65
Elyo Shawarma,Gatineau,QC,J8T 5T7,CA,"Arabian, Beau, Bon, Local, Bistro, Chicken, Diner, Donair, Dîner, European, Européen, Family Meals, Food & Drinks, Grec, Greek, International, Local Goods, Lunch, Mediterranean, Middle Eastern, Moyen-Oriental, Méditerranéen, Nourriture Et Boissons, Pitas, Poulet, Repas Familial, Sandwiches & Subs, Sandwichs Et Sous-Marins, Vegetarian, Végétarien",TRUE,TRUE,4.6,24
The Saffron Biryani,Jersey City,NJ,7306,US,"Chicken, Coffee And Tea, Dessert, Indian, Seafood, Soup, Vegetarian",TRUE,TRUE,2.5,63
Wing King,Oshawa,ON,L1H 3T6,CA,"Ailes, Alcohol, Alcool, American, Beer, Bière, Burgers, Chicken, Dîner, Hamburgers, Lunch, Offers, Offres, Poulet, Sandwiches, Vin, Wine, Wings",TRUE,TRUE,1.6,77
Don Calzone,San Antonio,TX,78228,US,"American, Halal, Italian, Pizza",TRUE,TRUE,1.9,31
A Perfect Pizza And East Indian Cuisine,Airdrie,AB,T4A,CA,"American, Américain, Chicken, Comfort Food, Donair, Fast Food, Global Diversity Month, Healthy, Indian, Indien, Mois Mondial De La Diversité, Pasta, Pizza, Poulet, Prêt-À-Manger, Salads, Vegetarian Friendly",TRUE,TRUE,4.5,42
Petro-Canada,Edmonton,AB,T6X,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.8,1
Emerald Buffet,St. Catharines,ON,L2P 1N6,CA,"Allergy Friendly, Asian, Asian Fusion, Chicken, Chinese, Chinois, Family Meals, New, Nouveau, Offers, Offres, Poulet, Soup, Soupe",TRUE,TRUE,3.7,12
Wow Bao,Williamsport,PA,17701,US,"Asian, Chinese",FALSE,TRUE,2.8,22
Super Mega Dilla,Parker,CO,80134,US,"Burritos, Late Night, Mexican, New American, Tacos, Tex Mex, Tex-Mex",TRUE,TRUE,2.6,20
The Burger Experience,Columbus,GA,31901,US,"American, Burgers, Comfort Food",FALSE,TRUE,2.9,24
Hungry Howie's,Gainesville,FL,32608,US,"American, Chicken, Desserts, Healthy, Italian, Pasta, Pizza, Salad, Salads, Sandwich, Sandwiches, Wings",FALSE,TRUE,4.7,93
Petro-Canada,Airdrie,AB,T4A,CA,"Ben & Jerry's, Café/Thé, Coffee/Tea, Convenience, Cool Treats, Crème Glacée, Crèmerie, Dessert, Desserts, Drinks, Dépanneur, Everyday Essentials, Food & Drinks, Fringales Nocturnes, Grocery, Gâteries Rafraîchissantes, Home & Personal Care, Ice Cream, Ice Cream & Frozen Treats, Late Night Cravings, Nestle 4 Pour 2, Nestle Buy 2 Get 2, Nourriture Et Boissons, Offers, Offres, Pepsi, Sandwiches & Subs, Sandwichs Et Sous-Marins, Snacks, Soup, Soupe, Épicerie",TRUE,TRUE,4.1,1
Golden Fingers,Minneapolis,MN,55404,US,"Black-Owned, Dinner, Fried Chicken, Greek, Greek Food, Indian, Indian Food, Lunch, Mediterranean, Mediterranean Food, Middle Eastern Food, Salads, Sandwiches, Subs & Sandwiches, Wings",TRUE,TRUE,3.0,212
Off The Grill & Seafood,Cleveland,OH,44120,US,"American, Coffee and Tea, Fish And Chips, Hot Dogs, Salads, Sandwiches, Seafood, Subs",TRUE,TRUE,3.3,71
Super Mega Dilla,Wichita,KS,67209,US,"Mexican, New American, Tex Mex",FALSE,TRUE,2.7,46
