GEO_ID,VARIABLE,VARIABLE_NAME,DATE,VALUE,UNIT
geoId/M47894,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2012-03-31,0.017,Percent
geoId/C33340,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2013-12-31,0.041,Percent
geoId/C41940,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2023-03-31,0,Percent
geoId/M22744,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2018-09-30,0.006,Percent
geoId/04,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2021-03-31,0.006,Percent
geoId/C41740,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2003-03-31,0.004,Percent
geoId/C35300,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2015-03-31,0.02,Percent
geoId/M37964,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2011-12-31,0.023,Percent
geoId/C12940,Percent_90_to_180_Days_Past_Due_Date_Enterprise Acquisitions,Percent 90 to 180 Days Past Due Date - Enterprise Acquisitions,2018-03-31,0.008,Percent
geoId/44,Percent_90_to_180_Days_Past_Due_Date_All Mortgages,Percent 90 to 180 Days Past Due Date - All Mortgages,2008-12-31,0.029,Percent
geoId/53,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2022-03-31,0,Percent
geoId/M35004,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2014-09-30,0.036,Percent
geoId/C19740,Percent_30_or_60_Days_Past_Due_Date_Government / Non-Conventional,Percent 30 or 60 Days Past Due Date - Government / Non-Conventional,2002-03-31,0.036,Percent
geoId/37,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2017-03-31,0.007,Percent
geoId/C23420,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2017-12-31,0.017,Percent
geoId/C36740,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2021-06-30,0.01,Percent
geoId/46,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Enterprise Acquisitions","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Enterprise Acquisitions",2009-09-30,0.006,Percent
geoId/C41620,Percent_30_or_60_Days_Past_Due_Date_All Mortgages,Percent 30 or 60 Days Past Due Date - All Mortgages,2006-03-31,0.022,Percent
geoId/20,Percent_90_to_180_Days_Past_Due_Date_Other Conventional Market,Percent 90 to 180 Days Past Due Date - Other Conventional Market,2021-12-31,0.006,Percent
geoId/C12060,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Government / Non-Conventional","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Government / Non-Conventional",2013-12-31,0.021,Percent
geoId/02,Percent_90_to_180_Days_Past_Due_Date_Government / Non-Conventional,Percent 90 to 180 Days Past Due Date - Government / Non-Conventional,2020-06-30,0.008,Percent
geoId/01,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2021-09-30,0.004,Percent
geoId/C38900,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2017-06-30,0.003,Percent
geoId/34,Percent_90_to_180_Days_Past_Due_Date_All Mortgages,Percent 90 to 180 Days Past Due Date - All Mortgages,2007-09-30,0.011,Percent
geoId/C26900,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_Enterprise Acquisitions","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - Enterprise Acquisitions",2004-09-30,0.009,Percent
geoId/C24860,Percent_90_to_180_Days_Past_Due_Date_All Mortgages,Percent 90 to 180 Days Past Due Date - All Mortgages,2017-09-30,0.011,Percent
geoId/C46060,"Percent_in_the_Process_of_Foreclosure,_Bankruptcy,_or_Deed_in_Lieu_All Mortgages","Percent in the Process of Foreclosure, Bankruptcy, or Deed in Lieu - All Mortgages",2019-06-30,0.003,Percent
