Id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
652,7.5,0.655,0.0,1.8,0.1169999999999999,5.0,10.0,0.99655,3.36,0.58,9.7,5
1293,12.6,0.31,0.49,2.0,0.098,11.0,42.0,1.0002,3.3,0.53,9.5,5
1130,8.2,0.43,0.22,2.3,0.0819999999999999,36.0,90.0,0.9982,3.39,0.52,10.0,5
1044,6.2,0.38,0.32,2.2,0.073,19.0,54.0,0.99636,3.53,0.64,9.6,5
373,7.2,0.59,0.18,2.8,0.0819999999999999,22.0,74.0,0.9976,3.54,0.66,9.4,6
612,9.1,0.35,0.37,2.1,0.073,25.0,58.0,0.9986,3.24,0.53,10.2,6
1289,7.9,0.87,0.0,2.4,0.077,8.0,32.0,0.99656,3.47,0.54,9.8,5
38,12.0,0.31,0.49,2.8,0.091,9.0,30.0,0.9987,3.04,0.81,10.7,6
1,9.3,0.3,0.73,2.3,0.092,30.0,67.0,0.99854,3.32,0.67,12.8,6
1746,6.2,0.6,0.08,2.1,0.078,24.0,64.0,0.9964,3.38,0.49,10.2,5
1893,7.4,0.42,0.07,1.9,0.0579999999999999,31.0,92.0,0.99632,3.38,0.85,11.6,5
1665,8.5,0.41,0.32,2.7,0.091,28.0,71.0,0.99736,3.21,0.64,9.4,5
2044,8.2,0.29,0.42,4.3,0.085,6.0,12.0,0.99627,3.3,0.62,12.1,6
726,6.2,0.64,0.1,1.9,0.091,41.0,60.0,0.99476,3.58,0.66,11.2,6
744,8.8,0.6,0.25,2.7,0.086,15.0,110.0,0.9976,3.21,0.49,9.2,5
1931,7.9,0.5,0.33,3.0,0.102,12.0,62.0,0.99888,3.24,0.53,10.0,7
207,13.2,0.34,0.49,3.3,0.092,5.0,15.0,1.0014,3.07,0.78,12.7,7
1875,7.1,0.735,0.09,2.2,0.067,6.0,19.0,0.99444,3.32,0.63,11.2,6
989,8.8,1.0,0.18,2.0,0.085,14.0,58.0,0.9979,3.26,0.66,9.6,5
1558,9.3,0.52,0.24,1.9,0.05,13.0,49.0,0.9976,3.26,0.54,9.8,5
2025,7.2,0.43,0.27,2.7,0.063,23.0,116.0,0.9982,3.46,0.57,9.5,4
1305,9.6,0.87,0.24,2.3,0.078,6.0,31.0,0.99656,3.25,0.5,9.7,5
259,7.0,0.7,0.0,2.1,0.132,9.0,31.0,0.99636,3.37,0.52,10.0,5
73,6.1,0.695,0.0,2.1,0.065,15.0,28.0,0.99531,3.52,0.53,10.0,6
746,6.2,0.66,0.0,2.1,0.055,7.0,15.0,0.99448,3.54,0.45,9.8,5
958,7.3,0.785,0.0,1.9,0.067,27.0,63.0,0.9946,3.59,0.59,9.4,5
10,9.0,0.715,0.24,2.6,0.086,17.0,110.0,0.9976,3.31,0.53,9.4,5
1030,8.9,0.43,0.24,1.9,0.094,16.0,86.0,0.99734,3.27,0.56,10.5,5
135,7.0,0.685,0.01,2.2,0.055,11.0,44.0,0.99538,3.33,0.95,11.1,5
506,7.9,0.31,0.51,1.7,0.079,31.0,35.0,0.99519,3.32,0.91,11.6,6
836,7.3,0.36,0.23,3.3,0.078,28.0,128.0,0.99572,3.44,0.5,11.3,5
493,9.4,0.88,0.0,3.0,0.076,6.0,28.0,0.9988,3.3,0.48,9.6,5
1346,10.6,0.4,0.49,2.4,0.07,5.0,33.0,0.9988,3.17,0.44,9.4,6
981,10.2,0.43,0.53,1.9,0.072,5.0,14.0,0.9972,3.2,0.66,11.2,6
302,6.6,0.705,0.05,1.9,0.076,4.0,15.0,0.9934,3.42,0.59,10.5,5
1000,8.8,0.33,0.73,2.0,0.073,3.0,37.0,0.99546,3.37,0.65,13.6,6
1432,11.9,0.61,0.3,8.2,0.075,12.0,77.0,0.9994,3.19,0.68,10.2,6
359,7.3,0.875,0.12,2.0,0.076,35.0,67.0,0.9968,3.26,0.52,9.4,5
1190,11.9,0.38,0.49,1.4,0.095,7.0,28.0,0.9982,3.11,0.82,9.5,6
318,8.1,0.65,0.2,2.1,0.093,16.0,35.0,0.99458,3.35,0.56,12.0,7
1731,8.3,0.24,0.42,2.1,0.062,26.0,61.0,0.99494,3.26,0.93,10.0,7
315,7.2,0.935,0.06,1.7,0.086,9.0,27.0,0.9962,3.52,0.79,9.3,6
1771,7.2,0.795,0.0,2.6,0.171,36.0,46.0,0.997,3.51,0.68,10.0,7
2042,7.7,0.28,0.28,2.0,0.071,13.0,30.0,0.99064,3.26,0.72,10.1,7
1035,7.6,0.33,0.2,1.7,0.069,8.0,20.0,0.9964,3.2,0.43,9.5,4
267,7.4,0.5,0.21,5.6,0.11,28.0,129.0,0.9976,3.28,0.52,9.0,5
335,10.4,0.41,0.49,2.3,0.414,6.0,21.0,0.99702,3.34,0.86,9.9,6
1886,7.7,0.37,0.49,2.8,0.084,7.0,17.0,0.9968,3.26,0.66,14.0,7
1166,12.6,0.34,0.53,2.5,0.0819999999999999,6.0,22.0,0.9988,3.3,0.66,10.6,7
2,7.1,0.51,0.03,2.1,0.059,3.0,12.0,0.9966,3.52,0.73,11.3,7
1401,15.5,0.645,0.49,3.3,0.095,11.0,35.0,1.00315,2.92,0.62,12.0,6
1250,8.3,0.63,0.26,1.9,0.089,25.0,54.0,0.99622,3.26,0.57,9.8,5
111,7.2,0.48,0.3,1.9,0.068,20.0,110.0,0.999,3.3,1.15,9.0,4
823,11.6,0.745,0.0,3.0,0.086,16.0,36.0,1.0021,3.16,0.68,11.0,5
926,7.8,0.7,0.16,1.9,0.066,21.0,102.0,0.9956,3.19,0.59,9.9,5
1843,8.9,0.35,0.53,2.6,0.077,8.0,15.0,0.99534,3.23,0.57,11.5,6
1431,8.1,0.965,0.1,2.5,0.07,13.0,27.0,0.99562,3.17,0.47,10.9,6
218,13.8,0.49,0.63,2.1,0.084,6.0,11.0,1.0004,3.2,0.93,10.9,6
1877,11.5,0.47,0.64,2.5,0.0819999999999999,7.0,42.0,0.9988,3.08,0.61,9.4,5
1279,9.2,0.49,0.49,2.5,0.0969999999999999,23.0,147.0,0.9988,3.22,0.57,9.3,5
942,11.5,0.6,0.66,2.4,0.064,6.0,24.0,0.9986,3.17,0.85,11.0,6
2053,7.7,0.43,0.42,1.7,0.071,19.0,37.0,0.99258,3.32,0.77,12.5,8
736,8.7,0.58,0.04,2.3,0.049,5.0,19.0,0.9948,3.31,0.67,11.8,6
409,7.6,0.45,0.31,2.7,0.078,23.0,54.0,0.9982,3.41,0.62,9.0,4
1292,8.3,0.36,0.3,1.9,0.078,32.0,44.0,0.99494,3.38,0.82,11.0,6
1348,9.2,0.24,0.56,1.7,0.077,6.0,20.0,0.9979,3.07,0.56,9.4,6
20,9.1,0.39,0.31,1.8,0.0969999999999999,25.0,72.0,0.999,3.16,0.44,9.1,5
2013,8.2,0.54,0.24,2.8,0.086,26.0,71.0,0.99613,3.31,0.58,9.1,5
1907,10.7,0.78,0.51,1.7,0.118,17.0,32.0,0.99743,3.02,0.69,9.8,7
902,7.2,0.36,0.32,2.1,0.073,16.0,86.0,0.99587,3.47,0.81,9.3,5
1056,6.8,0.64,0.09,2.2,0.085,35.0,70.0,0.99815,3.4,0.69,12.0,7
1789,9.2,0.36,0.52,2.1,0.073,41.0,55.0,0.99734,3.38,0.82,12.0,7
1147,7.0,0.66,0.0,2.5,0.048,9.0,25.0,0.9968,3.36,0.52,9.8,6
105,8.9,0.46,0.39,2.2,0.084,26.0,61.0,0.9971,3.17,0.64,9.3,5
1282,10.4,0.4,0.67,2.0,0.078,6.0,12.0,0.9968,3.15,0.53,9.8,6
1169,6.8,0.715,0.03,1.8,0.057,13.0,28.0,0.99528,3.36,0.44,11.8,8
1456,9.3,0.18,0.4,2.0,0.091,7.0,23.0,0.9974,3.27,0.57,10.1,5
1513,9.0,0.52,0.25,2.0,0.077,32.0,141.0,0.9968,3.19,0.48,9.6,5
189,8.4,0.61,0.18,2.0,0.078,10.0,37.0,0.99498,3.14,0.62,12.1,7
193,8.7,0.32,0.25,2.5,0.0969999999999999,26.0,60.0,0.9976,3.21,0.47,9.2,5
1071,9.3,0.5,0.49,5.5,0.1169999999999999,18.0,112.0,0.9982,3.22,0.5,9.4,5
906,7.9,0.59,0.01,1.8,0.078,43.0,60.0,0.99538,3.38,0.59,11.0,6
1838,8.0,0.28,0.42,1.8,0.078,17.0,77.0,0.99672,3.25,0.77,11.2,7
414,7.9,0.54,0.26,2.0,0.077,23.0,143.0,0.9974,3.26,0.62,9.4,5
1575,8.9,0.5,0.24,1.9,0.0559999999999999,38.0,76.0,0.99472,3.22,0.59,9.2,6
1639,8.3,0.28,0.28,2.6,0.104,31.0,72.0,0.99824,3.38,0.74,10.0,6
384,7.4,0.52,0.05,1.6,0.061,9.0,23.0,0.9955,3.37,0.65,10.1,6
322,7.4,0.36,0.3,1.8,0.076,26.0,65.0,0.99489,3.47,0.63,10.0,5
574,11.9,0.31,0.49,3.2,0.072,5.0,19.0,0.9986,3.08,0.62,10.6,6
1758,8.4,0.34,0.34,2.2,0.069,28.0,53.0,0.9974,3.17,0.67,10.4,6
1498,7.2,0.48,0.28,2.1,0.064,27.0,43.0,0.9956,3.28,0.64,11.7,6
1244,9.9,0.43,0.49,5.2,0.084,3.0,23.0,1.0021,3.3,0.61,12.0,5
1695,6.7,0.46,0.21,3.4,0.081,16.0,37.0,0.99499,3.47,0.58,9.7,7
1892,7.7,0.66,0.0,2.1,0.094,21.0,59.0,0.9968,3.51,0.71,9.4,4
248,9.9,0.45,0.24,1.7,0.081,37.5,53.0,0.99692,3.19,0.44,9.5,4
1516,7.0,0.24,0.34,1.9,0.066,12.0,19.0,0.9956,3.34,0.79,10.9,5
295,11.5,0.4,0.53,2.0,0.1009999999999999,10.0,24.0,0.99572,3.21,0.62,11.0,6
1532,8.1,0.27,0.34,2.5,0.066,4.0,11.0,0.9952,3.24,0.66,12.4,6
629,10.8,0.5,0.46,2.0,0.115,6.0,15.0,0.9982,3.25,0.76,9.8,6
1938,6.4,0.63,0.14,2.1,0.0969999999999999,18.0,34.0,0.9997,3.49,0.74,9.4,6
1179,7.4,0.51,0.01,2.3,0.0579999999999999,34.0,66.0,0.99516,3.32,0.56,11.7,5
648,7.8,0.64,0.03,1.7,0.063,32.0,44.0,0.99467,3.34,0.63,11.5,6
497,9.9,0.84,0.06,2.6,0.077,9.0,28.0,0.9982,3.31,0.48,9.6,5
1594,8.1,0.88,0.26,2.3,0.084,17.0,44.0,0.99746,3.3,0.55,9.6,5
1682,5.6,0.57,0.04,3.0,0.059,10.0,19.0,0.9964,3.55,0.64,11.6,5
1198,8.8,0.39,0.6,2.0,0.0819999999999999,9.0,22.0,0.99622,3.4,0.59,10.7,6
1464,7.0,0.67,0.1,6.1,0.063,25.0,55.0,0.99576,3.33,0.55,9.6,5
721,8.1,0.52,0.42,2.4,0.07,15.0,64.0,0.9973,3.37,0.72,10.8,5
979,6.7,0.42,0.32,1.7,0.07,26.0,86.0,0.9934,3.52,0.84,12.6,7
741,7.7,0.39,0.35,2.8,0.0819999999999999,21.0,77.0,0.9978,3.37,0.53,9.3,5
225,7.4,0.59,0.22,2.3,0.1119999999999999,12.0,45.0,0.9971,3.32,0.54,9.4,7
1323,7.8,0.34,0.43,2.0,0.063,40.0,54.0,0.9955,3.35,0.61,10.3,6
199,7.1,0.6,0.26,2.1,0.076,23.0,94.0,0.99622,3.37,0.56,9.7,6
620,7.9,0.725,0.05,1.8,0.071,35.0,103.0,0.9969,3.28,0.55,9.5,5
893,7.5,0.36,0.46,1.8,0.123,4.0,11.0,0.99647,3.47,0.53,10.9,3
1069,11.7,0.84,0.36,2.0,0.074,7.0,31.0,0.99575,3.23,0.73,10.9,5
352,7.2,0.78,0.03,2.3,0.059,12.0,18.0,0.99774,3.51,0.71,10.5,7
1752,6.7,0.63,0.03,1.4,0.078,21.0,66.0,0.9958,3.52,0.56,9.5,5
532,5.9,0.655,0.04,2.0,0.071,27.0,65.0,0.9958,3.72,0.52,12.9,6
343,8.8,0.31,0.6,1.7,0.079,23.0,81.0,0.99716,3.31,0.75,9.5,7
2048,11.9,0.28,0.49,4.2,0.098,9.0,17.0,1.0014,3.12,0.64,10.2,6
222,6.7,0.74,0.19,4.0,0.077,26.0,51.0,0.9948,3.39,0.6,12.3,7
141,7.8,0.66,0.26,1.9,0.083,11.0,65.0,0.99618,3.38,0.6,9.0,5
1313,7.0,0.735,0.08,2.4,0.064,18.0,42.0,0.9964,3.42,0.57,10.6,6
811,6.5,0.64,0.0,1.7,0.06,5.0,15.0,0.99498,3.48,0.55,9.5,6
500,6.8,0.705,0.0,2.4,0.081,17.0,43.0,0.9968,3.7,0.83,10.1,6
67,7.7,0.57,0.21,2.1,0.076,23.0,143.0,0.9974,3.16,0.62,9.4,5
1795,12.8,0.38,0.76,2.8,0.075,6.0,17.0,1.0004,3.12,0.68,10.8,5
371,8.8,0.3,0.55,2.7,0.05,12.0,23.0,0.9952,3.32,0.64,12.5,6
1090,7.4,0.3,0.3,1.9,0.0819999999999999,13.0,31.0,0.99388,3.52,0.88,12.8,7
658,7.6,0.64,0.0,2.5,0.0969999999999999,27.0,53.0,0.99734,3.3,0.57,9.7,6
1953,13.3,0.49,0.49,3.2,0.084,6.0,19.0,1.0021,3.3,0.68,11.3,5
594,12.5,0.47,0.63,2.1,0.093,9.0,25.0,0.99818,3.07,0.63,10.9,6
1262,10.4,0.45,0.49,2.0,0.091,27.0,67.0,0.9972,3.28,0.67,11.066666666666698,7
1723,7.8,0.34,0.34,2.0,0.0819999999999999,17.0,88.0,0.99818,3.6,0.48,9.5,5
1225,7.1,0.725,0.0,2.1,0.066,6.0,15.0,0.99162,3.38,0.39,11.9,6
328,7.2,0.45,0.21,2.0,0.086,33.0,55.0,0.9962,3.37,0.55,9.4,5
1088,8.6,0.41,0.49,2.8,0.092,24.0,33.0,0.9986,3.2,0.73,11.3,6
742,8.2,0.46,0.17,1.4,0.071,8.0,18.0,0.9956,3.3,0.58,10.3,5
740,8.6,0.44,0.31,2.8,0.086,17.0,104.0,0.9987,3.32,0.55,9.4,5
1176,11.9,0.4,0.49,3.0,0.095,6.0,22.0,1.0026,3.16,0.49,9.3,5
1064,8.8,0.5,0.09,2.4,0.073,35.0,53.0,0.99745,3.15,0.57,12.3,6
901,6.7,0.38,0.08,2.1,0.068,19.0,38.0,0.9947,3.35,0.83,10.6,6
785,7.2,0.52,0.39,2.3,0.062,3.0,9.0,0.9947,3.42,0.62,11.5,6
1556,9.1,0.43,0.6,2.2,0.095,21.0,43.0,0.9982,3.3,0.57,10.2,5
1182,7.7,0.6,0.28,1.9,0.077,17.0,119.0,0.99628,3.26,0.49,9.9,6
479,7.9,0.53,0.04,2.4,0.078,20.0,49.0,0.9964,3.4,0.68,9.7,6
152,10.4,0.36,0.39,3.3,0.085,7.0,31.0,0.9982,3.26,0.53,11.0,5
1327,7.0,0.49,0.26,2.9,0.09,31.0,68.0,0.99612,3.35,0.64,10.3,6
1876,7.2,0.35,0.32,2.2,0.078,27.0,53.0,0.99546,3.36,0.77,11.0,7
398,9.1,0.655,0.49,2.7,0.086,11.0,41.0,1.0,3.17,0.52,9.8,5
1096,6.9,0.36,0.31,1.9,0.074,26.0,65.0,0.99387,3.35,0.82,11.9,7
1559,9.3,0.39,0.4,2.4,0.114,14.0,119.0,0.99708,3.23,0.67,9.4,6
1132,8.4,0.35,0.57,2.3,0.074,6.0,15.0,0.99566,3.25,0.53,9.3,5
1724,8.0,0.4,0.27,2.7,0.0579999999999999,10.0,21.0,0.99498,3.22,0.68,12.2,7
1573,12.3,0.315,0.66,2.7,0.095,6.0,31.0,1.0004,3.05,0.72,10.9,5
1146,7.5,0.42,0.57,2.0,0.077,10.0,21.0,0.9968,3.21,0.68,10.0,6
1939,7.2,0.68,0.19,2.0,0.076,34.0,66.0,0.99566,3.34,0.6,10.0,5
61,7.2,0.74,0.07,2.8,0.089,31.0,92.0,0.99693,3.22,0.52,10.5,5
247,7.7,0.31,0.21,2.1,0.073,15.0,26.0,0.99588,3.27,0.85,9.5,7
1458,9.2,0.57,0.25,2.7,0.0819999999999999,32.0,71.0,0.99782,3.2,0.63,9.4,5
2004,6.9,0.59,0.01,1.5,0.0819999999999999,8.0,19.0,0.99362,3.48,0.56,11.3,5
2011,14.3,0.645,0.49,2.2,0.074,6.0,19.0,1.00315,3.24,0.75,10.0,6
1034,9.1,0.49,0.28,3.4,0.0819999999999999,16.0,104.0,0.9976,3.28,0.6,9.3,5
1499,8.9,0.715,0.17,3.0,0.092,17.0,61.0,0.9994,3.39,0.55,9.5,6
1454,6.3,0.69,0.08,1.9,0.084,18.0,25.0,0.99553,3.42,0.53,9.5,6
260,8.7,0.36,0.55,2.0,0.128,7.0,16.0,0.9982,3.24,0.85,11.8,6
921,6.8,0.49,0.28,1.8,0.085,27.0,63.0,0.99344,3.35,0.63,12.0,6
1036,12.3,0.39,0.49,2.7,0.1,15.0,112.0,1.0014,3.08,0.53,9.5,5
1600,5.6,0.74,0.0,2.2,0.048,26.0,52.0,0.99562,3.68,0.82,13.2,5
1999,7.0,0.55,0.15,2.8,0.107,23.0,58.0,0.9973,3.44,0.48,9.5,5
935,7.0,0.7,0.26,2.5,0.0969999999999999,31.0,131.0,0.9986,3.24,0.57,9.6,5
374,7.7,0.88,0.21,2.5,0.078,22.0,84.0,0.9961,3.18,0.52,9.7,5
1895,7.6,0.635,0.13,3.0,0.071,17.0,25.0,0.99603,3.34,0.49,9.5,5
87,10.4,0.38,0.57,2.3,0.07,5.0,20.0,0.9986,3.13,0.57,11.0,6
2049,8.4,0.34,0.24,1.9,0.076,16.0,36.0,0.9956,3.2,0.87,10.1,7
1175,8.7,0.36,0.23,2.3,0.071,20.0,136.0,0.9976,3.16,0.49,9.8,5
1647,7.7,0.84,0.01,2.6,0.084,13.0,81.0,0.997616,3.24,0.51,11.5,6
456,7.4,0.42,0.49,1.9,0.077,34.0,124.0,0.9964,3.32,0.71,11.9,8
385,7.5,0.645,0.2,2.1,0.084,20.0,84.0,0.99688,3.36,1.1,10.2,6
1309,12.6,0.6,0.49,2.7,0.1,6.0,21.0,0.9994,3.1,0.61,9.9,5
399,8.8,0.48,0.31,6.0,0.07,30.0,119.0,0.99688,3.31,0.65,9.0,4
460,10.4,0.615,0.63,6.8,0.075,17.0,86.0,1.00242,3.09,0.66,9.5,5
1852,6.6,0.6,0.0,2.1,0.059,8.0,16.0,0.99448,3.61,0.63,10.3,6
129,11.9,0.31,0.49,2.9,0.1,6.0,20.0,0.9962,3.15,0.7,10.2,8
1310,6.2,0.56,0.04,2.1,0.079,8.0,15.0,0.99855,3.52,0.71,10.5,6
241,8.9,0.575,0.22,4.65,0.079,4.0,13.0,0.9982,3.37,0.52,9.5,5
1883,11.6,0.39,0.66,2.9,0.094,6.0,23.0,0.9994,3.09,0.74,11.8,6
1842,9.8,0.24,0.48,2.5,0.075,11.0,24.0,0.9982,3.09,0.61,10.5,5
713,9.1,0.545,0.12,4.2,0.084,19.0,47.0,0.9976,3.24,0.55,10.5,5
1477,6.2,0.605,0.08,1.8,0.091,15.0,49.0,0.9958,3.51,0.53,10.1,6
1240,7.9,0.57,0.02,3.0,0.076,8.0,19.0,0.9964,3.36,0.54,9.8,5
1408,6.5,0.69,0.0,2.3,0.076,19.0,46.0,0.9956,3.54,0.86,12.0,7
957,11.5,0.31,0.68,2.6,0.098,8.0,35.0,0.99976,3.03,0.67,10.6,6
285,7.1,0.805,0.0,1.9,0.066,11.0,45.0,0.9976,3.48,0.66,9.6,5
1619,7.2,0.715,0.21,3.3,0.08,16.0,61.0,0.9955,3.48,0.58,9.5,5
1012,7.5,0.65,0.07,2.2,0.1,5.0,19.0,0.99598,3.21,0.54,10.1,5
66,7.0,0.6,0.0,1.4,0.066,5.0,12.0,0.9972,3.47,0.7,9.5,6
1528,8.4,0.87,0.23,2.0,0.077,14.0,65.0,0.99761,3.22,0.55,9.7,6
139,7.0,0.52,0.14,2.1,0.091,37.5,54.0,0.99712,3.54,0.61,9.9,6
183,9.9,1.0,0.0,2.3,0.106,17.0,50.0,0.99786,3.31,0.55,9.5,4
1768,7.4,0.42,0.27,2.1,0.093,19.0,50.0,0.99408,3.39,0.64,12.5,6
179,9.1,0.57,0.27,8.8,0.0969999999999999,7.0,11.0,0.99824,3.17,0.63,10.5,7
1726,8.8,0.43,0.34,2.8,0.083,34.0,72.0,0.99622,3.38,0.71,10.7,6
2009,8.5,0.5,0.49,2.4,0.094,12.0,39.0,0.9978,3.31,0.61,9.0,5
842,6.8,0.57,0.15,1.6,0.102,24.0,58.0,0.9962,3.41,0.59,9.8,5
833,9.8,0.67,0.49,2.3,0.098,6.0,21.0,1.00012,3.31,0.66,9.9,6
1808,6.8,0.58,0.01,2.6,0.067,27.0,43.0,0.99528,3.41,0.56,12.4,7
1806,6.8,0.36,0.19,1.5,0.0559999999999999,18.0,38.0,0.99396,3.45,0.52,11.3,6
1265,5.6,0.725,0.04,2.15,0.086,7.0,31.0,0.9962,3.78,0.6,9.7,5
88,6.7,0.75,0.01,2.0,0.0579999999999999,9.0,22.0,0.99362,3.59,0.58,10.9,5
459,10.9,0.4,0.5,2.3,0.08,7.0,25.0,0.9991,3.02,1.11,9.6,5
1124,7.6,0.78,0.26,4.5,0.084,24.0,58.0,0.9972,3.27,0.54,9.1,4
1204,9.9,0.5,0.21,2.1,0.07,13.0,31.0,0.99444,3.34,0.85,12.9,7
68,7.4,0.705,0.05,2.2,0.087,21.0,75.0,0.9965,3.51,0.51,9.5,6
1817,9.9,0.6,0.27,2.5,0.1159999999999999,8.0,17.0,0.99708,3.19,0.51,9.3,5
117,6.9,0.59,0.22,2.0,0.0819999999999999,23.0,81.0,0.9948,3.38,0.6,10.7,6
356,10.1,0.69,0.24,2.2,0.039,6.0,28.0,1.0004,3.22,0.49,10.3,7
668,7.7,0.61,0.2,1.4,0.088,11.0,38.0,0.99612,3.28,0.66,10.8,7
720,7.5,0.48,0.28,2.1,0.012,17.0,92.0,0.99516,3.34,0.52,11.0,5
1718,8.8,0.47,0.33,2.3,0.075,22.0,109.0,0.9979,3.22,0.62,9.4,5
973,7.8,0.49,0.29,1.8,0.084,35.0,106.0,0.99685,3.35,0.62,9.5,6
892,7.8,0.58,0.26,1.8,0.08,38.0,52.0,0.99708,3.32,0.72,9.5,5
200,6.7,0.88,0.0,1.9,0.08,27.0,61.0,0.9968,3.52,0.58,9.7,5
421,9.1,0.54,0.27,2.5,0.0969999999999999,31.0,141.0,0.99914,3.28,0.62,10.5,5
1373,7.2,0.88,0.03,2.2,0.066,18.0,38.0,0.996,3.53,0.58,10.7,6
1802,7.1,0.57,0.03,2.6,0.096,24.0,88.0,0.99575,3.44,0.6,10.1,6
510,7.9,0.685,0.01,1.8,0.104,20.0,57.0,0.9963,3.28,0.55,9.7,5
1542,8.6,0.58,0.2,2.2,0.092,21.0,119.0,0.9972,3.15,0.49,9.0,5
1844,7.2,0.61,0.26,2.3,0.08,25.0,105.0,0.99623,3.39,0.54,9.7,5
448,8.0,0.875,0.11,2.6,0.0819999999999999,18.0,44.0,0.9956,3.2,0.48,10.8,5
1142,8.0,0.48,0.24,1.6,0.067,16.0,20.0,0.99672,3.3,0.87,10.4,6
934,8.8,0.55,0.21,2.0,0.076,12.0,86.0,0.9979,3.17,0.44,9.4,5
813,10.0,0.39,0.49,2.9,0.095,19.0,58.0,0.9994,3.17,0.63,10.2,6
128,9.1,0.745,0.36,2.0,0.084,6.0,21.0,0.9983,3.27,0.48,9.0,5
282,7.3,0.42,0.24,2.4,0.0819999999999999,21.0,102.0,0.99633,3.22,0.48,9.2,5
444,5.6,0.48,0.28,2.1,0.099,28.0,51.0,0.99256,3.38,0.77,11.9,6
608,7.5,0.36,0.25,1.5,0.079,16.0,36.0,0.99564,3.3,0.44,10.1,6
1621,11.9,0.545,0.66,3.3,0.081,6.0,35.0,0.9988,3.2,0.57,9.0,5
329,8.9,0.48,0.53,4.3,0.071,7.0,20.0,1.00012,3.31,0.68,12.2,7
273,8.3,0.31,0.34,2.3,0.0819999999999999,28.0,71.0,0.9994,3.52,0.77,9.8,6
221,8.2,0.87,0.21,1.6,0.08,6.0,15.0,0.9968,3.13,0.66,9.8,3
1420,7.8,0.6,0.32,1.9,0.089,31.0,66.0,0.99616,3.26,0.69,9.2,5
144,9.6,0.52,0.49,2.9,0.083,16.0,32.0,1.001,3.26,0.54,9.4,5
168,9.3,0.3,0.5,2.1,0.069,14.0,56.0,0.99735,3.04,0.79,10.1,6
1905,8.1,0.8,0.21,2.3,0.0819999999999999,31.0,134.0,0.9976,3.29,0.56,9.2,6
528,8.9,0.28,0.35,1.9,0.048,32.0,44.0,0.99182,3.25,0.62,12.5,6
201,7.9,0.43,0.33,2.4,0.332,16.0,69.0,0.9986,3.41,1.06,10.7,6
690,8.7,0.28,0.48,2.5,0.074,23.0,115.0,0.9974,3.32,0.72,9.4,6
966,7.1,0.57,0.19,3.2,0.077,15.0,61.0,0.9979,3.19,0.52,9.8,5
719,12.8,0.36,0.74,2.8,0.088,10.0,47.0,0.9994,3.2,0.77,10.8,7
191,6.1,0.695,0.0,2.5,0.094,32.0,94.0,0.99852,3.59,0.6,9.8,5
1298,8.4,0.43,0.3,2.6,0.06,11.0,50.0,0.9959,3.2,0.59,10.5,6
847,7.9,0.57,0.24,1.9,0.077,29.0,58.0,0.9968,3.04,0.57,9.5,5
1267,8.0,0.9,0.0,1.9,0.091,4.0,10.0,0.99704,3.3,0.65,9.1,5
572,8.8,0.76,0.31,2.9,0.088,17.0,119.0,0.9982,3.31,0.62,9.5,6
198,8.7,0.41,0.64,2.0,0.07,4.0,10.0,0.99558,3.26,0.74,12.0,6
998,7.1,0.43,0.0,2.1,0.065,26.0,35.0,0.99684,3.44,0.56,9.8,4
1519,8.3,0.27,0.41,2.1,0.067,14.0,25.0,0.99562,3.27,0.7,12.0,6
1545,11.3,0.41,0.66,3.4,0.075,5.0,11.0,0.99672,3.22,0.72,11.2,7
1549,8.2,0.5,0.3,2.5,0.067,18.0,98.0,0.99914,3.32,0.62,9.5,5
1082,12.8,0.4,0.5,8.3,0.083,18.0,98.0,1.0022,3.07,0.53,12.0,5
63,8.8,0.625,0.19,1.8,0.114,6.0,12.0,0.9969,3.19,0.59,9.8,5
748,8.2,0.49,0.3,1.7,0.092,10.0,21.0,0.9972,3.0,1.18,9.4,5
524,9.8,0.66,0.36,1.7,0.084,24.0,44.0,0.99652,3.22,0.72,11.1,6
1837,6.1,0.57,0.02,2.3,0.081,21.0,59.0,0.99745,3.51,0.8,11.4,6
1925,8.6,0.7,0.24,2.9,0.086,23.0,49.0,0.9976,3.11,0.53,9.5,5
1562,7.2,0.48,0.4,1.8,0.114,5.0,12.0,0.9968,3.44,0.64,9.4,7
1583,12.5,0.615,0.66,3.0,0.083,6.0,15.0,1.0026,3.2,0.66,10.0,6
1669,6.2,0.6,0.29,1.9,0.088,23.0,143.0,0.99552,3.39,0.54,9.2,5
1152,6.6,0.58,0.06,1.7,0.062,16.0,46.0,0.9958,3.38,0.54,10.5,6
1617,10.6,0.41,0.54,2.2,0.078,6.0,14.0,0.9987,3.27,0.77,9.3,7
828,8.8,0.77,0.0,2.6,0.074,15.0,47.0,0.9979,3.49,0.61,10.0,6
729,7.6,0.785,0.26,1.9,0.104,11.0,65.0,0.9962,3.29,0.52,9.6,5
885,9.9,0.54,0.24,2.2,0.085,25.0,67.0,0.9991,3.29,0.66,10.2,7
44,7.1,0.785,0.0,2.5,0.0969999999999999,12.0,89.0,0.99632,3.5,0.52,11.8,7
1024,8.0,0.32,0.25,2.2,0.089,29.0,66.0,0.99656,3.13,0.44,10.6,7
