VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_overall_index_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Overall Index, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Overall Index,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_other_solid_fuels_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Solid Fuels, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Solid Fuels,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_personal_effects_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Other Personal Effects, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Other Personal Effects,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_low_and_nonalcoholic_beer_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Low And Non-Alcoholic Beer, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Low And Non-Alcoholic Beer,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_readymade_meals_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Ready-Made Meals, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Ready-Made Meals,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_stationery_and_drawing_materials_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Stationery And Drawing Materials, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Stationery And Drawing Materials,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_jewellery_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Jewellery, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Jewellery,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_internet_access_provision_services_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Internet Access Provision Services, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Internet Access Provision Services,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_of_household_textiles_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Repair Of Household Textiles, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Repair Of Household Textiles,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fruit_and_vegetable_juices_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fruit And Vegetable Juices, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fruit And Vegetable Juices,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_of_audiovisual_photographic_info_processing_equip_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair Of Audio-Visual, Photographic, Info. Processing Equip., Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Repair Of Audio-Visual, Photographic, Info. Processing Equip.",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_materials_for_the_maintenance_and_repair_of_the_dwelling_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Materials For The Maintenance And Repair Of The Dwelling, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Materials For The Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_jewellery_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_count,"Harmonized Index Of Consumer Prices - Jewellery, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Count",Jewellery,Harmonized Index Of Consumer Prices,Count,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_coffee_machines_tea_makers_and_similar_appliances_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Coffee Machines, Tea Makers And Similar Appliances, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Coffee Machines, Tea Makers And Similar Appliances",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_travel_insurance_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Travel Insurance, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Travel Insurance,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_frozen_seafood_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Frozen Seafood, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Frozen Seafood,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_beer_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Beer, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Beer,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_all_items_excluding_mainly_administered_prices_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - All Items Excluding Mainly Administered Prices, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",All Items Excluding Mainly Administered Prices,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_wine_from_grapes_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Wine From Grapes, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Wine From Grapes,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_garments_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Garments, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Garments,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_repair_of_electric_appliances_for_personal_care_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Repair Of Electric Appliances For Personal Care, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Repair Of Electric Appliances For Personal Care,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_frozen_vegetables_other_than_potatoes_and_other_tubers_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Frozen Vegetables Other Than Potatoes And Other Tubers, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Frozen Vegetables Other Than Potatoes And Other Tubers,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fast_food_and_take_away_food_services_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Fast Food And Take Away Food Services, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Fast Food And Take Away Food Services,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_recording_media_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Recording Media, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Recording Media,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_services_relating_to_the_dwelling_nec_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Other Services Relating To The Dwelling N.E.C., Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Other Services Relating To The Dwelling N.E.C.,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_medical_and_paramedical_services_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Medical And Paramedical Services, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Medical And Paramedical Services,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_passenger_transport_by_sea_and_inland_waterway_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Passenger Transport By Sea And Inland Waterway, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Passenger Transport By Sea And Inland Waterway,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_hairdressing_salons_and_personal_grooming_establishments_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Hairdressing Salons And Personal Grooming Establishments, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Hairdressing Salons And Personal Grooming Establishments,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_mineral_waters_soft_drinks_fruit_and_vegetable_juices_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Mineral Waters, Soft Drinks, Fruit And Vegetable Juices, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Mineral Waters, Soft Drinks, Fruit And Vegetable Juices",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_vegetables_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Vegetables, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Vegetables,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_electricity_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Electricity, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Electricity,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_telephone_and_telefax_equipment_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Telephone And Telefax Equipment, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Telephone And Telefax Equipment,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_industrial_goods_excluding_energy_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Industrial Goods Excluding Energy, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Industrial Goods Excluding Energy,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_seasonal_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - All-Items Excluding Seasonal Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",All-Items Excluding Seasonal Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_services_of_painters_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Services Of Painters, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Services Of Painters,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_health_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Health, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Health,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_lamb_and_goat_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Lamb And Goat, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Lamb And Goat,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
national_excluding_capital_city_transaction_value_index_residential_property_flats_new_and_existing_collected_from_organisation_for_economic_cooperation_and_development_oecd_transaction_based_monthly,"National excluding capital city; Transaction value - Index; Residential property, Flats, new and existing; Collected from Organisation for Economic Cooperation and Development (OECD) (Transaction based), Monthly",,"Residential property, Flats, new and existing","Index, 2015=100",Monthly,"Transaction value (Transaction based) - Non transformed data, Average of observations through period",National excluding capital city,Not seasonally adjusted,Organisation for Economic Cooperation and Development (OECD)
harmonized_index_of_consumer_prices_industrial_goods_excluding_energy_durables_only_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Industrial Goods Excluding Energy, Durables Only, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Industrial Goods Excluding Energy, Durables Only",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_misc_printed_matter_and_stationery_and_drawing_materials_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Misc. Printed Matter And Stationery And Drawing Materials, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Misc. Printed Matter And Stationery And Drawing Materials,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_energy_and_unprocessed_food_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - All-Items Excluding Energy And Unprocessed Food, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",All-Items Excluding Energy And Unprocessed Food,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_wine_from_grapes_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Wine From Grapes, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Wine From Grapes,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_household_appliances_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Household Appliances, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Household Appliances,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_equipment_for_camping_and_openair_recreation_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Equipment For Camping And Open-Air Recreation, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Equipment For Camping And Open-Air Recreation,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_alcoholic_beverages_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Alcoholic Beverages, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Alcoholic Beverages,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_paper_products_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Paper Products, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Paper Products,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_food_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Food, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Food,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_furniture_and_furnishings_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Furniture And Furnishings, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Furniture And Furnishings,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_fruit_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Fruit, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Fruit,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_garage_rentals_and_other_rentals_paid_by_tenants_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Garage Rentals And Other Rentals Paid By Tenants, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Garage Rentals And Other Rentals Paid By Tenants,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_funicular_cablecar_and_chairlift_transport_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Funicular, Cable-Car And Chair-Lift Transport, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Funicular, Cable-Car And Chair-Lift Transport",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_small_electric_household_appliances_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Small Electric Household Appliances, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Small Electric Household Appliances,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_tertiary_education_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Tertiary Education, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Tertiary Education,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_wireless_telephone_services_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Wireless Telephone Services, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Wireless Telephone Services,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_new_motor_cars_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - New Motor Cars, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",New Motor Cars,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_motor_cars_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2005=100,"Harmonized Index Of Consumer Prices - Motor Cars, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2005=100",Motor Cars,Harmonized Index Of Consumer Prices,"Index, 2005=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_clothing_accessories_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Clothing Accessories, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Clothing Accessories,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_financial_services_nec_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Other Financial Services N.E.C., Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Other Financial Services N.E.C.,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_financial_services_nec_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Financial Services N.E.C., Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Financial Services N.E.C.,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
harmonized_index_of_consumer_prices_processed_food_including_alcohol_and_excluding_tobacco_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Processed Food Including Alcohol And Excluding Tobacco, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Processed Food Including Alcohol And Excluding Tobacco,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_electricity_gas_and_other_fuels_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Electricity, Gas And Other Fuels, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100","Electricity, Gas And Other Fuels",Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_natural_gas_and_town_gas_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Natural Gas And Town Gas, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Natural Gas And Town Gas,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_motorised_major_tools_and_equipment_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Motorised Major Tools And Equipment, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Motorised Major Tools And Equipment,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_carpets_and_rugs_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Carpets And Rugs, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Carpets And Rugs,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
