VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Durable Goods,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_General_Medical_and_Surgical_Hospitals,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: General Medical and Surgical Hospitals, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services: General Medical and Surgical Hospitals,
"State_and_Metro_Employment:_All_Employees,_Construction:_Building_Finishing_Contractors,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Construction: Building Finishing Contractors, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Construction: Building Finishing Contractors,
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Seafood_Product_Preparation_and_Packaging,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Seafood Product Preparation and Packaging, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Seafood Product Preparation and Packaging,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Private_Service_Providing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Private Service Providing, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Private Service Providing,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Construction:_Building_Equipment_Contractors,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Construction: Building Equipment Contractors, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Construction: Building Equipment Contractors,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Non-Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Non-Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Non-Durable Goods,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Machinery_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Machinery Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Machinery Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Information:_Data_Processing,_Hosting,_and_Related_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Information: Data Processing, Hosting, and Related Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Information: Data Processing, Hosting, and Related Services",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Durable_Goods:_Transportation_Equipment_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Durable Goods: Transportation Equipment Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Durable Goods: Transportation Equipment Manufacturing,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of All Employees, Construction, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Construction,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Scheduled_Air_Transportation,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Transportation and Utilities: Scheduled Air Transportation, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Scheduled Air Transportation,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Wholesale_Trade:_Merchant_Wholesalers,_Nondurable_Goods,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Wholesale Trade: Merchant Wholesalers, Nondurable Goods, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,"Wholesale Trade: Merchant Wholesalers, Nondurable Goods",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Information,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Information, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Information,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Motor_Vehicle_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Motor Vehicle Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Motor Vehicle Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Other_Miscellaneous_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Other Miscellaneous Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Other Miscellaneous Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Drinking_Places_(Alcoholic_Beverages),_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Leisure and Hospitality: Drinking Places (Alcoholic Beverages), Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Drinking Places (Alcoholic Beverages),
"JOLTS:_Job_openings,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Total nonfarm, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Total nonfarm,All size classes
"JOLTS:_Total_separations,_Government,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, Government, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,Government,All size classes
"JOLTS:_Quits,_Total_private,_1,000_to_4,999_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Total private, 1,000 to 4,999 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Total private,"1,000 to 4,999 employees"
"JOLTS:_Total_separations,_Real_estate_and_rental_and_leasing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Total separations, Real estate and rental and leasing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Total separations,Real estate and rental and leasing,All size classes
"JOLTS:_Quits,_Trade,_transportation,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Trade, transportation, and utilities, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,"Trade, transportation, and utilities",All size classes
"JOLTS:_Hires,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Other services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Other services,All size classes
"Local_Area_Unemployment:_Employment-population_Ratio,_Seasonally_adjusted,_Monthly","Local Area Unemployment: Employment-population Ratio, Seasonally adjusted, Monthly",true,Monthly,Percent,Local Area Unemployment,Employment-population Ratio,,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Financial_Activities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of All Employees, Financial Activities, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Financial Activities,
"JOLTS:_Layoffs_and_discharges,_Total_private,_1_to_9_employees,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Total private, 1 to 9 employees, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Layoffs and discharges,Total private,1 to 9 employees
"JOLTS:_Job_openings,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Job openings, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Job openings,Real estate and rental and leasing,All size classes
"JOLTS:_Layoffs_and_discharges,_Accommodation_and_food_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Layoffs and discharges, Accommodation and food services, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Layoffs and discharges,Accommodation and food services,All size classes
"JOLTS:_Hires,_Trade,_transportation,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Trade, transportation, and utilities, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,"Trade, transportation, and utilities",All size classes
"JOLTS:_Other_separations,_Real_estate_and_rental_and_leasing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Real estate and rental and leasing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,Real estate and rental and leasing,All size classes
"JOLTS:_Job_openings,_Trade,_transportation,_and_utilities,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Job openings, Trade, transportation, and utilities, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Job openings,"Trade, transportation, and utilities",All size classes
"JOLTS:_Quits,_Total_private,_1,000_to_4,999_employees,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Total private, 1,000 to 4,999 employees, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,Total private,"1,000 to 4,999 employees"
"JOLTS:_Quits,_Trade,_transportation,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Trade, transportation, and utilities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Quits,"Trade, transportation, and utilities",All size classes
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Real_Estate_and_Rental_and_Leasing,_Seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities: Real Estate and Rental and Leasing, Seasonally adjusted, Monthly",true,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities: Real Estate and Rental and Leasing,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Private_Service_Providing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of All Employees, Private Service Providing, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of All Employees,Private Service Providing,
"State_and_Metro_Employment:_All_Employees,_Mining_and_Logging:_Drilling_Oil_and_Gas_Wells,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Mining and Logging: Drilling Oil and Gas Wells, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Mining and Logging: Drilling Oil and Gas Wells,
"State_and_Metro_Employment:_All_Employees,_Government:_Indian_Tribes,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Government: Indian Tribes, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Government: Indian Tribes,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Transportation_and_Warehousing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Transportation and Utilities: Transportation and Warehousing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Transportation and Warehousing,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Support_Activities_for_Water_Transportation,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Transportation and Utilities: Support Activities for Water Transportation, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Support Activities for Water Transportation,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_General_Medical_and_Surgical_Hospitals,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: General Medical and Surgical Hospitals, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: General Medical and Surgical Hospitals,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Information:_Motion_Picture_and_Sound_Recording_Industries,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Information: Motion Picture and Sound Recording Industries, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Information: Motion Picture and Sound Recording Industries,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Information, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Information,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Production or Nonsupervisory Employees, Information, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Information,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_All_Employees,_Mining,_Logging,_and_Construction:_Mining,_Logging_and_Construction,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of All Employees, Mining, Logging, and Construction: Mining, Logging and Construction, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of All Employees,"Mining, Logging, and Construction: Mining, Logging and Construction",
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Leisure_and_Hospitality:_Accommodation_and_Food_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Earnings of Production Employees, Leisure and Hospitality: Accommodation and Food Services, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Leisure and Hospitality: Accommodation and Food Services,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_All_Employees,_Total_Private,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of All Employees, Total Private, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of All Employees,Total Private,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Insurance_Carriers_and_Related_Activities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities: Insurance Carriers and Related Activities, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities: Insurance Carriers and Related Activities,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Durable_Goods,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Durable Goods, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Durable Goods,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Trade,_Transportation,_and_Utilities,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Hours of Production Employees, Trade, Transportation, and Utilities, Not seasonally adjusted, Annual",false,Annual,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,"Trade, Transportation, and Utilities",
"State_and_Metro_Employment:_All_Employees,_Non-Durable_Goods:_Apparel_Knitting_Mills,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Non-Durable Goods: Apparel Knitting Mills, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Non-Durable Goods: Apparel Knitting Mills,
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Non-Durable_Goods:_Printing_and_Related_Support_Activities,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Non-Durable Goods: Printing and Related Support Activities, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Non-Durable Goods: Printing and Related Support Activities,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Direct_Health_and_Medical_Insurance_Carriers,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Financial Activities: Direct Health and Medical Insurance Carriers, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Financial Activities: Direct Health and Medical Insurance Carriers,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Durable_Goods:_Computer_and_Electronic_Product_Manufacturing,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Durable Goods: Computer and Electronic Product Manufacturing, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Durable Goods: Computer and Electronic Product Manufacturing,
"State_and_Metro_Employment:_Average_Weekly_Earnings_of_Production_Employees,_Construction:_Building_Finishing_Contractors,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Weekly Earnings of Production Employees, Construction: Building Finishing Contractors, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Weekly Earnings of Production Employees,Construction: Building Finishing Contractors,
"JOLTS:_Hires,_Manufacturing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Manufacturing, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Hires,Manufacturing,All size classes
"JOLTS:_Hires,_Manufacturing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Manufacturing, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Hires,Manufacturing,All size classes
"JOLTS:_Hires,_Health_care_and_social_assistance,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Health care and social assistance, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,Health care and social assistance,All size classes
"JOLTS:_Quits,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Quits, State and local, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Quits,State and local,All size classes
"JOLTS:_Layoffs_and_discharges,_Federal,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Layoffs and discharges, Federal, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Layoffs and discharges,Federal,All size classes
"JOLTS:_Quits,_Financial_activities,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Financial activities, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Financial activities,All size classes
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Educational_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Education and Health Services: Educational Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Education and Health Services: Educational Services,
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Nursing_Care_Facilities_(Skilled_Nursing_Facilities),_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Nursing Care Facilities (Skilled Nursing Facilities), Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services: Nursing Care Facilities (Skilled Nursing Facilities),
"State_and_Metro_Employment:_All_Employees,_Education_and_Health_Services:_Specialty_(except_Psychiatric_and_Substance_Abuse)_Hospitals,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Education and Health Services: Specialty (except Psychiatric and Substance Abuse) Hospitals, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Education and Health Services: Specialty (except Psychiatric and Substance Abuse) Hospitals,
"State_and_Metro_Employment:_All_Employees,_Durable_Goods:_Metalworking_Machinery_Manufacturing,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Durable Goods: Metalworking Machinery Manufacturing, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Durable Goods: Metalworking Machinery Manufacturing,
"State_and_Metro_Employment:_All_Employees,_Financial_Activities:_Rental_and_Leasing_Services,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Financial Activities: Rental and Leasing Services, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Financial Activities: Rental and Leasing Services,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Leisure_and_Hospitality:_Other_Amusement_and_Recreation_Industries,_Not_seasonally_adjusted,_Annual","State and Metro Employment: Average Hourly Earnings of Production Employees, Leisure and Hospitality: Other Amusement and Recreation Industries, Not seasonally adjusted, Annual",false,Annual,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Leisure and Hospitality: Other Amusement and Recreation Industries,
"State_and_Metro_Employment:_All_Employees,_Information,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Information, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Information,
"State_and_Metro_Employment:_All_Employees,_Leisure_and_Hospitality:_Food_Services_and_Drinking_Places,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Leisure and Hospitality: Food Services and Drinking Places, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Leisure and Hospitality: Food Services and Drinking Places,
"State_and_Metro_Employment:_All_Employees,_Other_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Other Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,Other Services,
"State_and_Metro_Employment:_Average_Hourly_Earnings_of_Production_Employees,_Wholesale_Trade,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Hourly Earnings of Production Employees, Wholesale Trade, Not seasonally adjusted, Monthly",false,Monthly,USD,State and Metro Employment,Average Hourly Earnings of Production Employees,Wholesale Trade,
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Automobile_Dealers,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Retail Trade: Automobile Dealers, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Retail Trade: Automobile Dealers,
"State_and_Metro_Employment:_All_Employees,_Retail_Trade:_Automotive_Parts,_Accessories,_and_Tire_Stores,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: All Employees, Retail Trade: Automotive Parts, Accessories, and Tire Stores, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,All Employees,"Retail Trade: Automotive Parts, Accessories, and Tire Stores",
"State_and_Metro_Employment:_Average_Weekly_Hours_of_Production_Employees,_Other_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Average Weekly Hours of Production Employees, Other Services, Not seasonally adjusted, Monthly",false,Monthly,Hours,State and Metro Employment,Average Weekly Hours of Production Employees,Other Services,
"State_and_Metro_Employment:_All_Employees,_Other_Services:_Religious_Organizations,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Other Services: Religious Organizations, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Other Services: Religious Organizations,
"State_and_Metro_Employment:_Diffusion_Index,_3-month_span,_Seasonally_adjusted,_Total_nonfarm,_All_States","State and Metro Employment: Diffusion Index, 3-month span, Seasonally adjusted, Total nonfarm, All States",true,Monthly,Diffusion Index,State and Metro Employment,"Diffusion Index, 3-month span, Seasonally adjusted, Total nonfarm",Total Nonfarm,
"State_and_Metro_Employment:_Production_or_Nonsupervisory_Employees,_Professional_and_Business_Services,_Not_seasonally_adjusted,_Monthly","State and Metro Employment: Production or Nonsupervisory Employees, Professional and Business Services, Not seasonally adjusted, Monthly",false,Monthly,Employees,State and Metro Employment,Production or Nonsupervisory Employees,Professional and Business Services,
"State_and_Metro_Employment:_All_Employees,_Transportation_and_Utilities:_Freight_Transportation_Arrangement,_Not_seasonally_adjusted,_Annual","State and Metro Employment: All Employees, Transportation and Utilities: Freight Transportation Arrangement, Not seasonally adjusted, Annual",false,Annual,Employees,State and Metro Employment,All Employees,Transportation and Utilities: Freight Transportation Arrangement,
"JOLTS:_Hires,_Government,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Government, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Hires,Government,All size classes
"JOLTS:_Layoffs_and_discharges,_Transportation,_warehousing,_and_utilities,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Transportation, warehousing, and utilities, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,"Transportation, warehousing, and utilities",All size classes
"JOLTS:_Other_separations,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, Total nonfarm, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Other separations,Total nonfarm,All size classes
"JOLTS:_Other_separations,_State_and_local_government_education,_All_size_classes,_Seasonally_adjusted,_Monthly,_Level","JOLTS: Other separations, State and local government education, All size classes, Seasonally adjusted, Monthly, Level",true,Monthly,Level,JOLTS,Other separations,State and local government education,All size classes
"JOLTS:_Other_separations,_Real_estate_and_rental_and_leasing,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Real estate and rental and leasing, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Real estate and rental and leasing,All size classes
"JOLTS:_Other_separations,_Construction,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Other separations, Construction, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Other separations,Construction,All size classes
"JOLTS:_Job_openings,_Total_private,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Job openings, Total private, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Job openings,Total private,All size classes
"JOLTS:_Quits,_Real_estate_and_rental_and_leasing,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Quits, Real estate and rental and leasing, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Quits,Real estate and rental and leasing,All size classes
"JOLTS:_Total_separations,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Total separations, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Total separations,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Layoffs_and_discharges,_Total_private,_250_to_999_employees,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Total private, 250 to 999 employees, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Layoffs and discharges,Total private,250 to 999 employees
