,Title,Author,Main Genre,Sub Genre,Type,Price,Rating,No. of People rated,URLs
1691,Key to Wren & Martin's Regular & Multicolour Edition of High School English Grammar & Composition,"Rao N,D,V,Prasada",Children's Books,Reference,Paperback,₹250.00,4.4,4297.0,https://www.amazon.in/Martins-Regular-Multicolour-English-Composition/dp/9352530152/ref=zg_bs_g_1318100031_d_sccl_12/000-0000000-0000000?psc=1
1692,Perfect Genius NCERT Mathematics Worksheets for Class 3 (Based on Bloom's Taxonomy),Disha Experts,Children's Books,Reference,Paperback,₹220.00,4.4,969.0,https://www.amazon.in/Perfect-Genius-Mathematics-Worksheets-Taxonomy/dp/9389187273/ref=zg_bs_g_1318100031_d_sccl_13/000-0000000-0000000?psc=1
1693,S. Chand's Mental Mathematics For Class 4 - Examination 2023-2024,R.S Aggrawal,Children's Books,Reference,Paperback,₹170.00,4.5,1612.0,https://www.amazon.in/Chands-Mental-Mathematics-Class-2019/dp/935283156X/ref=zg_bs_g_1318100031_d_sccl_14/000-0000000-0000000?psc=1
1694,Encyclopedia: Amazing Questions & Answers Nature,Om Books Editorial Team,Children's Books,Reference,Paperback,₹141.00,4.6,515.0,https://www.amazon.in/Amazing-Question-Answers-Nature-Editorial/dp/9352763041/ref=zg_bs_g_1318100031_d_sccl_15/000-0000000-0000000?psc=1
1695,Entre Jeunes French (T.B.) -X,CBSE,Children's Books,Reference,Paperback,₹185.00,4.3,425.0,https://www.amazon.in/Entre-Jeunes-French-T-B-X/dp/B0748X28QX/ref=zg_bs_g_1318100031_d_sccl_16/000-0000000-0000000?psc=1
1696,My First Padded Board Books of Times Table: Multiplication Tables From 1 - 20,Wonder House Books,Children's Books,Reference,Board book,₹179.00,4.6,1252.0,https://www.amazon.in/First-Padded-Board-Books-Times/dp/9388144244/ref=zg_bs_g_1318100031_d_sccl_17/000-0000000-0000000?psc=1
1697,NCERT Exemplar Problems Solutions Chemistry class 12th,Ram ashish Paul,Children's Books,Reference,Paperback,₹199.00,4.5,55.0,https://www.amazon.in/Arihant-Exemplar-Problems-Solutions-Chemistry/dp/9327197461/ref=zg_bs_g_1318100031_d_sccl_18/000-0000000-0000000?psc=1
1698,Human Body Minipedia for Kids Age 5-15 years [Paperback] Dreamland Publications,Dreamland Publications,Children's Books,Reference,Paperback,₹161.00,4.5,2883.0,https://www.amazon.in/Human-Body-Minipedia-Dreamland-Publications/dp/9350895269/ref=zg_bs_g_1318100031_d_sccl_19/000-0000000-0000000?psc=1
1699,Science Knowledge Encyclopedia for Children : Collection of 6 Books (Box Set),Wonder House Books,Children's Books,Reference,Paperback,₹599.00,4.5,285.0,https://www.amazon.in/Science-Knowledge-Encyclopedia-Children-Collection/dp/9354402003/ref=zg_bs_g_1318100031_d_sccl_20/000-0000000-0000000?psc=1
1700,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹170.00,4.4,8332.0,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_1318101031_d_sccl_1/000-0000000-0000000?psc=1
1701,"Children's First Mythology Stories - Pack of 5 books (Ram, Shiva, Hanuman, Ganesha, Vishnu) (Classic Tales from India)",Wonder House Books,Children's Books,Religion,Paperback,₹129.00,4.4,343.0,https://www.amazon.in/Childrens-First-Mythology-Stories-Hanuman/dp/9354404286/ref=zg_bs_g_1318101031_d_sccl_2/000-0000000-0000000?psc=1
1702,My First Shaped Board Book: Illustrated Lord Krishna Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),Wonder House Books,Children's Books,Religion,Board book,₹99.00,4.6,301.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354401511/ref=zg_bs_g_1318101031_d_sccl_3/000-0000000-0000000?psc=1
1703,"108 Stories from the Vedas, the Puranas and the Upanishads for Children (Illustrated) - Story Book for Kids - Bedtime Stories - 4 Years to 10 Years Old - English Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹115.00,4.5,339.0,https://www.amazon.in/Stories-Puranas-Upanishads-Children-Illustrated/dp/9394668144/ref=zg_bs_g_1318101031_d_sccl_4/000-0000000-0000000?psc=1
1704,Ramayana for Children with colourful pictures & illustrations,Team Pegasus,Children's Books,Religion,Hardcover,₹369.00,4.6,1501.0,https://www.amazon.in/Ramayana-Children-Sudha-Gupta/dp/813193702X/ref=zg_bs_g_1318101031_d_sccl_5/000-0000000-0000000?psc=1
1705,Illustrated Ramayana For Children : Immortal Epic of India (Deluxe Edition),Shubha Vilas,Children's Books,Religion,Hardcover,₹699.00,4.6,1103.0,https://www.amazon.in/Illustrated-Ramayana-Children-Immortal-Deluxe/dp/9390391598/ref=zg_bs_g_1318101031_d_sccl_6/000-0000000-0000000?psc=1
1706,My First Shaped Board Book: Illustrated Lord Hanuman Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),Wonder House Books,Children's Books,Religion,Board book,₹99.00,4.7,197.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/935440135X/ref=zg_bs_g_1318101031_d_sccl_7/000-0000000-0000000?psc=1
1707,The Gita,Roopa Pai,Children's Books,Religion,Paperback,₹194.00,4.6,2626.0,https://www.amazon.in/Gita-Children-Roopa-Pai/dp/9351950123/ref=zg_bs_g_1318101031_d_sccl_8/000-0000000-0000000?psc=1
1708,"Mythology Tales - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana, Brahma, Shiva, Bhakta Prahlad, Luv-Kush, Durga - for Children (Illustrated) (Set of 10 Books) [Paperback] Maple Press",Maple Press,Children's Books,Religion,Paperback,₹231.00,4.4,230.0,https://www.amazon.in/Mythology-Tales-Mahabharata-Ramayana-Illustrated/dp/9391129307/ref=zg_bs_g_1318101031_d_sccl_9/000-0000000-0000000?psc=1
1709,Shrimad Bhagavad Gita For Children with colourful pictures & illustrations,Sudha Gupta,Children's Books,Religion,Hardcover,₹402.00,4.6,1106.0,https://www.amazon.in/Bhagavad-Gita-Children-Sudha-Gupta/dp/8131942473/ref=zg_bs_g_1318101031_d_sccl_10/000-0000000-0000000?psc=1
1710,"108 Stories from the Vedas, the Puranas and the Upanishads for Children (Illustrated) (Hindi) - Story Book for Kids - Bedtime Stories - 4 Years to 10 Years Old - Hindi Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹118.00,4.4,224.0,https://www.amazon.in/Stories-Puranas-Upanishads-Children-Illustrated/dp/9394668152/ref=zg_bs_g_1318101031_d_sccl_11/000-0000000-0000000?psc=1
1711,Mahabharata for Children with colourful pictures & illustrations,Team Pegasus,Children's Books,Religion,Hardcover,₹368.00,4.6,979.0,https://www.amazon.in/Mahabharata-Children-Sudha-Gupta/dp/8131937011/ref=zg_bs_g_1318101031_d_sccl_12/000-0000000-0000000?psc=1
1712,My First Library of Hindu Gods and Goddesses (Boxed Set) - Set of 12 Books (My First Books of Hindu Gods and Goddess),Wonder House Books,Children's Books,Religion,Board book,₹407.00,4.2,15.0,https://www.amazon.in/First-Library-Hindu-Goddesses-Boxed/dp/9358562617/ref=zg_bs_g_1318101031_d_sccl_13/000-0000000-0000000?psc=1
1713,My First Shaped Board Book: Illustrated Ram Hindu Mythology Book for Kids Age 2+ (Indian Gods and Goddesses): Indian Gods & Goddesses (My First Shaped Board Books),Wonder House,Children's Books,Religion,Board book,₹89.00,4.6,112.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354405215/ref=zg_bs_g_1318101031_d_sccl_14/000-0000000-0000000?psc=1
1714,"My First Mythology Tale (Illustrated) (Set of 5 Books) (Hindi) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids [Paperback] Maple Press",Maple Press,Children's Books,Religion,Paperback,₹190.00,4.4,733.0,https://www.amazon.in/First-Mythology-Illustrated-Books-Hindi/dp/9390292972/ref=zg_bs_g_1318101031_d_sccl_15/000-0000000-0000000?psc=1
1715,"108 Krishna Stories for Children (Illustrated) - Story Book for Kids - Hindu Mythology - Indian Gods and Goddesses - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹125.00,4.6,87.0,https://www.amazon.in/108-Krishna-Stories-Children-Illustrated/dp/9394668160/ref=zg_bs_g_1318101031_d_sccl_16/000-0000000-0000000?psc=1
1716,"My Little Book of Gods and Goddesses Board Book Set of 6 (Illustrated board books on Hindu mythology: Krishna, Lakshmi, Ganesha, Shiva, Durga, Hanuman; for ages 3+)",Ashwitha Jayakumar,Children's Books,Religion,Board book,₹318.00,4.7,128.0,https://www.amazon.in/Puffin-EL-Little-Book-Gods/dp/0143453300/ref=zg_bs_g_1318101031_d_sccl_17/000-0000000-0000000?psc=1
1717,My First Shaped Board Book: Illustrated Lord Ganesha Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),Wonder House Books,Children's Books,Religion,Board book,₹89.00,4.7,195.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354401430/ref=zg_bs_g_1318101031_d_sccl_18/000-0000000-0000000?psc=1
1718,Kundalini: An untold story,Om Swami,Children's Books,Religion,Paperback,₹217.00,4.5,2300.0,https://www.amazon.in/Kundalini-untold-story-Om-Swami/dp/8184958625/ref=zg_bs_g_1318101031_d_sccl_19/000-0000000-0000000?psc=1
1719,"108 Indian Mythology Stories (Illustrated) - Story Book for Kids - Moral Stories - Bedtime Stories - 3 Years to 10 Years Old - English Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹125.00,4.5,789.0,https://www.amazon.in/108-Mythology-Stories-Illustrated-children/dp/9390292212/ref=zg_bs_g_1318101031_d_sccl_20/000-0000000-0000000?psc=1
1720,The Vedas and Upanishads for Children,Roopa Pai,Children's Books,Religion,Paperback,₹259.00,4.5,1478.0,https://www.amazon.in/Vedas-Upanishads-Children-Roopa-Pai/dp/9351952967/ref=zg_bs_g_1318101031_d_sccl_21/000-0000000-0000000?psc=1
1721,Magnus Chase and The Hammer of Thor (Boo,Rick Riordan,Children's Books,Religion,Paperback,₹259.00,4.7,14264.0,https://www.amazon.in/Magnus-Chase-Hammer-Thor-Book/dp/0141342560/ref=zg_bs_g_1318101031_d_sccl_22/000-0000000-0000000?psc=1
1722,"Stories from the Ramayana and the Mahabharata (Set of 2 Books) (Illustrated) - Story Books for kids - Bedtime Stories - 4 years to 10 Years old - English Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹211.00,4.6,50.0,https://www.amazon.in/Stories-Ramayana-Mahabharata-Books-Illustrated/dp/9395976683/ref=zg_bs_g_1318101031_d_sccl_23/000-0000000-0000000?psc=1
1723,"My First Mythology Stories (Illustrated) (Set of 5 Books) - Story Book for Kids - Brahma, Shiva, Bhakta Prahlad, Luv-Kush, Durga - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers [Paperback] Maple Press",Maple Press,Children's Books,Religion,Paperback,₹137.00,4.5,447.0,https://www.amazon.in/First-Mythology-Stories-Illustrated-Books/dp/9390602920/ref=zg_bs_g_1318101031_d_sccl_24/000-0000000-0000000?psc=1
1724,My First Shaped Board Book: Illustrated Lord Shiva Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),Wonder House Books,Children's Books,Religion,Board book,₹89.00,4.7,197.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354401597/ref=zg_bs_g_1318101031_d_sccl_25/000-0000000-0000000?psc=1
1725,Magnus Chase and The Sword of Summer (Bo,Rick Riordan,Children's Books,Religion,Paperback,₹259.00,4.7,23097.0,https://www.amazon.in/Magnus-Chase-Sword-Summer-Book/dp/0141342447/ref=zg_bs_g_1318101031_d_sccl_26/000-0000000-0000000?psc=1
1726,Magnus Chase and the Ship of the Dead (B,Rick Riordan,Children's Books,Religion,Paperback,₹259.00,4.7,15095.0,https://www.amazon.in/Magnus-Chase-Ship-Dead-Book/dp/0141342609/ref=zg_bs_g_1318101031_d_sccl_27/000-0000000-0000000?psc=1
1727,"Puffin EL: My Little Book of Krishna: Illustrated board books on Hindu mythology, Indian gods & goddesses for kids age 3+; A Puffin Original. [Board book] India, Penguin; Jayakumar, Ashwitha and Prabhu, Rachna",Penguin India,Children's Books,Religion,Board book,₹90.00,4.7,360.0,https://www.amazon.in/Little-Book-Krishna-Illustrated-mythology/dp/0143453246/ref=zg_bs_g_1318101031_d_sccl_28/000-0000000-0000000?psc=1
1728,"Children's First Mythology Stories - Pack of 5 books (Devi, Durga, Arjuna, Mahabharta, Krishna) (Indian Mythology for Children)",Wonder House Books,Children's Books,Religion,Paperback,₹139.00,4.4,343.0,https://www.amazon.in/Childrens-First-Mythology-Stories-Mahabharta/dp/9354404367/ref=zg_bs_g_1318101031_d_sccl_29/000-0000000-0000000?psc=1
1729,"108 Mythology Stories (Hindi) (Illustrated) for Children - Story Books for Kids - 4 Years to 10 Years Old - Hindi Short Stories for Children - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹115.00,4.4,173.0,https://www.amazon.in/Mythology-Stories-Hindi-Illustrated-Children/dp/9391129498/ref=zg_bs_g_1318101031_d_sccl_30/000-0000000-0000000?psc=1
1730,Board Book : My first book of Bible Stories (Padded Board Book) (My First Board Books),Om Books Editorial Team,Children's Books,Religion,Paperback,₹231.00,4.6,155.0,https://www.amazon.in/My-First-Book-Bible-Stories/dp/938631617X/ref=zg_bs_g_1318101031_d_sccl_1/000-0000000-0000000?psc=1
1731,My First Shaped Board Book: Illustrated Saraswati Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses): Indian Gods & Goddesses (My First Shaped Board Books),Wonder House Books,Children's Books,Religion,Board book,₹89.00,4.7,77.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354405290/ref=zg_bs_g_1318101031_d_sccl_2/000-0000000-0000000?psc=1
1732,Bhagvad Gita - The Story Way for Students & Parents,Avinash Agarwal,Children's Books,Religion,Paperback,₹173.00,4.6,166.0,https://www.amazon.in/Bhagvad-Gita-Story-Students-Parents/dp/9355642326/ref=zg_bs_g_1318101031_d_sccl_3/000-0000000-0000000?psc=1
1733,Heroes of Olympus : The Lost Hero,Rick Riordan,Children's Books,Religion,Paperback,₹259.00,4.7,25085.0,https://www.amazon.in/Heroes-Olympus-Lost-Rick-Riordan/dp/0141325496/ref=zg_bs_g_1318101031_d_sccl_4/000-0000000-0000000?psc=1
1734,"THE GITA FOR CHILDREN (HB): Limited Celebratory Edition [Hardcover] Pai, Roopa",Roopa Pai,Children's Books,Religion,Hardcover,₹544.00,4.3,56.0,https://www.amazon.in/Gita-Children-Limited-Celebratory/dp/9393701415/ref=zg_bs_g_1318101031_d_sccl_5/000-0000000-0000000?psc=1
1735,Sita : An Illustrated Retelling of the R: An Illustrated Retelling of Ramayana,Devdutt Pattanaik,Children's Books,Religion,Paperback,₹297.00,4.5,2188.0,https://www.amazon.in/Sita-Illustrated-Retelling-DEVDUTT-PATTANAIK/dp/0143064320/ref=zg_bs_g_1318101031_d_sccl_6/000-0000000-0000000?psc=1
1736,Story book: Festivals of india (Large Print),Om Books Editorial Team,Children's Books,Religion,Paperback,₹209.00,4.5,531.0,https://www.amazon.in/Story-book-Festivals-india-Large/dp/9392834381/ref=zg_bs_g_1318101031_d_sccl_7/000-0000000-0000000?psc=1
1737,Baby's First Quran Stories,Saniyasnain Khan,Children's Books,Religion,Hardcover,₹670.00,4.7,100.0,https://www.amazon.in/Babys-First-Quran-Stories-Saniyasnain/dp/8194309565/ref=zg_bs_g_1318101031_d_sccl_8/000-0000000-0000000?psc=1
1738,My First Shaped Board Book Illustrated Sai Baba Hindu Mythology Picture Book for Kids Age 2+ Indian Gods and Goddessesá,Wonder House Books,Children's Books,Religion,Board book,₹89.00,4.7,28.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354405274/ref=zg_bs_g_1318101031_d_sccl_9/000-0000000-0000000?psc=1
1739,Tales from the Puranas and Itihaas,Daaji (Kamlesh Patel),Children's Books,Religion,Paperback,₹183.00,4.8,13.0,https://www.amazon.in/Tales-Puranas-Itihaas-Daaji-Kamlesh/dp/935776559X/ref=zg_bs_g_1318101031_d_sccl_10/000-0000000-0000000?psc=1
1740,Vivekananda (Amar Chitra Katha),Rajani Thindiath,Children's Books,Religion,Paperback,₹63.00,4.6,587.0,https://www.amazon.in/Vivekananda-Amar-Chitra-Katha-Anant/dp/8189999389/ref=zg_bs_g_1318101031_d_sccl_11/000-0000000-0000000?psc=1
1741,Story Book: 365 Tales of Hanuman (Indian Mythology for Children),Swayam Ganguly,Children's Books,Religion,Hardcover,₹493.00,4.7,85.0,https://www.amazon.in/Story-Book-Hanuman-Mythology-Children/dp/9352768639/ref=zg_bs_g_1318101031_d_sccl_12/000-0000000-0000000?psc=1
1742,Story book : The Ramayana - Indian Mythology - Illustrated Story for Children - Large print Story book - Paperback,Kirti Pathak,Children's Books,Religion,Hardcover,₹209.00,4.2,20.0,https://www.amazon.in/Story-book-Mythology-Illustrated-Paperback/dp/9384225045/ref=zg_bs_g_1318101031_d_sccl_13/000-0000000-0000000?psc=1
1743,Hanuman Tales (Colourful Pictures) - for kids - Ramayana [Paperback] Maple Press,Maple Press,Children's Books,Religion,Paperback,₹85.00,4.4,209.0,https://www.amazon.in/Hanuman-Tales-Colourful-Pictures-Ramayana/dp/9389643074/ref=zg_bs_g_1318101031_d_sccl_14/000-0000000-0000000?psc=1
1744,Percy Jackson and the Greek Gods,Rick Riordan,Children's Books,Religion,Paperback,₹259.00,4.7,10920.0,https://www.amazon.in/Percy-Jackson-Greek-Jacksons-Myths/dp/0141358688/ref=zg_bs_g_1318101031_d_sccl_15/000-0000000-0000000?psc=1
1745,"108 Stories from the Vedas, the Puranas and the Upanishads for Children (Illustrated) - Story Book for Kids",Compiled by Maple Press,Children's Books,Religion,Kindle Edition,₹138.00,4.5,339.0,https://www.amazon.in/Stories-Puranas-Upanishads-Children-Illustrated-ebook/dp/B0C9XD5H44/ref=zg_bs_g_1318101031_d_sccl_16/000-0000000-0000000?psc=1
1746,My First Shaped Board Book: Illustrated Goddess Durga Hindu Mythology Picture Book for Kids Age 2+ (Indian Gods and Goddesses),Wonder House Books,Children's Books,Religion,Board book,₹99.00,4.7,68.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354401279/ref=zg_bs_g_1318101031_d_sccl_17/000-0000000-0000000?psc=1
1747,My First Illustrated Bible Stories Old Testament Boxed Set of 10 Books,Wonder House Books,Children's Books,Religion,Paperback,₹499.00,4.5,14.0,https://www.amazon.in/First-Illustrated-Bible-Stories-Testament/dp/9354407471/ref=zg_bs_g_1318101031_d_sccl_18/000-0000000-0000000?psc=1
1748,Greatest Stories from the Quran,Saniyasnain Khan,Children's Books,Religion,Hardcover,₹400.00,4.8,490.0,https://www.amazon.in/Greatest-Stories-Quran-Saniyasnain-Khan/dp/8178980975/ref=zg_bs_g_1318101031_d_sccl_19/000-0000000-0000000?psc=1
1749,"My First Goddesses (Illustrated) (Set of 5 Books) - Story Books for Kids - Parvati, Lakshmi, Saraswati, Indrani, Durga - Read Aloud to Infants, Toddlers",Maple Press,Children's Books,Religion,Paperback,₹148.00,4.6,65.0,https://www.amazon.in/First-Goddesses-Illustrated-Set-Books/dp/9394668837/ref=zg_bs_g_1318101031_d_sccl_20/000-0000000-0000000?psc=1
1750,"201 Maths Activity Book - Fun Activities and Math Exercises For Children: Knowing Numbers, Addition-Subtraction, Fractions, BODMAS",Wonder House Books,Children's Books,"Science, Nature & Technology",Paperback,₹99.00,4.4,300.0,https://www.amazon.in/201-Maths-Activity-Book-Addition-Subtraction/dp/9354404529/ref=zg_bs_g_1318102031_d_sccl_1/000-0000000-0000000?psc=1
1751,Addition and Subtraction Activity Book For Children - 80+ Activities Inside,Wonder House Books,Children's Books,"Science, Nature & Technology",Paperback,₹99.00,4.4,337.0,https://www.amazon.in/Addition-Subtraction-Activity-Book-Children/dp/9354402380/ref=zg_bs_g_1318102031_d_sccl_2/000-0000000-0000000?psc=1
1752,Encyclopedia: Amazing Questions & Answers Science,Om Books Editorial Team,Children's Books,"Science, Nature & Technology",Paperback,₹141.00,4.5,3362.0,https://www.amazon.in/Amazing-Question-Answers-Science-Editorial/dp/9352763068/ref=zg_bs_g_1318102031_d_sccl_3/000-0000000-0000000?psc=1
1753,Seek And Find - Animals : Early Learning Board Books With Tabs,Wonder House Books,Children's Books,"Science, Nature & Technology",Board book,₹199.00,4.5,1541.0,https://www.amazon.in/Seek-Find-Animals-Early-Learning/dp/9389432359/ref=zg_bs_g_1318102031_d_sccl_4/000-0000000-0000000?psc=1
1754,Where Is Baby'S Belly Button?,Karen Katz,Children's Books,"Science, Nature & Technology",Board book,₹259.00,4.5,13382.0,https://www.amazon.in/Where-Babys-Belly-Button-Karen/dp/0689835604/ref=zg_bs_g_1318102031_d_sccl_5/000-0000000-0000000?psc=1
1755,World's Greatest Scientists & Inventors : Biographies of Inspirational Personalities For Kids,Wonder House Books,Children's Books,"Science, Nature & Technology",Paperback,₹99.00,4.5,1968.0,https://www.amazon.in/Worlds-Greatest-Scientists-Inventors-Inspirational/dp/9388369068/ref=zg_bs_g_1318102031_d_sccl_6/000-0000000-0000000?psc=1
1756,"HELLO, WORLD! SOLAR SYSTEM",Jill McDonald,Children's Books,"Science, Nature & Technology",Board book,₹275.00,4.6,9808.0,https://www.amazon.in/HELLO-WORLD-SOLAR-SYSTEM-MCDONALD/dp/0553521039/ref=zg_bs_g_1318102031_d_sccl_7/000-0000000-0000000?psc=1
1757,Knowledge Encyclopedia - Inventions and Discoveries (Knowledge Encyclopedia for Children),Wonder House Books,Children's Books,"Science, Nature & Technology",Hardcover,₹599.00,4.6,161.0,https://www.amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/9354404197/ref=zg_bs_g_1318102031_d_sccl_8/000-0000000-0000000?psc=1
1758,Knowledge Encyclopedia Space,Wonder House Books,Children's Books,"Science, Nature & Technology",Hardcover,₹599.00,4.5,139.0,https://www.amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/935440443X/ref=zg_bs_g_1318102031_d_sccl_9/000-0000000-0000000?psc=1
1759,Multiplication and Division Activity Book For Children - 80+ Activities Inside,Wonder House Books,Children's Books,"Science, Nature & Technology",Paperback,₹99.00,4.2,122.0,https://www.amazon.in/Multiplication-Division-Activity-Book-Children/dp/9354402461/ref=zg_bs_g_1318102031_d_sccl_10/000-0000000-0000000?psc=1
1760,My First Shaped Board Book: Illustrated Lion - Animal Picture Book for Kids Age 2+ Board book (My First Shaped Board Books),Wonder House Books,Children's Books,"Science, Nature & Technology",Board book,₹89.00,4.5,106.0,https://www.amazon.in/First-Shaped-Board-Book-Illustrated/dp/9354404634/ref=zg_bs_g_1318102031_d_sccl_11/000-0000000-0000000?psc=1
1761,"Story Books for Kids (Set of 10 Books) (Illustrated) - World and Indian Scientists - Biographies for Children - 6 Years to 10 Years Old - Einstein, Newton, Galileo Galilei, Marie Curie, Charles Darwin, CV Raman, Homi Bhabha, Ramanujan, Vikram Sarabhai, Abdul Kalam",Maple Press,Children's Books,"Science, Nature & Technology",Paperback,₹231.00,4.7,4.0,https://www.amazon.in/Story-Books-Kids-Set-Illustrated/dp/8119898702/ref=zg_bs_g_1318102031_d_sccl_12/000-0000000-0000000?psc=1
1762,"Children Encyclopedia Books Pack for Age 5 - 15 Years- All About Trivia Questions and Answers|Animals World, Space and Solar System, The World, Sci and Tech, Human Body, Amazing Places, Nature",Dreamland Publications,Children's Books,"Science, Nature & Technology",Paperback,"₹1,196.00",4.5,464.0,https://www.amazon.in/Children-Encyclopedia-Books-Pack-Age/dp/9386671611/ref=zg_bs_g_1318102031_d_sccl_13/000-0000000-0000000?psc=1
1763,The Last Bear: Winner of the Blue Peter Award – ‘A dazzling debut’ THE TIMES,Hannah Gold,Children's Books,"Science, Nature & Technology",Paperback,₹275.00,4.7,1900.0,https://www.amazon.in/Last-Bear-stunning-childrens-battle/dp/000841131X/ref=zg_bs_g_1318102031_d_sccl_14/000-0000000-0000000?psc=1
1764,Animal Fun Reusable Sticker Book For Children,Wonder House Books,Children's Books,"Science, Nature & Technology",Paperback,₹199.00,4.1,71.0,https://www.amazon.in/Animal-Reusable-Sticker-Book-Children/dp/935440538X/ref=zg_bs_g_1318102031_d_sccl_15/000-0000000-0000000?psc=1
1765,Introduction to Coding - Scratch Your Brain and Crack the Codes Activities for Kids Age 5+,Dreamland Publications,Children's Books,"Science, Nature & Technology",Paperback,₹116.00,4.4,1815.0,https://www.amazon.in/Introduction-Coding-Scratch-Brain-Crack/dp/9386671123/ref=zg_bs_g_1318102031_d_sccl_16/000-0000000-0000000?psc=1
1766,Space and Solar System Encyclopedia for Children Age 5 - 15 Years- All About Trivia Questions and Answers,Dreamland Publications,Children's Books,"Science, Nature & Technology",Paperback,₹174.00,4.5,357.0,https://www.amazon.in/Space-Solar-System-Encyclopedia-Children/dp/938837181X/ref=zg_bs_g_1318102031_d_sccl_17/000-0000000-0000000?psc=1
1767,Knowledge Encyclopedia - Human Body (Knowledge Encyclopedia for Children),Wonder House Books,Children's Books,"Science, Nature & Technology",Hardcover,₹599.00,4.4,166.0,https://www.amazon.in/Knowledge-Encyclopedia-Wonder-House-Books/dp/9354404111/ref=zg_bs_g_1318102031_d_sccl_18/000-0000000-0000000?psc=1
1768,The Magic of the Lost Story,Sudha Murty,Children's Books,"Science, Nature & Technology",Paperback,₹197.59,4.7,650.0,https://www.amazon.in/Magic-Lost-Story-Sudha-Murty/dp/0143458183/ref=zg_bs_g_1318102031_d_sccl_19/000-0000000-0000000?psc=1
1769,How The Bamboo Got Its Bounty,Sudha Murty,Children's Books,"Science, Nature & Technology",Hardcover,₹137.00,4.6,14.0,https://www.amazon.in/How-Bamboo-Got-Its-Bounty/dp/0143458191/ref=zg_bs_g_1318102031_d_sccl_20/000-0000000-0000000?psc=1
1770,Introduction to Coding for Kids - Brain Activity Book for Kids - Age 6+,Maple Press,Children's Books,"Science, Nature & Technology",Paperback,₹92.00,4.3,113.0,https://www.amazon.in/Introduction-Coding-Kids-Brain-Activity/dp/9394668004/ref=zg_bs_g_1318102031_d_sccl_21/000-0000000-0000000?psc=1
1771,Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Story),Zack Zombie,Children's Books,"Science, Nature & Technology",Kindle Edition,₹248.00,4.6,18243.0,https://www.amazon.in/Minecraft-Books-Diary-Zombie-Unofficial-ebook/dp/B00T505AX8/ref=zg_bs_g_1318102031_d_sccl_22/000-0000000-0000000?psc=1
1772,Encyclopedia: Amazing Questions & Answers Nature,Om Books Editorial Team,Children's Books,"Science, Nature & Technology",Paperback,₹141.00,4.6,515.0,https://www.amazon.in/Amazing-Question-Answers-Nature-Editorial/dp/9352763041/ref=zg_bs_g_1318102031_d_sccl_23/000-0000000-0000000?psc=1
1773,Human Body Minipedia for Kids Age 5-15 years [Paperback] Dreamland Publications,Dreamland Publications,Children's Books,"Science, Nature & Technology",Paperback,₹161.00,4.5,2883.0,https://www.amazon.in/Human-Body-Minipedia-Dreamland-Publications/dp/9350895269/ref=zg_bs_g_1318102031_d_sccl_24/000-0000000-0000000?psc=1
