Title,Main Genre,No. of Books,URLs
Biographies,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803441031
Comics & Graphic Novels,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803446031
Computers,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803439031
Education & Reference,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803444031
History,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803450031
Hobbies & Games,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803442031
Literature & Fiction,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803436031
Mysteries & Thrillers,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803443031
Personal Health,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803451031
Religion & Spirituality,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803452031
Romance,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803438031
Science & Technology,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803445031
Science Fiction & Fantasy,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803449031
Social & Family Issues,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803447031
Social Sciences,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803435031
Sports & Outdoors,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803440031
Travel,Teen & Young Adult,100.0,https://www.amazon.in/gp/bestsellers/books/67803437031
Reference,Textbooks & Study Guides,100.0,https://www.amazon.in/gp/bestsellers/books/1318185031
Study Guides & Workbooks,Textbooks & Study Guides,100.0,https://www.amazon.in/gp/bestsellers/books/15417301031
"Food, Lodging & Transportation",Travel,100.0,https://www.amazon.in/gp/bestsellers/books/14545908031
Illustrated Books,Travel,100.0,https://www.amazon.in/gp/bestsellers/books/1318296031
Specialty Travel,Travel,100.0,https://www.amazon.in/gp/bestsellers/books/14545920031
Transport,Travel,100.0,https://www.amazon.in/gp/bestsellers/books/22960212031
Travel & Holiday Guides,Travel,100.0,https://www.amazon.in/gp/bestsellers/books/1318297031
Travel Writing,Travel,100.0,https://www.amazon.in/gp/bestsellers/books/1318299031
